rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240315000851,11011,2023,01222867,216080,CFS,연결재무제표,BS,재무상태표,유동자산,제 15 기,2023.12.31 현재,"72,199,719,566",제 14 기,2022.12.31 현재,"35,786,043,334",제 13 기,2021.12.31 현재,"93,771,908,111",1,KRW
20240315000851,11011,2023,01222867,216080,CFS,연결재무제표,BS,재무상태표,비유동자산,제 15 기,2023.12.31 현재,"172,029,278,642",제 14 기,2022.12.31 현재,"152,567,554,484",제 13 기,2021.12.31 현재,"54,153,316,970",3,KRW
20240315000851,11011,2023,01222867,216080,CFS,연결재무제표,BS,재무상태표,자산총계,제 15 기,2023.12.31 현재,"244,228,998,208",제 14 기,2022.12.31 현재,"188,353,597,818",제 13 기,2021.12.31 현재,"147,925,225,081",5,KRW
20240315000851,11011,2023,01222867,216080,CFS,연결재무제표,BS,재무상태표,유동부채,제 15 기,2023.12.31 현재,"100,272,792,915",제 14 기,2022.12.31 현재,"61,957,943,098",제 13 기,2021.12.31 현재,"29,391,043,948",7,KRW
20240315000851,11011,2023,01222867,216080,CFS,연결재무제표,BS,재무상태표,비유동부채,제 15 기,2023.12.31 현재,"70,900,270,420",제 14 기,2022.12.31 현재,"69,449,045,779",제 13 기,2021.12.31 현재,"63,972,667,170",9,KRW
20240315000851,11011,2023,01222867,216080,CFS,연결재무제표,BS,재무상태표,부채총계,제 15 기,2023.12.31 현재,"171,173,063,335",제 14 기,2022.12.31 현재,"131,406,988,877",제 13 기,2021.12.31 현재,"93,363,711,118",11,KRW
20240315000851,11011,2023,01222867,216080,CFS,연결재무제표,BS,재무상태표,자본금,제 15 기,2023.12.31 현재,"8,929,379,500",제 14 기,2022.12.31 현재,"8,906,629,500",제 13 기,2021.12.31 현재,"8,882,979,500",13,KRW
20240315000851,11011,2023,01222867,216080,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 15 기,2023.12.31 현재,"-17,807,391,639",제 14 기,2022.12.31 현재,"-31,800,967,715",제 13 기,2021.12.31 현재,"-33,234,909,562",17,KRW
20240315000851,11011,2023,01222867,216080,CFS,연결재무제표,BS,재무상태표,자본총계,제 15 기,2023.12.31 현재,"73,055,934,873",제 14 기,2022.12.31 현재,"56,946,608,941",제 13 기,2021.12.31 현재,"54,561,513,963",21,KRW
20240315000851,11011,2023,01222867,216080,CFS,연결재무제표,IS,손익계산서,매출액,제 15 기,2023.01.01 ~ 2023.12.31,"58,716,076,773",제 14 기,2022.01.01 ~ 2022.12.31,"45,993,818,218",제 13 기,2021.01.01 ~ 2021.12.31,"33,222,759,331",23,KRW
20240315000851,11011,2023,01222867,216080,CFS,연결재무제표,IS,손익계산서,영업이익,제 15 기,2023.01.01 ~ 2023.12.31,"2,633,639,012",제 14 기,2022.01.01 ~ 2022.12.31,"4,005,811,892",제 13 기,2021.01.01 ~ 2021.12.31,"2,278,946,076",25,KRW
20240315000851,11011,2023,01222867,216080,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 15 기,2023.01.01 ~ 2023.12.31,"1,054,956,502",제 14 기,2022.01.01 ~ 2022.12.31,"1,884,320,341",제 13 기,2021.01.01 ~ 2021.12.31,"10,884,104,996",27,KRW
20240315000851,11011,2023,01222867,216080,CFS,연결재무제표,IS,손익계산서,당기순이익,제 15 기,2023.01.01 ~ 2023.12.31,"13,604,191,635",제 14 기,2022.01.01 ~ 2022.12.31,"1,455,004,314",제 13 기,2021.01.01 ~ 2021.12.31,"10,884,104,996",29,KRW
