rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240314001089,11011,2023,00149345,002600,CFS,연결재무제표,BS,재무상태표,유동자산,제 65 기,2023.12.31 현재,"228,773,495,751",제 64 기,2022.12.31 현재,"268,968,494,534",제 63 기,2021.12.31 현재,"135,992,011,988",1,KRW
20240314001089,11011,2023,00149345,002600,CFS,연결재무제표,BS,재무상태표,비유동자산,제 65 기,2023.12.31 현재,"165,228,704,245",제 64 기,2022.12.31 현재,"164,786,982,246",제 63 기,2021.12.31 현재,"131,566,811,342",3,KRW
20240314001089,11011,2023,00149345,002600,CFS,연결재무제표,BS,재무상태표,자산총계,제 65 기,2023.12.31 현재,"394,002,199,996",제 64 기,2022.12.31 현재,"433,755,476,780",제 63 기,2021.12.31 현재,"267,558,823,330",5,KRW
20240314001089,11011,2023,00149345,002600,CFS,연결재무제표,BS,재무상태표,유동부채,제 65 기,2023.12.31 현재,"190,668,214,256",제 64 기,2022.12.31 현재,"275,477,139,063",제 63 기,2021.12.31 현재,"118,931,464,715",7,KRW
20240314001089,11011,2023,00149345,002600,CFS,연결재무제표,BS,재무상태표,비유동부채,제 65 기,2023.12.31 현재,"53,693,866,739",제 64 기,2022.12.31 현재,"4,093,192,810",제 63 기,2021.12.31 현재,"2,888,092,353",9,KRW
20240314001089,11011,2023,00149345,002600,CFS,연결재무제표,BS,재무상태표,부채총계,제 65 기,2023.12.31 현재,"244,362,080,995",제 64 기,2022.12.31 현재,"279,570,331,873",제 63 기,2021.12.31 현재,"121,819,557,068",11,KRW
20240314001089,11011,2023,00149345,002600,CFS,연결재무제표,BS,재무상태표,자본금,제 65 기,2023.12.31 현재,"3,000,000,000",제 64 기,2022.12.31 현재,"3,000,000,000",제 63 기,2021.12.31 현재,"3,000,000,000",13,KRW
20240314001089,11011,2023,00149345,002600,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 65 기,2023.12.31 현재,"146,640,119,001",제 64 기,2022.12.31 현재,"151,185,144,907",제 63 기,2021.12.31 현재,"142,739,266,262",17,KRW
20240314001089,11011,2023,00149345,002600,CFS,연결재무제표,BS,재무상태표,자본총계,제 65 기,2023.12.31 현재,"149,640,119,001",제 64 기,2022.12.31 현재,"154,185,144,907",제 63 기,2021.12.31 현재,"145,739,266,262",21,KRW
20240314001089,11011,2023,00149345,002600,CFS,연결재무제표,IS,손익계산서,매출액,제 65 기,2023.01.01 ~ 2023.12.31,"405,945,609,421",제 64 기,2022.01.01 ~ 2022.12.31,"324,035,752,456",제 63 기,2021.01.01 ~ 2021.12.31,"250,861,244,971",23,KRW
20240314001089,11011,2023,00149345,002600,CFS,연결재무제표,IS,손익계산서,영업이익,제 65 기,2023.01.01 ~ 2023.12.31,"15,648,302,437",제 64 기,2022.01.01 ~ 2022.12.31,"14,975,758,634",제 63 기,2021.01.01 ~ 2021.12.31,"19,072,641,425",25,KRW
20240314001089,11011,2023,00149345,002600,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 65 기,2023.01.01 ~ 2023.12.31,"-168,662,216",제 64 기,2022.01.01 ~ 2022.12.31,"12,728,442,173",제 63 기,2021.01.01 ~ 2021.12.31,"19,705,156,042",27,KRW
20240314001089,11011,2023,00149345,002600,CFS,연결재무제표,IS,손익계산서,당기순이익,제 65 기,2023.01.01 ~ 2023.12.31,"355,244,125",제 64 기,2022.01.01 ~ 2022.12.31,"11,131,140,357",제 63 기,2021.01.01 ~ 2021.12.31,"16,074,914,918",29,KRW
