rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230320001018,11011,2022,01010642,144510,CFS,연결재무제표,BS,재무상태표,유동자산,제 12 기,2022.12.31 현재,"93,326,480,660",제 11 기,2021.12.31 현재,"96,842,176,340",제 10 기,2020.12.31 현재,"25,875,472,493",1,KRW
20230320001018,11011,2022,01010642,144510,CFS,연결재무제표,BS,재무상태표,비유동자산,제 12 기,2022.12.31 현재,"583,204,147,988",제 11 기,2021.12.31 현재,"548,732,341,638",제 10 기,2020.12.31 현재,"50,487,249,359",3,KRW
20230320001018,11011,2022,01010642,144510,CFS,연결재무제표,BS,재무상태표,자산총계,제 12 기,2022.12.31 현재,"676,530,628,648",제 11 기,2021.12.31 현재,"645,574,517,978",제 10 기,2020.12.31 현재,"76,362,721,852",5,KRW
20230320001018,11011,2022,01010642,144510,CFS,연결재무제표,BS,재무상태표,유동부채,제 12 기,2022.12.31 현재,"88,115,470,759",제 11 기,2021.12.31 현재,"84,041,718,725",제 10 기,2020.12.31 현재,"17,069,990,456",7,KRW
20230320001018,11011,2022,01010642,144510,CFS,연결재무제표,BS,재무상태표,비유동부채,제 12 기,2022.12.31 현재,"42,668,200,884",제 11 기,2021.12.31 현재,"45,849,117,790",제 10 기,2020.12.31 현재,"7,467,403,100",9,KRW
20230320001018,11011,2022,01010642,144510,CFS,연결재무제표,BS,재무상태표,부채총계,제 12 기,2022.12.31 현재,"130,783,671,643",제 11 기,2021.12.31 현재,"129,890,836,515",제 10 기,2020.12.31 현재,"24,537,393,556",11,KRW
20230320001018,11011,2022,01010642,144510,CFS,연결재무제표,BS,재무상태표,자본금,제 12 기,2022.12.31 현재,"7,900,172,000",제 11 기,2021.12.31 현재,"7,900,172,000",제 10 기,2020.12.31 현재,"5,277,027,000",13,KRW
20230320001018,11011,2022,01010642,144510,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 12 기,2022.12.31 현재,"114,390,940,253",제 11 기,2021.12.31 현재,"38,084,548,998",제 10 기,2020.12.31 현재,"6,278,228,658",17,KRW
20230320001018,11011,2022,01010642,144510,CFS,연결재무제표,BS,재무상태표,자본총계,제 12 기,2022.12.31 현재,"545,746,957,005",제 11 기,2021.12.31 현재,"515,683,681,463",제 10 기,2020.12.31 현재,"51,825,328,296",21,KRW
20230320001018,11011,2022,01010642,144510,CFS,연결재무제표,IS,손익계산서,매출액,제 12 기,2022.01.01 ~ 2022.12.31,"236,120,072,863",제 11 기,2021.01.01 ~ 2021.12.31,"168,309,996,622",제 10 기,2020.01.01 ~ 2020.12.31,"85,562,367,521",23,KRW
