rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250326001039,11011,2024,00258102,065060,CFS,연결재무제표,BS,재무상태표,유동자산,제 28 기,2024.12.31 현재,"64,781,582,938",제 27 기,2023.12.31 현재,"91,192,813,603",제 26 기,2022.12.31 현재,"91,631,913,936",1,KRW
20250326001039,11011,2024,00258102,065060,CFS,연결재무제표,BS,재무상태표,비유동자산,제 28 기,2024.12.31 현재,"169,063,359,727",제 27 기,2023.12.31 현재,"144,623,254,207",제 26 기,2022.12.31 현재,"135,332,291,864",3,KRW
20250326001039,11011,2024,00258102,065060,CFS,연결재무제표,BS,재무상태표,자산총계,제 28 기,2024.12.31 현재,"233,844,942,665",제 27 기,2023.12.31 현재,"235,816,067,810",제 26 기,2022.12.31 현재,"226,964,205,800",5,KRW
20250326001039,11011,2024,00258102,065060,CFS,연결재무제표,BS,재무상태표,유동부채,제 28 기,2024.12.31 현재,"81,387,261,574",제 27 기,2023.12.31 현재,"78,867,753,691",제 26 기,2022.12.31 현재,"72,419,545,450",7,KRW
20250326001039,11011,2024,00258102,065060,CFS,연결재무제표,BS,재무상태표,비유동부채,제 28 기,2024.12.31 현재,"28,526,276,902",제 27 기,2023.12.31 현재,"25,351,308,699",제 26 기,2022.12.31 현재,"30,590,399,040",9,KRW
20250326001039,11011,2024,00258102,065060,CFS,연결재무제표,BS,재무상태표,부채총계,제 28 기,2024.12.31 현재,"109,913,538,476",제 27 기,2023.12.31 현재,"104,219,062,390",제 26 기,2022.12.31 현재,"103,009,944,490",11,KRW
20250326001039,11011,2024,00258102,065060,CFS,연결재무제표,BS,재무상태표,자본금,제 28 기,2024.12.31 현재,"54,004,022,000",제 27 기,2023.12.31 현재,"54,004,022,000",제 26 기,2022.12.31 현재,"49,004,022,000",13,KRW
20250326001039,11011,2024,00258102,065060,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 28 기,2024.12.31 현재,"-120,265,786,767",제 27 기,2023.12.31 현재,"-110,705,082,135",제 26 기,2022.12.31 현재,"-107,150,789,503",17,KRW
20250326001039,11011,2024,00258102,065060,CFS,연결재무제표,BS,재무상태표,자본총계,제 28 기,2024.12.31 현재,"123,931,404,189",제 27 기,2023.12.31 현재,"131,597,005,420",제 26 기,2022.12.31 현재,"123,954,261,310",21,KRW
20250326001039,11011,2024,00258102,065060,CFS,연결재무제표,IS,손익계산서,매출액,제 28 기,2024.01.01 ~ 2024.12.31,"121,173,166,298",제 27 기,2023.01.01 ~ 2023.12.31,"146,952,545,704",제 26 기,2022.01.01 ~ 2022.12.31,"143,276,086,145",23,KRW
20250326001039,11011,2024,00258102,065060,CFS,연결재무제표,IS,손익계산서,영업이익,제 28 기,2024.01.01 ~ 2024.12.31,"-3,928,636,259",제 27 기,2023.01.01 ~ 2023.12.31,"7,903,539,626",제 26 기,2022.01.01 ~ 2022.12.31,"-2,901,525,154",25,KRW
20250326001039,11011,2024,00258102,065060,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 28 기,2024.01.01 ~ 2024.12.31,"-7,098,641,503",제 27 기,2023.01.01 ~ 2023.12.31,"3,508,273,163",제 26 기,2022.01.01 ~ 2022.12.31,"-10,774,117,543",27,KRW
