rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250314000599,11011,2024,00491053,086060,CFS,연결재무제표,BS,재무상태표,유동자산,제 25 기,2024.12.31 현재,"55,835,781,428",제 24 기,2023.12.31 현재,"49,281,216,346",제 23 기,2022.12.31 현재,"46,269,472,620",1,KRW
20250314000599,11011,2024,00491053,086060,CFS,연결재무제표,BS,재무상태표,비유동자산,제 25 기,2024.12.31 현재,"16,152,473,648",제 24 기,2023.12.31 현재,"16,735,676,240",제 23 기,2022.12.31 현재,"17,771,458,970",3,KRW
20250314000599,11011,2024,00491053,086060,CFS,연결재무제표,BS,재무상태표,자산총계,제 25 기,2024.12.31 현재,"71,988,255,076",제 24 기,2023.12.31 현재,"66,016,892,586",제 23 기,2022.12.31 현재,"64,040,931,590",5,KRW
20250314000599,11011,2024,00491053,086060,CFS,연결재무제표,BS,재무상태표,유동부채,제 25 기,2024.12.31 현재,"18,364,126,239",제 24 기,2023.12.31 현재,"14,513,176,989",제 23 기,2022.12.31 현재,"15,920,095,311",7,KRW
20250314000599,11011,2024,00491053,086060,CFS,연결재무제표,BS,재무상태표,비유동부채,제 25 기,2024.12.31 현재,"2,651,811,000",제 24 기,2023.12.31 현재,"3,198,968,000",제 23 기,2022.12.31 현재,"2,394,792,000",9,KRW
20250314000599,11011,2024,00491053,086060,CFS,연결재무제표,BS,재무상태표,부채총계,제 25 기,2024.12.31 현재,"21,015,937,239",제 24 기,2023.12.31 현재,"17,712,144,989",제 23 기,2022.12.31 현재,"18,314,887,311",11,KRW
20250314000599,11011,2024,00491053,086060,CFS,연결재무제표,BS,재무상태표,자본금,제 25 기,2024.12.31 현재,"4,305,293,500",제 24 기,2023.12.31 현재,"4,305,293,500",제 23 기,2022.12.31 현재,"4,305,293,500",13,KRW
20250314000599,11011,2024,00491053,086060,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 25 기,2024.12.31 현재,"31,802,598,918",제 24 기,2023.12.31 현재,"29,059,379,178",제 23 기,2022.12.31 현재,"18,116,014,421",17,KRW
20250314000599,11011,2024,00491053,086060,CFS,연결재무제표,BS,재무상태표,자본총계,제 25 기,2024.12.31 현재,"50,972,317,837",제 24 기,2023.12.31 현재,"48,304,747,597",제 23 기,2022.12.31 현재,"45,726,044,279",21,KRW
20250314000599,11011,2024,00491053,086060,CFS,연결재무제표,IS,손익계산서,매출액,제 25 기,2024.01.01 ~ 2024.12.31,"82,959,224,586",제 24 기,2023.01.01 ~ 2023.12.31,"79,476,916,086",제 23 기,2022.01.01 ~ 2022.12.31,"82,758,506,105",23,KRW
