rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250312000857,11011,2024,00579971,094360,CFS,연결재무제표,BS,재무상태표,유동자산,제 22 기,2024.12.31 현재,"51,900,686,779",제 21 기,2023.12.31 현재,"56,323,181,898",제 20 기,2022.12.31 현재,"44,209,674,413",1,KRW
20250312000857,11011,2024,00579971,094360,CFS,연결재무제표,BS,재무상태표,비유동자산,제 22 기,2024.12.31 현재,"32,079,437,786",제 21 기,2023.12.31 현재,"24,334,064,385",제 20 기,2022.12.31 현재,"21,591,899,352",3,KRW
20250312000857,11011,2024,00579971,094360,CFS,연결재무제표,BS,재무상태표,자산총계,제 22 기,2024.12.31 현재,"83,980,124,565",제 21 기,2023.12.31 현재,"80,657,246,283",제 20 기,2022.12.31 현재,"65,801,573,765",5,KRW
20250312000857,11011,2024,00579971,094360,CFS,연결재무제표,BS,재무상태표,유동부채,제 22 기,2024.12.31 현재,"4,960,909,675",제 21 기,2023.12.31 현재,"5,505,064,705",제 20 기,2022.12.31 현재,"19,128,203,061",7,KRW
20250312000857,11011,2024,00579971,094360,CFS,연결재무제표,BS,재무상태표,비유동부채,제 22 기,2024.12.31 현재,"3,236,674,157",제 21 기,2023.12.31 현재,"2,205,601,970",제 20 기,2022.12.31 현재,"2,224,272,341",9,KRW
20250312000857,11011,2024,00579971,094360,CFS,연결재무제표,BS,재무상태표,부채총계,제 22 기,2024.12.31 현재,"8,197,583,832",제 21 기,2023.12.31 현재,"7,710,666,675",제 20 기,2022.12.31 현재,"21,352,475,402",11,KRW
20250312000857,11011,2024,00579971,094360,CFS,연결재무제표,BS,재무상태표,자본금,제 22 기,2024.12.31 현재,"10,555,062,000",제 21 기,2023.12.31 현재,"10,555,062,000",제 20 기,2022.12.31 현재,"4,963,657,500",13,KRW
20250312000857,11011,2024,00579971,094360,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 22 기,2024.12.31 현재,"53,759,503,820",제 21 기,2023.12.31 현재,"1,998,401,924",제 20 기,2022.12.31 현재,"31,270,349,838",17,KRW
20250312000857,11011,2024,00579971,094360,CFS,연결재무제표,BS,재무상태표,자본총계,제 22 기,2024.12.31 현재,"75,782,540,733",제 21 기,2023.12.31 현재,"72,946,579,608",제 20 기,2022.12.31 현재,"44,449,098,363",21,KRW
20250312000857,11011,2024,00579971,094360,CFS,연결재무제표,IS,손익계산서,매출액,제 22 기,2024.01.01 ~ 2024.12.31,"27,075,424,194",제 21 기,2023.01.01 ~ 2023.12.31,"27,569,493,903",제 20 기,2022.01.01 ~ 2022.12.31,"24,092,742,406",23,KRW
