rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_amount,bfefrmtrm_amount,ord,currency
20240312000168,11011,2023,01766167,458320,OFS,재무제표,BS,재무상태표,유동자산,제 1 기,2023.12.31 현재,"11,935,359,687",-,-,2,KRW
20240312000168,11011,2023,01766167,458320,OFS,재무제표,BS,재무상태표,비유동자산,제 1 기,2023.12.31 현재,0,-,-,4,KRW
20240312000168,11011,2023,01766167,458320,OFS,재무제표,BS,재무상태표,자산총계,제 1 기,2023.12.31 현재,"11,935,359,687",-,-,6,KRW
20240312000168,11011,2023,01766167,458320,OFS,재무제표,BS,재무상태표,유동부채,제 1 기,2023.12.31 현재,0,-,-,8,KRW
20240312000168,11011,2023,01766167,458320,OFS,재무제표,BS,재무상태표,비유동부채,제 1 기,2023.12.31 현재,"1,329,548,518",-,-,10,KRW
20240312000168,11011,2023,01766167,458320,OFS,재무제표,BS,재무상태표,부채총계,제 1 기,2023.12.31 현재,"1,329,548,518",-,-,12,KRW
20240312000168,11011,2023,01766167,458320,OFS,재무제표,BS,재무상태표,자본금,제 1 기,2023.12.31 현재,"550,500,000",-,-,15,KRW
20240312000168,11011,2023,01766167,458320,OFS,재무제표,BS,재무상태표,이익잉여금,제 1 기,2023.12.31 현재,"73,888,417",-,-,19,KRW
20240312000168,11011,2023,01766167,458320,OFS,재무제표,BS,재무상태표,자본총계,제 1 기,2023.12.31 현재,"10,605,811,169",-,-,22,KRW
20240312000168,11011,2023,01766167,458320,OFS,재무제표,IS,손익계산서,매출액,제 1 기,2023.04.25 ~ 2023.12.31,0,-,-,24,KRW
20240312000168,11011,2023,01766167,458320,OFS,재무제표,IS,손익계산서,영업이익,제 1 기,2023.04.25 ~ 2023.12.31,"-47,954,640",-,-,26,KRW
20240312000168,11011,2023,01766167,458320,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 1 기,2023.04.25 ~ 2023.12.31,"93,411,401",-,-,28,KRW
20240312000168,11011,2023,01766167,458320,OFS,재무제표,IS,손익계산서,당기순이익,제 1 기,2023.04.25 ~ 2023.12.31,"73,888,417",-,-,30,KRW
20240312000168,11011,2023,01766167,458320,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 1 기,2023.04.25 ~ 2023.12.31,"73,888,417",-,-,62,KRW
20240312000168,11011,2023,01766167,458320,OFS,재무제표,IS,손익계산서,총포괄손익,제 1 기,2023.04.25 ~ 2023.12.31,"73,888,417",-,-,64,KRW
