rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250321001734,11011,2024,00170558,021240,CFS,연결재무제표,BS,재무상태표,유동자산,제 36 기,2024.12.31 현재,"1,771,007,871,650",제 35 기,2023.12.31 현재,"1,591,625,489,084",제 34 기,2022.12.31 현재,"1,374,501,066,423",1,KRW
20250321001734,11011,2024,00170558,021240,CFS,연결재무제표,BS,재무상태표,비유동자산,제 36 기,2024.12.31 현재,"3,990,553,219,429",제 35 기,2023.12.31 현재,"3,259,340,247,312",제 34 기,2022.12.31 현재,"2,990,573,808,908",3,KRW
20250321001734,11011,2024,00170558,021240,CFS,연결재무제표,BS,재무상태표,자산총계,제 36 기,2024.12.31 현재,"5,761,561,091,079",제 35 기,2023.12.31 현재,"4,850,965,736,396",제 34 기,2022.12.31 현재,"4,365,074,875,331",5,KRW
20250321001734,11011,2024,00170558,021240,CFS,연결재무제표,BS,재무상태표,유동부채,제 36 기,2024.12.31 현재,"1,877,989,167,049",제 35 기,2023.12.31 현재,"1,509,014,925,614",제 34 기,2022.12.31 현재,"1,130,229,416,371",7,KRW
20250321001734,11011,2024,00170558,021240,CFS,연결재무제표,BS,재무상태표,비유동부채,제 36 기,2024.12.31 현재,"687,456,156,664",제 35 기,2023.12.31 현재,"704,196,026,318",제 34 기,2022.12.31 현재,"922,876,742,162",9,KRW
20250321001734,11011,2024,00170558,021240,CFS,연결재무제표,BS,재무상태표,부채총계,제 36 기,2024.12.31 현재,"2,565,445,323,713",제 35 기,2023.12.31 현재,"2,213,210,951,932",제 34 기,2022.12.31 현재,"2,053,106,158,533",11,KRW
20250321001734,11011,2024,00170558,021240,CFS,연결재무제표,BS,재무상태표,자본금,제 36 기,2024.12.31 현재,"40,662,398,000",제 35 기,2023.12.31 현재,"40,662,398,000",제 34 기,2022.12.31 현재,"40,662,398,000",13,KRW
20250321001734,11011,2024,00170558,021240,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 36 기,2024.12.31 현재,"2,964,216,507,011",제 35 기,2023.12.31 현재,"2,503,183,345,188",제 34 기,2022.12.31 현재,"2,161,480,565,823",17,KRW
20250321001734,11011,2024,00170558,021240,CFS,연결재무제표,BS,재무상태표,자본총계,제 36 기,2024.12.31 현재,"3,196,115,767,366",제 35 기,2023.12.31 현재,"2,637,754,784,464",제 34 기,2022.12.31 현재,"2,311,968,716,798",21,KRW
20250321001734,11011,2024,00170558,021240,CFS,연결재무제표,IS,손익계산서,매출액,제 36 기,2024.01.01 ~ 2024.12.31,"4,310,141,694,596",제 35 기,2023.01.01 ~ 2023.12.31,"3,966,519,721,923",제 34 기,2022.01.01 ~ 2022.12.31,"3,856,132,895,084",23,KRW
20250321001734,11011,2024,00170558,021240,CFS,연결재무제표,IS,손익계산서,영업이익,제 36 기,2024.01.01 ~ 2024.12.31,"795,373,861,343",제 35 기,2023.01.01 ~ 2023.12.31,"731,255,078,054",제 34 기,2022.01.01 ~ 2022.12.31,"677,378,551,681",25,KRW
20250321001734,11011,2024,00170558,021240,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 36 기,2024.01.01 ~ 2024.12.31,"784,002,284,828",제 35 기,2023.01.01 ~ 2023.12.31,"660,563,060,418",제 34 기,2022.01.01 ~ 2022.12.31,"683,308,004,068",27,KRW
20250321001734,11011,2024,00170558,021240,CFS,연결재무제표,IS,손익계산서,당기순이익,제 36 기,2024.01.01 ~ 2024.12.31,"565,452,186,637",제 35 기,2023.01.01 ~ 2023.12.31,"471,011,104,871",제 34 기,2022.01.01 ~ 2022.12.31,"457,795,616,474",29,KRW
20250321001734,11011,2024,00170558,021240,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 36 기,2024.01.01 ~ 2024.12.31,"565,452,186,637",제 35 기,2023.01.01 ~ 2023.12.31,"471,011,104,871",제 34 기,2022.01.01 ~ 2022.12.31,"457,795,616,474",61,KRW
20250321001734,11011,2024,00170558,021240,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 36 기,2024.01.01 ~ 2024.12.31,"693,208,981,717",제 35 기,2023.01.01 ~ 2023.12.31,"420,118,936,166",제 34 기,2022.01.01 ~ 2022.12.31,"497,792,090,861",63,KRW
20250321001734,11011,2024,00170558,021240,OFS,재무제표,BS,재무상태표,유동자산,제 36 기,2024.12.31 현재,"1,191,881,516,072",제 35 기,2023.12.31 현재,"1,116,479,248,592",제 34 기,2022.12.31 현재,"1,149,112,692,094",2,KRW
20250321001734,11011,2024,00170558,021240,OFS,재무제표,BS,재무상태표,비유동자산,제 36 기,2024.12.31 현재,"2,949,687,946,736",제 35 기,2023.12.31 현재,"2,524,618,100,873",제 34 기,2022.12.31 현재,"2,292,788,378,970",4,KRW
20250321001734,11011,2024,00170558,021240,OFS,재무제표,BS,재무상태표,자산총계,제 36 기,2024.12.31 현재,"4,141,569,462,808",제 35 기,2023.12.31 현재,"3,641,097,349,465",제 34 기,2022.12.31 현재,"3,441,901,071,064",6,KRW
20250321001734,11011,2024,00170558,021240,OFS,재무제표,BS,재무상태표,유동부채,제 36 기,2024.12.31 현재,"1,095,958,444,412",제 35 기,2023.12.31 현재,"932,211,817,776",제 34 기,2022.12.31 현재,"672,329,730,615",8,KRW
20250321001734,11011,2024,00170558,021240,OFS,재무제표,BS,재무상태표,비유동부채,제 36 기,2024.12.31 현재,"589,678,906,334",제 35 기,2023.12.31 현재,"524,965,234,033",제 34 기,2022.12.31 현재,"793,874,789,361",10,KRW
20250321001734,11011,2024,00170558,021240,OFS,재무제표,BS,재무상태표,부채총계,제 36 기,2024.12.31 현재,"1,685,637,350,746",제 35 기,2023.12.31 현재,"1,457,177,051,809",제 34 기,2022.12.31 현재,"1,466,204,519,976",12,KRW
20250321001734,11011,2024,00170558,021240,OFS,재무제표,BS,재무상태표,자본금,제 36 기,2024.12.31 현재,"40,662,398,000",제 35 기,2023.12.31 현재,"40,662,398,000",제 34 기,2022.12.31 현재,"40,662,398,000",15,KRW
20250321001734,11011,2024,00170558,021240,OFS,재무제표,BS,재무상태표,이익잉여금,제 36 기,2024.12.31 현재,"2,348,548,857,553",제 35 기,2023.12.31 현재,"2,039,645,074,663",제 34 기,2022.12.31 현재,"1,831,421,328,095",19,KRW
20250321001734,11011,2024,00170558,021240,OFS,재무제표,BS,재무상태표,자본총계,제 36 기,2024.12.31 현재,"2,455,932,112,062",제 35 기,2023.12.31 현재,"2,183,920,297,656",제 34 기,2022.12.31 현재,"1,975,696,551,088",22,KRW
20250321001734,11011,2024,00170558,021240,OFS,재무제표,IS,손익계산서,매출액,제 36 기,2024.01.01 ~ 2024.12.31,"3,115,638,079,450",제 35 기,2023.01.01 ~ 2023.12.31,"2,759,019,088,673",제 34 기,2022.01.01 ~ 2022.12.31,"2,813,488,927,967",24,KRW
20250321001734,11011,2024,00170558,021240,OFS,재무제표,IS,손익계산서,영업이익,제 36 기,2024.01.01 ~ 2024.12.31,"576,874,083,871",제 35 기,2023.01.01 ~ 2023.12.31,"495,586,609,300",제 34 기,2022.01.01 ~ 2022.12.31,"514,746,074,246",26,KRW
20250321001734,11011,2024,00170558,021240,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 36 기,2024.01.01 ~ 2024.12.31,"579,399,899,914",제 35 기,2023.01.01 ~ 2023.12.31,"464,865,559,732",제 34 기,2022.01.01 ~ 2022.12.31,"540,938,422,406",28,KRW
