rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230321001505,11011,2022,00187725,015710,CFS,연결재무제표,BS,재무상태표,유동자산,제 43 기,2022.12.31 현재,"61,709,462,426",제 42 기,2021.12.31 현재,"68,494,285,215",제 41 기,2020.12.31 현재,"71,821,287,225",1,KRW
20230321001505,11011,2022,00187725,015710,CFS,연결재무제표,BS,재무상태표,비유동자산,제 43 기,2022.12.31 현재,"87,831,993,733",제 42 기,2021.12.31 현재,"89,096,069,058",제 41 기,2020.12.31 현재,"79,447,168,808",3,KRW
20230321001505,11011,2022,00187725,015710,CFS,연결재무제표,BS,재무상태표,자산총계,제 43 기,2022.12.31 현재,"149,541,456,159",제 42 기,2021.12.31 현재,"157,590,354,273",제 41 기,2020.12.31 현재,"151,268,456,033",5,KRW
20230321001505,11011,2022,00187725,015710,CFS,연결재무제표,BS,재무상태표,유동부채,제 43 기,2022.12.31 현재,"20,593,922,697",제 42 기,2021.12.31 현재,"17,849,336,617",제 41 기,2020.12.31 현재,"20,094,924,052",7,KRW
20230321001505,11011,2022,00187725,015710,CFS,연결재무제표,BS,재무상태표,비유동부채,제 43 기,2022.12.31 현재,"8,532,019,529",제 42 기,2021.12.31 현재,"15,243,972,359",제 41 기,2020.12.31 현재,"8,701,520,288",9,KRW
20230321001505,11011,2022,00187725,015710,CFS,연결재무제표,BS,재무상태표,부채총계,제 43 기,2022.12.31 현재,"29,125,942,226",제 42 기,2021.12.31 현재,"33,093,308,976",제 41 기,2020.12.31 현재,"28,796,444,340",11,KRW
20230321001505,11011,2022,00187725,015710,CFS,연결재무제표,BS,재무상태표,자본금,제 43 기,2022.12.31 현재,"8,765,250,000",제 42 기,2021.12.31 현재,"8,765,250,000",제 41 기,2020.12.31 현재,"8,765,250,000",13,KRW
20230321001505,11011,2022,00187725,015710,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 43 기,2022.12.31 현재,"95,726,320,721",제 42 기,2021.12.31 현재,"99,807,833,955",제 41 기,2020.12.31 현재,"97,782,701,951",17,KRW
20230321001505,11011,2022,00187725,015710,CFS,연결재무제표,BS,재무상태표,자본총계,제 43 기,2022.12.31 현재,"120,415,513,933",제 42 기,2021.12.31 현재,"124,497,045,297",제 41 기,2020.12.31 현재,"122,472,011,693",21,KRW
20230321001505,11011,2022,00187725,015710,CFS,연결재무제표,IS,손익계산서,매출액,제 43 기,2022.01.01 ~ 2022.12.31,"95,280,775,618",제 42 기,2021.01.01 ~ 2021.12.31,"92,662,745,478",제 41 기,2020.01.01 ~ 2020.12.31,"118,930,331,790",23,KRW
20230321001505,11011,2022,00187725,015710,CFS,연결재무제표,IS,손익계산서,영업이익,제 43 기,2022.01.01 ~ 2022.12.31,"-2,284,834,592",제 42 기,2021.01.01 ~ 2021.12.31,"3,914,050,348",제 41 기,2020.01.01 ~ 2020.12.31,"10,870,078,156",25,KRW
20230321001505,11011,2022,00187725,015710,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 43 기,2022.01.01 ~ 2022.12.31,"-3,133,153,533",제 42 기,2021.01.01 ~ 2021.12.31,"5,120,454,166",제 41 기,2020.01.01 ~ 2020.12.31,"10,739,382,417",27,KRW
20230321001505,11011,2022,00187725,015710,CFS,연결재무제표,IS,손익계산서,당기순이익,제 43 기,2022.01.01 ~ 2022.12.31,"-2,646,292,196",제 42 기,2021.01.01 ~ 2021.12.31,"4,311,503,107",제 41 기,2020.01.01 ~ 2020.12.31,"7,277,825,185",29,KRW
20230321001505,11011,2022,00187725,015710,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 43 기,2022.01.01 ~ 2022.12.31,"-2,646,292,196",제 42 기,2021.01.01 ~ 2021.12.31,"4,311,503,107",제 41 기,2020.01.01 ~ 2020.12.31,"7,277,825,185",61,KRW
20230321001505,11011,2022,00187725,015710,OFS,재무제표,BS,재무상태표,유동자산,제 43 기,2022.12.31 현재,"61,709,251,809",제 42 기,2021.12.31 현재,"68,494,013,765",제 41 기,2020.12.31 현재,"71,820,687,775",2,KRW
20230321001505,11011,2022,00187725,015710,OFS,재무제표,BS,재무상태표,비유동자산,제 43 기,2022.12.31 현재,"87,831,993,733",제 42 기,2021.12.31 현재,"89,096,069,058",제 41 기,2020.12.31 현재,"79,447,168,808",4,KRW
20230321001505,11011,2022,00187725,015710,OFS,재무제표,BS,재무상태표,자산총계,제 43 기,2022.12.31 현재,"149,541,245,542",제 42 기,2021.12.31 현재,"157,590,082,823",제 41 기,2020.12.31 현재,"151,267,856,583",6,KRW
20230321001505,11011,2022,00187725,015710,OFS,재무제표,BS,재무상태표,유동부채,제 43 기,2022.12.31 현재,"20,566,636,833",제 42 기,2021.12.31 현재,"17,822,050,353",제 41 기,2020.12.31 현재,"20,067,637,788",8,KRW
20230321001505,11011,2022,00187725,015710,OFS,재무제표,BS,재무상태표,비유동부채,제 43 기,2022.12.31 현재,"8,532,019,529",제 42 기,2021.12.31 현재,"15,243,972,359",제 41 기,2020.12.31 현재,"8,701,520,288",10,KRW
20230321001505,11011,2022,00187725,015710,OFS,재무제표,BS,재무상태표,부채총계,제 43 기,2022.12.31 현재,"29,098,656,362",제 42 기,2021.12.31 현재,"33,066,022,712",제 41 기,2020.12.31 현재,"28,769,158,076",12,KRW
20230321001505,11011,2022,00187725,015710,OFS,재무제표,BS,재무상태표,자본금,제 43 기,2022.12.31 현재,"8,765,250,000",제 42 기,2021.12.31 현재,"8,765,250,000",제 41 기,2020.12.31 현재,"8,765,250,000",15,KRW
20230321001505,11011,2022,00187725,015710,OFS,재무제표,BS,재무상태표,이익잉여금,제 43 기,2022.12.31 현재,"95,745,273,393",제 42 기,2021.12.31 현재,"99,826,744,324",제 41 기,2020.12.31 현재,"97,801,382,720",19,KRW
20230321001505,11011,2022,00187725,015710,OFS,재무제표,BS,재무상태표,자본총계,제 43 기,2022.12.31 현재,"120,442,589,180",제 42 기,2021.12.31 현재,"124,524,060,111",제 41 기,2020.12.31 현재,"122,498,698,507",22,KRW
20230321001505,11011,2022,00187725,015710,OFS,재무제표,IS,손익계산서,매출액,제 43 기,2022.01.01 ~ 2022.12.31,"95,280,775,618",제 42 기,2021.01.01 ~ 2021.12.31,"92,662,745,478",제 41 기,2020.01.01 ~ 2020.12.31,"118,930,331,790",24,KRW
20230321001505,11011,2022,00187725,015710,OFS,재무제표,IS,손익계산서,영업이익,제 43 기,2022.01.01 ~ 2022.12.31,"-2,284,773,942",제 42 기,2021.01.01 ~ 2021.12.31,"3,914,378,738",제 41 기,2020.01.01 ~ 2020.12.31,"10,870,086,156",26,KRW
20230321001505,11011,2022,00187725,015710,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 43 기,2022.01.01 ~ 2022.12.31,"-3,133,093,100",제 42 기,2021.01.01 ~ 2021.12.31,"5,120,782,166",제 41 기,2020.01.01 ~ 2020.12.31,"10,739,389,819",28,KRW
20230321001505,11011,2022,00187725,015710,OFS,재무제표,IS,손익계산서,당기순이익,제 43 기,2022.01.01 ~ 2022.12.31,"-2,646,231,763",제 42 기,2021.01.01 ~ 2021.12.31,"4,311,831,107",제 41 기,2020.01.01 ~ 2020.12.31,"7,277,832,587",30,KRW
20230321001505,11011,2022,00187725,015710,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 43 기,2022.01.01 ~ 2022.12.31,"-2,646,231,763",제 42 기,2021.01.01 ~ 2021.12.31,"4,311,831,107",제 41 기,2020.01.01 ~ 2020.12.31,"7,277,832,587",62,KRW
