rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240318000827,11011,2023,01032404,200130,CFS,연결재무제표,BS,재무상태표,유동자산,제 10 기,2023.12.31 현재,"226,666,332,736",제 9 기,2022.12.31 현재,"240,302,052,932",제 8 기,2021.12.31 현재,"270,865,511,027",1,KRW
20240318000827,11011,2023,01032404,200130,CFS,연결재무제표,BS,재무상태표,비유동자산,제 10 기,2023.12.31 현재,"467,841,882,001",제 9 기,2022.12.31 현재,"376,617,182,629",제 8 기,2021.12.31 현재,"267,023,159,025",3,KRW
20240318000827,11011,2023,01032404,200130,CFS,연결재무제표,BS,재무상태표,자산총계,제 10 기,2023.12.31 현재,"694,508,214,737",제 9 기,2022.12.31 현재,"616,919,235,561",제 8 기,2021.12.31 현재,"537,888,670,052",5,KRW
20240318000827,11011,2023,01032404,200130,CFS,연결재무제표,BS,재무상태표,유동부채,제 10 기,2023.12.31 현재,"219,635,010,596",제 9 기,2022.12.31 현재,"154,160,024,926",제 8 기,2021.12.31 현재,"125,892,875,024",7,KRW
20240318000827,11011,2023,01032404,200130,CFS,연결재무제표,BS,재무상태표,비유동부채,제 10 기,2023.12.31 현재,"78,570,926,613",제 9 기,2022.12.31 현재,"60,071,991,622",제 8 기,2021.12.31 현재,"25,355,692,750",9,KRW
20240318000827,11011,2023,01032404,200130,CFS,연결재무제표,BS,재무상태표,부채총계,제 10 기,2023.12.31 현재,"298,205,937,209",제 9 기,2022.12.31 현재,"214,232,016,548",제 8 기,2021.12.31 현재,"151,248,567,774",11,KRW
20240318000827,11011,2023,01032404,200130,CFS,연결재무제표,BS,재무상태표,자본금,제 10 기,2023.12.31 현재,"14,771,779,000",제 9 기,2022.12.31 현재,"14,771,779,000",제 8 기,2021.12.31 현재,"14,771,779,000",13,KRW
20240318000827,11011,2023,01032404,200130,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 10 기,2023.12.31 현재,"383,958,604,212",제 9 기,2022.12.31 현재,"376,671,933,181",제 8 기,2021.12.31 현재,"346,625,858,653",17,KRW
20240318000827,11011,2023,01032404,200130,CFS,연결재무제표,BS,재무상태표,자본총계,제 10 기,2023.12.31 현재,"396,302,277,528",제 9 기,2022.12.31 현재,"402,687,219,013",제 8 기,2021.12.31 현재,"386,640,102,278",21,KRW
20240318000827,11011,2023,01032404,200130,CFS,연결재무제표,IS,손익계산서,매출액,제 10 기,2023.01.01 ~ 2023.12.31,"579,551,538,026",제 9 기,2022.01.01 ~ 2022.12.31,"575,902,994,059",제 8 기,2021.01.01 ~ 2021.12.31,"593,080,731,909",23,KRW
20240318000827,11011,2023,01032404,200130,CFS,연결재무제표,IS,손익계산서,영업이익,제 10 기,2023.01.01 ~ 2023.12.31,"30,255,895,443",제 9 기,2022.01.01 ~ 2022.12.31,"61,123,995,164",제 8 기,2021.01.01 ~ 2021.12.31,"91,646,804,126",25,KRW
20240318000827,11011,2023,01032404,200130,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 10 기,2023.01.01 ~ 2023.12.31,"25,986,210,953",제 9 기,2022.01.01 ~ 2022.12.31,"55,837,100,069",제 8 기,2021.01.01 ~ 2021.12.31,"91,928,146,227",27,KRW
20240318000827,11011,2023,01032404,200130,CFS,연결재무제표,IS,손익계산서,당기순이익,제 10 기,2023.01.01 ~ 2023.12.31,"18,736,096,146",제 9 기,2022.01.01 ~ 2022.12.31,"40,378,154,901",제 8 기,2021.01.01 ~ 2021.12.31,"68,399,728,409",29,KRW
20240318000827,11011,2023,01032404,200130,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 10 기,2023.01.01 ~ 2023.12.31,"18,736,096,146",제 9 기,2022.01.01 ~ 2022.12.31,"40,378,154,901",제 8 기,2021.01.01 ~ 2021.12.31,"68,399,728,409",61,KRW
20240318000827,11011,2023,01032404,200130,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 10 기,2023.01.01 ~ 2023.12.31,"15,548,707,221",제 9 기,2022.01.01 ~ 2022.12.31,"41,648,721,439",제 8 기,2021.01.01 ~ 2021.12.31,"68,565,735,235",63,KRW
20240318000827,11011,2023,01032404,200130,OFS,재무제표,BS,재무상태표,유동자산,제 10 기,2023.12.31 현재,"172,161,083,872",제 9 기,2022.12.31 현재,"175,505,486,620",제 8 기,2021.12.31 현재,"233,579,805,541",2,KRW
20240318000827,11011,2023,01032404,200130,OFS,재무제표,BS,재무상태표,비유동자산,제 10 기,2023.12.31 현재,"375,832,852,404",제 9 기,2022.12.31 현재,"313,929,773,514",제 8 기,2021.12.31 현재,"214,378,005,484",4,KRW
20240318000827,11011,2023,01032404,200130,OFS,재무제표,BS,재무상태표,자산총계,제 10 기,2023.12.31 현재,"547,993,936,276",제 9 기,2022.12.31 현재,"489,435,260,134",제 8 기,2021.12.31 현재,"447,957,811,025",6,KRW
20240318000827,11011,2023,01032404,200130,OFS,재무제표,BS,재무상태표,유동부채,제 10 기,2023.12.31 현재,"79,255,041,815",제 9 기,2022.12.31 현재,"46,785,685,804",제 8 기,2021.12.31 현재,"67,858,253,855",8,KRW
20240318000827,11011,2023,01032404,200130,OFS,재무제표,BS,재무상태표,비유동부채,제 10 기,2023.12.31 현재,"77,286,236,456",제 9 기,2022.12.31 현재,"57,473,688,277",제 8 기,2021.12.31 현재,"21,731,648,742",10,KRW
20240318000827,11011,2023,01032404,200130,OFS,재무제표,BS,재무상태표,부채총계,제 10 기,2023.12.31 현재,"156,541,278,271",제 9 기,2022.12.31 현재,"104,259,374,081",제 8 기,2021.12.31 현재,"89,589,902,597",12,KRW
