rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250318001338,11011,2024,01033591,405100,CFS,연결재무제표,BS,재무상태표,유동자산,제 11 기,2024.12.31 현재,"55,462,038,500",제 10 기,2023.12.31 현재,"64,684,378,472",제 9 기,2022.12.31 현재,"107,069,735,725",1,KRW
20250318001338,11011,2024,01033591,405100,CFS,연결재무제표,BS,재무상태표,비유동자산,제 11 기,2024.12.31 현재,"80,858,423,565",제 10 기,2023.12.31 현재,"77,103,355,179",제 9 기,2022.12.31 현재,"42,141,561,414",3,KRW
20250318001338,11011,2024,01033591,405100,CFS,연결재무제표,BS,재무상태표,자산총계,제 11 기,2024.12.31 현재,"136,320,462,065",제 10 기,2023.12.31 현재,"141,787,733,651",제 9 기,2022.12.31 현재,"149,211,297,139",5,KRW
20250318001338,11011,2024,01033591,405100,CFS,연결재무제표,BS,재무상태표,유동부채,제 11 기,2024.12.31 현재,"28,105,400,950",제 10 기,2023.12.31 현재,"27,049,577,363",제 9 기,2022.12.31 현재,"26,408,715,020",7,KRW
20250318001338,11011,2024,01033591,405100,CFS,연결재무제표,BS,재무상태표,비유동부채,제 11 기,2024.12.31 현재,"17,859,280,730",제 10 기,2023.12.31 현재,"14,674,387,396",제 9 기,2022.12.31 현재,"18,752,548,128",9,KRW
20250318001338,11011,2024,01033591,405100,CFS,연결재무제표,BS,재무상태표,부채총계,제 11 기,2024.12.31 현재,"45,964,681,680",제 10 기,2023.12.31 현재,"41,723,964,759",제 9 기,2022.12.31 현재,"45,161,263,148",11,KRW
20250318001338,11011,2024,01033591,405100,CFS,연결재무제표,BS,재무상태표,자본금,제 11 기,2024.12.31 현재,"6,144,650,500",제 10 기,2023.12.31 현재,"5,994,054,000",제 9 기,2022.12.31 현재,"5,976,834,000",13,KRW
20250318001338,11011,2024,01033591,405100,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 11 기,2024.12.31 현재,"28,556,746,661",제 10 기,2023.12.31 현재,"31,492,818,771",제 9 기,2022.12.31 현재,"35,524,255,782",17,KRW
20250318001338,11011,2024,01033591,405100,CFS,연결재무제표,BS,재무상태표,자본총계,제 11 기,2024.12.31 현재,"90,355,780,385",제 10 기,2023.12.31 현재,"100,063,768,892",제 9 기,2022.12.31 현재,"104,050,033,991",21,KRW
20250318001338,11011,2024,01033591,405100,CFS,연결재무제표,IS,손익계산서,매출액,제 11 기,2024.01.01 ~ 2024.12.31,"65,250,660,837",제 10 기,2023.01.01 ~ 2023.12.31,"53,256,955,744",제 9 기,2022.01.01 ~ 2022.12.31,"59,628,906,235",23,KRW
20250318001338,11011,2024,01033591,405100,CFS,연결재무제표,IS,손익계산서,영업이익,제 11 기,2024.01.01 ~ 2024.12.31,"4,767,436,351",제 10 기,2023.01.01 ~ 2023.12.31,"752,199,915",제 9 기,2022.01.01 ~ 2022.12.31,"10,285,825,829",25,KRW
20250318001338,11011,2024,01033591,405100,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 11 기,2024.01.01 ~ 2024.12.31,"3,004,807,897",제 10 기,2023.01.01 ~ 2023.12.31,"2,851,397,606",제 9 기,2022.01.01 ~ 2022.12.31,"8,384,969,569",27,KRW
20250318001338,11011,2024,01033591,405100,CFS,연결재무제표,IS,손익계산서,당기순이익,제 11 기,2024.01.01 ~ 2024.12.31,"2,857,421,981",제 10 기,2023.01.01 ~ 2023.12.31,"2,624,483,373",제 9 기,2022.01.01 ~ 2022.12.31,"6,433,583,076",29,KRW
20250318001338,11011,2024,01033591,405100,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 11 기,2024.01.01 ~ 2024.12.31,"2,857,421,981",제 10 기,2023.01.01 ~ 2023.12.31,"2,624,483,373",제 9 기,2022.01.01 ~ 2022.12.31,"6,433,583,076",61,KRW
20250318001338,11011,2024,01033591,405100,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 11 기,2024.01.01 ~ 2024.12.31,"1,609,458,556",제 10 기,2023.01.01 ~ 2023.12.31,"1,480,259,867",제 9 기,2022.01.01 ~ 2022.12.31,"7,115,179,867",63,KRW
20250318001338,11011,2024,01033591,405100,OFS,재무제표,BS,재무상태표,유동자산,제 11 기,2024.12.31 현재,"53,445,408,238",제 10 기,2023.12.31 현재,"61,562,208,669",제 9 기,2022.12.31 현재,"102,680,134,600",2,KRW
20250318001338,11011,2024,01033591,405100,OFS,재무제표,BS,재무상태표,비유동자산,제 11 기,2024.12.31 현재,"76,963,731,826",제 10 기,2023.12.31 현재,"72,797,819,996",제 9 기,2022.12.31 현재,"36,789,642,969",4,KRW
20250318001338,11011,2024,01033591,405100,OFS,재무제표,BS,재무상태표,자산총계,제 11 기,2024.12.31 현재,"130,409,140,064",제 10 기,2023.12.31 현재,"134,360,028,665",제 9 기,2022.12.31 현재,"139,469,777,569",6,KRW
20250318001338,11011,2024,01033591,405100,OFS,재무제표,BS,재무상태표,유동부채,제 11 기,2024.12.31 현재,"12,850,904,222",제 10 기,2023.12.31 현재,"14,202,991,124",제 9 기,2022.12.31 현재,"26,503,726,032",8,KRW
20250318001338,11011,2024,01033591,405100,OFS,재무제표,BS,재무상태표,비유동부채,제 11 기,2024.12.31 현재,"17,757,240,241",제 10 기,2023.12.31 현재,"15,021,825,864",제 9 기,2022.12.31 현재,"6,838,690,895",10,KRW
20250318001338,11011,2024,01033591,405100,OFS,재무제표,BS,재무상태표,부채총계,제 11 기,2024.12.31 현재,"30,608,144,463",제 10 기,2023.12.31 현재,"29,224,816,988",제 9 기,2022.12.31 현재,"33,342,416,927",12,KRW
20250318001338,11011,2024,01033591,405100,OFS,재무제표,BS,재무상태표,자본금,제 11 기,2024.12.31 현재,"6,144,650,500",제 10 기,2023.12.31 현재,"5,994,054,000",제 9 기,2022.12.31 현재,"5,976,834,000",15,KRW
