rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230322001243,11011,2022,00525882,096240,CFS,연결재무제표,BS,재무상태표,유동자산,제 21 기,2022.12.31 현재,"60,463,234,513",제 20 기,2021.12.31 현재,"83,299,518,152",제 19 기,2020.12.31 현재,"80,625,723,721",1,KRW
20230322001243,11011,2022,00525882,096240,CFS,연결재무제표,BS,재무상태표,비유동자산,제 21 기,2022.12.31 현재,"163,687,185,156",제 20 기,2021.12.31 현재,"146,561,011,868",제 19 기,2020.12.31 현재,"128,989,751,385",3,KRW
20230322001243,11011,2022,00525882,096240,CFS,연결재무제표,BS,재무상태표,자산총계,제 21 기,2022.12.31 현재,"224,150,419,669",제 20 기,2021.12.31 현재,"229,860,530,020",제 19 기,2020.12.31 현재,"209,615,475,106",5,KRW
20230322001243,11011,2022,00525882,096240,CFS,연결재무제표,BS,재무상태표,유동부채,제 21 기,2022.12.31 현재,"109,055,064,630",제 20 기,2021.12.31 현재,"80,642,654,684",제 19 기,2020.12.31 현재,"77,499,608,359",7,KRW
20230322001243,11011,2022,00525882,096240,CFS,연결재무제표,BS,재무상태표,비유동부채,제 21 기,2022.12.31 현재,"68,181,346,035",제 20 기,2021.12.31 현재,"46,181,164,340",제 19 기,2020.12.31 현재,"28,769,921,194",9,KRW
20230322001243,11011,2022,00525882,096240,CFS,연결재무제표,BS,재무상태표,부채총계,제 21 기,2022.12.31 현재,"177,236,410,665",제 20 기,2021.12.31 현재,"126,823,819,024",제 19 기,2020.12.31 현재,"106,269,529,553",11,KRW
20230322001243,11011,2022,00525882,096240,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 21 기,2022.12.31 현재,"98,123,029,876",제 20 기,2021.12.31 현재,"13,618,272,237",제 19 기,2020.12.31 현재,"9,833,428,962",17,KRW
20230322001243,11011,2022,00525882,096240,CFS,연결재무제표,BS,재무상태표,자본총계,제 21 기,2022.12.31 현재,"46,914,009,004",제 20 기,2021.12.31 현재,"103,036,710,996",제 19 기,2020.12.31 현재,"103,345,945,553",21,KRW
20230322001243,11011,2022,00525882,096240,CFS,연결재무제표,IS,손익계산서,매출액,제 21 기,2022.01.01 ~ 2022.12.31,"227,499,581,732",제 20 기,2021.01.01 ~ 2021.12.31,"210,735,912,095",제 19 기,2020.01.01 ~ 2020.12.31,"180,019,914,097",23,KRW
20230322001243,11011,2022,00525882,096240,CFS,연결재무제표,IS,손익계산서,영업이익,제 21 기,2022.01.01 ~ 2022.12.31,"25,653,163,787",제 20 기,2021.01.01 ~ 2021.12.31,"31,194,760,607",제 19 기,2020.01.01 ~ 2020.12.31,"16,921,170,474",25,KRW
20230322001243,11011,2022,00525882,096240,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 21 기,2022.01.01 ~ 2022.12.31,"11,713,465,494",제 20 기,2021.01.01 ~ 2021.12.31,"24,902,179,537",제 19 기,2020.01.01 ~ 2020.12.31,"14,989,515,691",27,KRW
20230322001243,11011,2022,00525882,096240,CFS,연결재무제표,IS,손익계산서,당기순이익,제 21 기,2022.01.01 ~ 2022.12.31,"4,826,304,143",제 20 기,2021.01.01 ~ 2021.12.31,"18,534,687,076",제 19 기,2020.01.01 ~ 2020.12.31,"8,638,270,258",29,KRW
20230322001243,11011,2022,00525882,096240,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 21 기,2022.01.01 ~ 2022.12.31,"4,826,304,143",제 20 기,2021.01.01 ~ 2021.12.31,"18,534,687,076",제 19 기,2020.01.01 ~ 2020.12.31,"8,638,270,258",61,KRW
20230322001243,11011,2022,00525882,096240,OFS,재무제표,BS,재무상태표,유동자산,제 21 기,2022.12.31 현재,"50,768,579,563",제 20 기,2021.12.31 현재,"57,525,765,009",제 19 기,2020.12.31 현재,"53,506,962,409",2,KRW
20230322001243,11011,2022,00525882,096240,OFS,재무제표,BS,재무상태표,비유동자산,제 21 기,2022.12.31 현재,"146,320,594,453",제 20 기,2021.12.31 현재,"82,828,061,939",제 19 기,2020.12.31 현재,"69,011,159,179",4,KRW
20230322001243,11011,2022,00525882,096240,OFS,재무제표,BS,재무상태표,자산총계,제 21 기,2022.12.31 현재,"197,089,174,016",제 20 기,2021.12.31 현재,"140,353,826,948",제 19 기,2020.12.31 현재,"122,518,121,588",6,KRW
20230322001243,11011,2022,00525882,096240,OFS,재무제표,BS,재무상태표,유동부채,제 21 기,2022.12.31 현재,"92,447,706,793",제 20 기,2021.12.31 현재,"37,253,270,007",제 19 기,2020.12.31 현재,"33,597,078,691",8,KRW
20230322001243,11011,2022,00525882,096240,OFS,재무제표,BS,재무상태표,비유동부채,제 21 기,2022.12.31 현재,"53,545,203,376",제 20 기,2021.12.31 현재,"18,127,379,285",제 19 기,2020.12.31 현재,"8,604,507,114",10,KRW
20230322001243,11011,2022,00525882,096240,OFS,재무제표,BS,재무상태표,부채총계,제 21 기,2022.12.31 현재,"145,992,910,169",제 20 기,2021.12.31 현재,"55,380,649,292",제 19 기,2020.12.31 현재,"42,201,585,805",12,KRW
20230322001243,11011,2022,00525882,096240,OFS,재무제표,BS,재무상태표,이익잉여금,제 21 기,2022.12.31 현재,"114,927,289,385",제 20 기,2021.12.31 현재,"20,695,575,476",제 19 기,2020.12.31 현재,"15,062,469,613",19,KRW
20230322001243,11011,2022,00525882,096240,OFS,재무제표,BS,재무상태표,자본총계,제 21 기,2022.12.31 현재,"51,096,263,847",제 20 기,2021.12.31 현재,"84,973,177,656",제 19 기,2020.12.31 현재,"80,316,535,783",22,KRW
20230322001243,11011,2022,00525882,096240,OFS,재무제표,IS,손익계산서,매출액,제 21 기,2022.01.01 ~ 2022.12.31,"190,615,289,186",제 20 기,2021.01.01 ~ 2021.12.31,"110,560,704,810",제 19 기,2020.01.01 ~ 2020.12.31,"92,180,604,567",24,KRW
20230322001243,11011,2022,00525882,096240,OFS,재무제표,IS,손익계산서,영업이익,제 21 기,2022.01.01 ~ 2022.12.31,"24,053,570,880",제 20 기,2021.01.01 ~ 2021.12.31,"22,670,254,291",제 19 기,2020.01.01 ~ 2020.12.31,"15,250,694,218",26,KRW
