rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230323001168,11011,2022,00618401,114120,CFS,연결재무제표,BS,재무상태표,유동자산,제 22 기,2022.12.31 현재,"22,781,195,698",제 21 기,2021.12.31 현재,"23,416,219,072",제 20 기,2020.12.31 현재,"25,575,292,680",1,KRW
20230323001168,11011,2022,00618401,114120,CFS,연결재무제표,BS,재무상태표,비유동자산,제 22 기,2022.12.31 현재,"684,309,914",제 21 기,2021.12.31 현재,"14,112,032,576",제 20 기,2020.12.31 현재,"25,492,942,376",3,KRW
20230323001168,11011,2022,00618401,114120,CFS,연결재무제표,BS,재무상태표,자산총계,제 22 기,2022.12.31 현재,"23,465,505,612",제 21 기,2021.12.31 현재,"37,528,251,648",제 20 기,2020.12.31 현재,"51,068,235,056",5,KRW
20230323001168,11011,2022,00618401,114120,CFS,연결재무제표,BS,재무상태표,유동부채,제 22 기,2022.12.31 현재,"16,587,281,286",제 21 기,2021.12.31 현재,"25,696,946,767",제 20 기,2020.12.31 현재,"13,655,648,308",7,KRW
20230323001168,11011,2022,00618401,114120,CFS,연결재무제표,BS,재무상태표,비유동부채,제 22 기,2022.12.31 현재,"4,443,511,171",제 21 기,2021.12.31 현재,"140,466,628",제 20 기,2020.12.31 현재,"5,515,079,793",9,KRW
20230323001168,11011,2022,00618401,114120,CFS,연결재무제표,BS,재무상태표,부채총계,제 22 기,2022.12.31 현재,"21,030,792,457",제 21 기,2021.12.31 현재,"25,837,413,395",제 20 기,2020.12.31 현재,"19,170,728,101",11,KRW
20230323001168,11011,2022,00618401,114120,CFS,연결재무제표,BS,재무상태표,자본금,제 22 기,2022.12.31 현재,"2,296,131,000",제 21 기,2021.12.31 현재,"20,961,315,000",제 20 기,2020.12.31 현재,"20,961,315,000",13,KRW
20230323001168,11011,2022,00618401,114120,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 22 기,2022.12.31 현재,"-158,051,546,412",제 21 기,2021.12.31 현재,"-150,476,043,290",제 20 기,2020.12.31 현재,"-135,600,111,248",17,KRW
20230323001168,11011,2022,00618401,114120,CFS,연결재무제표,BS,재무상태표,자본총계,제 22 기,2022.12.31 현재,"2,434,713,155",제 21 기,2021.12.31 현재,"11,690,838,253",제 20 기,2020.12.31 현재,"31,897,506,955",21,KRW
20230323001168,11011,2022,00618401,114120,CFS,연결재무제표,IS,손익계산서,매출액,제 22 기,2022.01.01 ~ 2022.12.31,"28,989,657,882",제 21 기,2021.01.01 ~ 2021.12.31,"41,735,529,897",제 20 기,2020.01.01 ~ 2020.12.31,"47,637,042,183",23,KRW
