rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250320001273,11011,2024,00957735,237880,CFS,연결재무제표,BS,재무상태표,유동자산,제 28 기,2024.12.31 현재,"186,896,152,222",제 27 기,2023.12.31 현재,"170,734,836,445",제 26 기,2022.12.31 현재,"129,713,676,306",1,KRW
20250320001273,11011,2024,00957735,237880,CFS,연결재무제표,BS,재무상태표,비유동자산,제 28 기,2024.12.31 현재,"108,530,219,061",제 27 기,2023.12.31 현재,"108,833,046,246",제 26 기,2022.12.31 현재,"114,171,815,283",3,KRW
20250320001273,11011,2024,00957735,237880,CFS,연결재무제표,BS,재무상태표,자산총계,제 28 기,2024.12.31 현재,"295,426,371,283",제 27 기,2023.12.31 현재,"279,567,882,691",제 26 기,2022.12.31 현재,"243,885,491,589",5,KRW
20250320001273,11011,2024,00957735,237880,CFS,연결재무제표,BS,재무상태표,유동부채,제 28 기,2024.12.31 현재,"46,505,968,880",제 27 기,2023.12.31 현재,"54,104,818,129",제 26 기,2022.12.31 현재,"44,063,527,784",7,KRW
20250320001273,11011,2024,00957735,237880,CFS,연결재무제표,BS,재무상태표,비유동부채,제 28 기,2024.12.31 현재,"15,027,546,149",제 27 기,2023.12.31 현재,"11,764,574,966",제 26 기,2022.12.31 현재,"9,445,698,823",9,KRW
20250320001273,11011,2024,00957735,237880,CFS,연결재무제표,BS,재무상태표,부채총계,제 28 기,2024.12.31 현재,"61,533,515,029",제 27 기,2023.12.31 현재,"65,869,393,095",제 26 기,2022.12.31 현재,"53,509,226,607",11,KRW
20250320001273,11011,2024,00957735,237880,CFS,연결재무제표,BS,재무상태표,자본금,제 28 기,2024.12.31 현재,"9,035,676,500",제 27 기,2023.12.31 현재,"9,035,676,500",제 26 기,2022.12.31 현재,"9,035,676,500",13,KRW
20250320001273,11011,2024,00957735,237880,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 28 기,2024.12.31 현재,"144,524,056,258",제 27 기,2023.12.31 현재,"124,155,781,546",제 26 기,2022.12.31 현재,"101,024,586,908",17,KRW
20250320001273,11011,2024,00957735,237880,CFS,연결재무제표,BS,재무상태표,자본총계,제 28 기,2024.12.31 현재,"233,892,856,254",제 27 기,2023.12.31 현재,"213,698,489,596",제 26 기,2022.12.31 현재,"190,376,264,982",21,KRW
20250320001273,11011,2024,00957735,237880,CFS,연결재무제표,IS,손익계산서,매출액,제 28 기,2024.01.01 ~ 2024.12.31,"351,365,821,349",제 27 기,2023.01.01 ~ 2023.12.31,"330,584,497,213",제 26 기,2022.01.01 ~ 2022.12.31,"272,455,447,001",23,KRW
20250320001273,11011,2024,00957735,237880,CFS,연결재무제표,IS,손익계산서,영업이익,제 28 기,2024.01.01 ~ 2024.12.31,"24,602,690,232",제 27 기,2023.01.01 ~ 2023.12.31,"33,809,871,290",제 26 기,2022.01.01 ~ 2022.12.31,"17,882,330,512",25,KRW
20250320001273,11011,2024,00957735,237880,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 28 기,2024.01.01 ~ 2024.12.31,"32,330,514,688",제 27 기,2023.01.01 ~ 2023.12.31,"36,075,219,486",제 26 기,2022.01.01 ~ 2022.12.31,"15,700,019,742",27,KRW
20250320001273,11011,2024,00957735,237880,CFS,연결재무제표,IS,손익계산서,당기순이익,제 28 기,2024.01.01 ~ 2024.12.31,"27,155,971,328",제 27 기,2023.01.01 ~ 2023.12.31,"27,319,035,509",제 26 기,2022.01.01 ~ 2022.12.31,"10,128,871,042",29,KRW
