rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240319000625,11011,2023,00122481,014580,CFS,연결재무제표,BS,재무상태표,유동자산,제 44 기,2023.12.31 현재,"148,954,977,261",제 43 기,2022.12.31 현재,"146,184,796,631",제 42 기,2021.12.31 현재,"123,841,368,096",1,KRW
20240319000625,11011,2023,00122481,014580,CFS,연결재무제표,BS,재무상태표,비유동자산,제 44 기,2023.12.31 현재,"229,086,054,148",제 43 기,2022.12.31 현재,"215,055,382,005",제 42 기,2021.12.31 현재,"208,541,055,432",3,KRW
20240319000625,11011,2023,00122481,014580,CFS,연결재무제표,BS,재무상태표,자산총계,제 44 기,2023.12.31 현재,"378,041,031,409",제 43 기,2022.12.31 현재,"361,240,178,636",제 42 기,2021.12.31 현재,"332,382,423,528",5,KRW
20240319000625,11011,2023,00122481,014580,CFS,연결재무제표,BS,재무상태표,유동부채,제 44 기,2023.12.31 현재,"63,891,219,664",제 43 기,2022.12.31 현재,"75,674,736,765",제 42 기,2021.12.31 현재,"65,993,127,478",7,KRW
20240319000625,11011,2023,00122481,014580,CFS,연결재무제표,BS,재무상태표,비유동부채,제 44 기,2023.12.31 현재,"21,247,368,632",제 43 기,2022.12.31 현재,"20,618,142,741",제 42 기,2021.12.31 현재,"31,546,657,507",9,KRW
20240319000625,11011,2023,00122481,014580,CFS,연결재무제표,BS,재무상태표,부채총계,제 44 기,2023.12.31 현재,"85,138,588,296",제 43 기,2022.12.31 현재,"96,292,879,506",제 42 기,2021.12.31 현재,"97,539,784,985",11,KRW
20240319000625,11011,2023,00122481,014580,CFS,연결재무제표,BS,재무상태표,자본금,제 44 기,2023.12.31 현재,"13,791,550,000",제 43 기,2022.12.31 현재,"13,791,550,000",제 42 기,2021.12.31 현재,"13,791,550,000",13,KRW
20240319000625,11011,2023,00122481,014580,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 44 기,2023.12.31 현재,"120,800,489,182",제 43 기,2022.12.31 현재,"101,557,453,510",제 42 기,2021.12.31 현재,"79,289,258,000",17,KRW
20240319000625,11011,2023,00122481,014580,CFS,연결재무제표,BS,재무상태표,자본총계,제 44 기,2023.12.31 현재,"292,902,443,113",제 43 기,2022.12.31 현재,"264,947,299,130",제 42 기,2021.12.31 현재,"234,842,638,543",21,KRW
20240319000625,11011,2023,00122481,014580,CFS,연결재무제표,IS,손익계산서,매출액,제 44 기,2023.01.01 ~ 2023.12.31,"294,162,114,095",제 43 기,2022.01.01 ~ 2022.12.31,"345,051,212,031",제 42 기,2021.01.01 ~ 2021.12.31,"195,157,043,546",23,KRW
20240319000625,11011,2023,00122481,014580,CFS,연결재무제표,IS,손익계산서,영업이익,제 44 기,2023.01.01 ~ 2023.12.31,"40,076,503,357",제 43 기,2022.01.01 ~ 2022.12.31,"31,945,997,236",제 42 기,2021.01.01 ~ 2021.12.31,"19,603,002,069",25,KRW
20240319000625,11011,2023,00122481,014580,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 44 기,2023.01.01 ~ 2023.12.31,"43,259,948,255",제 43 기,2022.01.01 ~ 2022.12.31,"29,518,133,741",제 42 기,2021.01.01 ~ 2021.12.31,"21,924,704,959",27,KRW
20240319000625,11011,2023,00122481,014580,CFS,연결재무제표,IS,손익계산서,당기순이익,제 44 기,2023.01.01 ~ 2023.12.31,"34,255,565,024",제 43 기,2022.01.01 ~ 2022.12.31,"28,816,693,926",제 42 기,2021.01.01 ~ 2021.12.31,"15,491,051,806",29,KRW
20240319000625,11011,2023,00122481,014580,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 44 기,2023.01.01 ~ 2023.12.31,"34,255,565,024",제 43 기,2022.01.01 ~ 2022.12.31,"28,816,693,926",제 42 기,2021.01.01 ~ 2021.12.31,"15,491,051,806",61,KRW
20240319000625,11011,2023,00122481,014580,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 44 기,2023.01.01 ~ 2023.12.31,"32,877,256,894",제 43 기,2022.01.01 ~ 2022.12.31,"34,589,394,878",제 42 기,2021.01.01 ~ 2021.12.31,"27,186,966,000",63,KRW
20240319000625,11011,2023,00122481,014580,OFS,재무제표,BS,재무상태표,유동자산,제 44 기,2023.12.31 현재,"80,018,957,583",제 43 기,2022.12.31 현재,"80,023,416,643",제 42 기,2021.12.31 현재,"61,583,079,652",2,KRW
20240319000625,11011,2023,00122481,014580,OFS,재무제표,BS,재무상태표,비유동자산,제 44 기,2023.12.31 현재,"152,385,081,821",제 43 기,2022.12.31 현재,"150,992,092,842",제 42 기,2021.12.31 현재,"147,368,631,083",4,KRW
20240319000625,11011,2023,00122481,014580,OFS,재무제표,BS,재무상태표,자산총계,제 44 기,2023.12.31 현재,"232,404,039,404",제 43 기,2022.12.31 현재,"231,015,509,485",제 42 기,2021.12.31 현재,"208,951,710,735",6,KRW
20240319000625,11011,2023,00122481,014580,OFS,재무제표,BS,재무상태표,유동부채,제 44 기,2023.12.31 현재,"51,491,778,080",제 43 기,2022.12.31 현재,"64,037,464,567",제 42 기,2021.12.31 현재,"55,546,738,598",8,KRW
20240319000625,11011,2023,00122481,014580,OFS,재무제표,BS,재무상태표,비유동부채,제 44 기,2023.12.31 현재,"11,987,701,264",제 43 기,2022.12.31 현재,"11,868,504,639",제 42 기,2021.12.31 현재,"18,304,940,842",10,KRW
20240319000625,11011,2023,00122481,014580,OFS,재무제표,BS,재무상태표,부채총계,제 44 기,2023.12.31 현재,"63,479,479,344",제 43 기,2022.12.31 현재,"75,905,969,206",제 42 기,2021.12.31 현재,"73,851,679,440",12,KRW
20240319000625,11011,2023,00122481,014580,OFS,재무제표,BS,재무상태표,자본금,제 44 기,2023.12.31 현재,"13,791,550,000",제 43 기,2022.12.31 현재,"13,791,550,000",제 42 기,2021.12.31 현재,"13,791,550,000",15,KRW
20240319000625,11011,2023,00122481,014580,OFS,재무제표,BS,재무상태표,이익잉여금,제 44 기,2023.12.31 현재,"102,091,386,761",제 43 기,2022.12.31 현재,"88,370,115,332",제 42 기,2021.12.31 현재,"70,630,403,746",19,KRW
20240319000625,11011,2023,00122481,014580,OFS,재무제표,BS,재무상태표,자본총계,제 44 기,2023.12.31 현재,"168,924,560,060",제 43 기,2022.12.31 현재,"155,109,540,279",제 42 기,2021.12.31 현재,"135,100,031,295",22,KRW
20240319000625,11011,2023,00122481,014580,OFS,재무제표,IS,손익계산서,매출액,제 44 기,2023.01.01 ~ 2023.12.31,"223,415,907,213",제 43 기,2022.01.01 ~ 2022.12.31,"285,439,614,334",제 42 기,2021.01.01 ~ 2021.12.31,"141,090,924,657",24,KRW
20240319000625,11011,2023,00122481,014580,OFS,재무제표,IS,손익계산서,영업이익,제 44 기,2023.01.01 ~ 2023.12.31,"22,173,968,162",제 43 기,2022.01.01 ~ 2022.12.31,"21,520,065,556",제 42 기,2021.01.01 ~ 2021.12.31,"7,435,740,020",26,KRW
20240319000625,11011,2023,00122481,014580,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 44 기,2023.01.01 ~ 2023.12.31,"22,533,908,425",제 43 기,2022.01.01 ~ 2022.12.31,"18,501,490,522",제 42 기,2021.01.01 ~ 2021.12.31,"8,928,444,207",28,KRW
20240319000625,11011,2023,00122481,014580,OFS,재무제표,IS,손익계산서,당기순이익,제 44 기,2023.01.01 ~ 2023.12.31,"18,080,102,526",제 43 기,2022.01.01 ~ 2022.12.31,"19,107,420,061",제 42 기,2021.01.01 ~ 2021.12.31,"6,764,869,183",30,KRW
20240319000625,11011,2023,00122481,014580,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 44 기,2023.01.01 ~ 2023.12.31,"18,080,102,526",제 43 기,2022.01.01 ~ 2022.12.31,"19,107,420,061",제 42 기,2021.01.01 ~ 2021.12.31,"6,764,869,183",62,KRW
20240319000625,11011,2023,00122481,014580,OFS,재무제표,IS,손익계산서,총포괄손익,제 44 기,2023.01.01 ~ 2023.12.31,"17,398,648,892",제 43 기,2022.01.01 ~ 2022.12.31,"23,021,911,095",제 42 기,2021.01.01 ~ 2021.12.31,"11,903,892,044",64,KRW
