rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240321001124,11011,2023,00153375,023160,CFS,연결재무제표,BS,재무상태표,유동자산,제 42 기,2023.12.31 현재,"303,514,704,040",제 41 기,2022.12.31 현재,"312,707,863,420",제 40 기,2021.12.31 현재,"234,559,227,842",1,KRW
20240321001124,11011,2023,00153375,023160,CFS,연결재무제표,BS,재무상태표,비유동자산,제 42 기,2023.12.31 현재,"322,780,541,444",제 41 기,2022.12.31 현재,"281,287,282,446",제 40 기,2021.12.31 현재,"270,627,221,932",3,KRW
20240321001124,11011,2023,00153375,023160,CFS,연결재무제표,BS,재무상태표,자산총계,제 42 기,2023.12.31 현재,"626,295,245,484",제 41 기,2022.12.31 현재,"593,995,145,866",제 40 기,2021.12.31 현재,"505,186,449,774",5,KRW
20240321001124,11011,2023,00153375,023160,CFS,연결재무제표,BS,재무상태표,유동부채,제 42 기,2023.12.31 현재,"34,017,824,369",제 41 기,2022.12.31 현재,"52,478,259,759",제 40 기,2021.12.31 현재,"28,727,048,930",7,KRW
20240321001124,11011,2023,00153375,023160,CFS,연결재무제표,BS,재무상태표,비유동부채,제 42 기,2023.12.31 현재,"16,885,988,602",제 41 기,2022.12.31 현재,"17,284,149,248",제 40 기,2021.12.31 현재,"23,378,563,810",9,KRW
20240321001124,11011,2023,00153375,023160,CFS,연결재무제표,BS,재무상태표,부채총계,제 42 기,2023.12.31 현재,"50,903,812,971",제 41 기,2022.12.31 현재,"69,762,409,007",제 40 기,2021.12.31 현재,"52,105,612,740",11,KRW
20240321001124,11011,2023,00153375,023160,CFS,연결재무제표,BS,재무상태표,자본금,제 42 기,2023.12.31 현재,"13,250,000,000",제 41 기,2022.12.31 현재,"13,250,000,000",제 40 기,2021.12.31 현재,"13,250,000,000",13,KRW
20240321001124,11011,2023,00153375,023160,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 42 기,2023.12.31 현재,"484,376,008,685",제 41 기,2022.12.31 현재,"435,293,623,965",제 40 기,2021.12.31 현재,"401,285,597,000",17,KRW
20240321001124,11011,2023,00153375,023160,CFS,연결재무제표,BS,재무상태표,자본총계,제 42 기,2023.12.31 현재,"575,391,432,513",제 41 기,2022.12.31 현재,"524,232,736,859",제 40 기,2021.12.31 현재,"453,080,837,034",21,KRW
20240321001124,11011,2023,00153375,023160,CFS,연결재무제표,IS,손익계산서,매출액,제 42 기,2023.01.01 ~ 2023.12.31,"312,067,468,098",제 41 기,2022.01.01 ~ 2022.12.31,"249,742,674,195",제 40 기,2021.01.01 ~ 2021.12.31,"185,147,913,272",23,KRW
20240321001124,11011,2023,00153375,023160,CFS,연결재무제표,IS,손익계산서,영업이익,제 42 기,2023.01.01 ~ 2023.12.31,"57,724,095,747",제 41 기,2022.01.01 ~ 2022.12.31,"45,350,048,019",제 40 기,2021.01.01 ~ 2021.12.31,"13,530,787,202",25,KRW
20240321001124,11011,2023,00153375,023160,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 42 기,2023.01.01 ~ 2023.12.31,"70,645,119,401",제 41 기,2022.01.01 ~ 2022.12.31,"46,787,634,930",제 40 기,2021.01.01 ~ 2021.12.31,"22,036,747,060",27,KRW
20240321001124,11011,2023,00153375,023160,CFS,연결재무제표,IS,손익계산서,당기순이익,제 42 기,2023.01.01 ~ 2023.12.31,"58,128,426,139",제 41 기,2022.01.01 ~ 2022.12.31,"36,783,440,070",제 40 기,2021.01.01 ~ 2021.12.31,"18,549,460,527",29,KRW
20240321001124,11011,2023,00153375,023160,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 42 기,2023.01.01 ~ 2023.12.31,"58,128,426,139",제 41 기,2022.01.01 ~ 2022.12.31,"36,783,440,070",제 40 기,2021.01.01 ~ 2021.12.31,"18,549,460,527",61,KRW
20240321001124,11011,2023,00153375,023160,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 42 기,2023.01.01 ~ 2023.12.31,"56,231,897,621",제 41 기,2022.01.01 ~ 2022.12.31,"37,635,543,367",제 40 기,2021.01.01 ~ 2021.12.31,"19,320,655,210",63,KRW
20240321001124,11011,2023,00153375,023160,OFS,재무제표,BS,재무상태표,유동자산,제 42 기,2023.12.31 현재,"252,239,337,997",제 41 기,2022.12.31 현재,"269,367,922,354",제 40 기,2021.12.31 현재,"216,266,882,651",2,KRW
20240321001124,11011,2023,00153375,023160,OFS,재무제표,BS,재무상태표,비유동자산,제 42 기,2023.12.31 현재,"298,038,312,977",제 41 기,2022.12.31 현재,"251,200,600,185",제 40 기,2021.12.31 현재,"246,467,928,947",4,KRW
20240321001124,11011,2023,00153375,023160,OFS,재무제표,BS,재무상태표,자산총계,제 42 기,2023.12.31 현재,"550,277,650,974",제 41 기,2022.12.31 현재,"520,568,522,539",제 40 기,2021.12.31 현재,"462,734,811,598",6,KRW
20240321001124,11011,2023,00153375,023160,OFS,재무제표,BS,재무상태표,유동부채,제 42 기,2023.12.31 현재,"28,354,972,589",제 41 기,2022.12.31 현재,"46,500,546,945",제 40 기,2021.12.31 현재,"21,820,908,721",8,KRW
20240321001124,11011,2023,00153375,023160,OFS,재무제표,BS,재무상태표,비유동부채,제 42 기,2023.12.31 현재,"7,833,073,639",제 41 기,2022.12.31 현재,"7,133,635,944",제 40 기,2021.12.31 현재,"7,414,359,649",10,KRW
20240321001124,11011,2023,00153375,023160,OFS,재무제표,BS,재무상태표,부채총계,제 42 기,2023.12.31 현재,"36,188,046,228",제 41 기,2022.12.31 현재,"53,634,182,889",제 40 기,2021.12.31 현재,"29,235,268,370",12,KRW
20240321001124,11011,2023,00153375,023160,OFS,재무제표,BS,재무상태표,자본금,제 42 기,2023.12.31 현재,"13,250,000,000",제 41 기,2022.12.31 현재,"13,250,000,000",제 40 기,2021.12.31 현재,"13,250,000,000",15,KRW
20240321001124,11011,2023,00153375,023160,OFS,재무제표,BS,재무상태표,이익잉여금,제 42 기,2023.12.31 현재,"479,511,084,034",제 41 기,2022.12.31 현재,"432,035,612,160",제 40 기,2021.12.31 현재,"398,588,530,371",19,KRW
20240321001124,11011,2023,00153375,023160,OFS,재무제표,BS,재무상태표,자본총계,제 42 기,2023.12.31 현재,"514,089,604,746",제 41 기,2022.12.31 현재,"466,934,339,650",제 40 기,2021.12.31 현재,"433,499,543,228",22,KRW
20240321001124,11011,2023,00153375,023160,OFS,재무제표,IS,손익계산서,매출액,제 42 기,2023.01.01 ~ 2023.12.31,"269,918,192,681",제 41 기,2022.01.01 ~ 2022.12.31,"213,558,458,154",제 40 기,2021.01.01 ~ 2021.12.31,"148,515,221,699",24,KRW
20240321001124,11011,2023,00153375,023160,OFS,재무제표,IS,손익계산서,영업이익,제 42 기,2023.01.01 ~ 2023.12.31,"55,254,656,622",제 41 기,2022.01.01 ~ 2022.12.31,"44,310,092,472",제 40 기,2021.01.01 ~ 2021.12.31,"7,219,663,859",26,KRW
20240321001124,11011,2023,00153375,023160,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 42 기,2023.01.01 ~ 2023.12.31,"66,279,857,472",제 41 기,2022.01.01 ~ 2022.12.31,"45,712,251,245",제 40 기,2021.01.01 ~ 2021.12.31,"15,452,725,797",28,KRW
20240321001124,11011,2023,00153375,023160,OFS,재무제표,IS,손익계산서,당기순이익,제 42 기,2023.01.01 ~ 2023.12.31,"53,469,107,503",제 41 기,2022.01.01 ~ 2022.12.31,"35,218,722,269",제 40 기,2021.01.01 ~ 2021.12.31,"11,985,861,801",30,KRW
20240321001124,11011,2023,00153375,023160,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 42 기,2023.01.01 ~ 2023.12.31,"53,469,107,503",제 41 기,2022.01.01 ~ 2022.12.31,"35,218,722,269",제 40 기,2021.01.01 ~ 2021.12.31,"11,985,861,801",62,KRW
20240321001124,11011,2023,00153375,023160,OFS,재무제표,IS,손익계산서,총포괄손익,제 42 기,2023.01.01 ~ 2023.12.31,"51,552,696,236",제 41 기,2022.01.01 ~ 2022.12.31,"36,021,520,622",제 40 기,2021.01.01 ~ 2021.12.31,"12,709,946,049",64,KRW
