rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250320000570,11011,2024,01573336,475960,CFS,연결재무제표,BS,재무상태표,유동자산,제 10 기,2024.12.31 현재,"40,062,469,270",제 9 기,2023.12.31 현재,"15,952,060,530",제 8 기,2022.12.31 현재,"22,125,630,824",1,KRW
20250320000570,11011,2024,01573336,475960,CFS,연결재무제표,BS,재무상태표,비유동자산,제 10 기,2024.12.31 현재,"3,548,072,983",제 9 기,2023.12.31 현재,"3,822,654,391",제 8 기,2022.12.31 현재,"2,929,746,476",3,KRW
20250320000570,11011,2024,01573336,475960,CFS,연결재무제표,BS,재무상태표,자산총계,제 10 기,2024.12.31 현재,"43,610,542,253",제 9 기,2023.12.31 현재,"19,774,714,921",제 8 기,2022.12.31 현재,"25,055,377,300",5,KRW
20250320000570,11011,2024,01573336,475960,CFS,연결재무제표,BS,재무상태표,유동부채,제 10 기,2024.12.31 현재,"1,328,492,153",제 9 기,2023.12.31 현재,"1,776,050,328",제 8 기,2022.12.31 현재,"52,197,810,354",7,KRW
20250320000570,11011,2024,01573336,475960,CFS,연결재무제표,BS,재무상태표,비유동부채,제 10 기,2024.12.31 현재,"291,904,625",제 9 기,2023.12.31 현재,"290,931,487",제 8 기,2022.12.31 현재,"691,695,648",9,KRW
20250320000570,11011,2024,01573336,475960,CFS,연결재무제표,BS,재무상태표,부채총계,제 10 기,2024.12.31 현재,"1,620,396,778",제 9 기,2023.12.31 현재,"2,066,981,815",제 8 기,2022.12.31 현재,"52,889,506,002",11,KRW
20250320000570,11011,2024,01573336,475960,CFS,연결재무제표,BS,재무상태표,자본금,제 10 기,2024.12.31 현재,"6,523,797,000",제 9 기,2023.12.31 현재,"2,612,438,500",제 8 기,2022.12.31 현재,"1,100,000,000",13,KRW
20250320000570,11011,2024,01573336,475960,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 10 기,2024.12.31 현재,"-65,520,573,838",제 9 기,2023.12.31 현재,"-57,218,190,846",제 8 기,2022.12.31 현재,"-33,667,992,362",17,KRW
20250320000570,11011,2024,01573336,475960,CFS,연결재무제표,BS,재무상태표,자본총계,제 10 기,2024.12.31 현재,"41,990,145,475",제 9 기,2023.12.31 현재,"17,707,733,106",제 8 기,2022.12.31 현재,"-27,834,128,702",21,KRW
20250320000570,11011,2024,01573336,475960,CFS,연결재무제표,IS,손익계산서,매출액,제 10 기,2024.01.01 ~ 2024.12.31,"5,938,649,975",제 9 기,2023.01.01 ~ 2023.12.31,"3,747,265,433",제 8 기,2022.01.01 ~ 2022.12.31,"1,871,023,862",23,KRW
20250320000570,11011,2024,01573336,475960,CFS,연결재무제표,IS,손익계산서,영업이익,제 10 기,2024.01.01 ~ 2024.12.31,"-8,779,777,619",제 9 기,2023.01.01 ~ 2023.12.31,"-6,733,121,851",제 8 기,2022.01.01 ~ 2022.12.31,"-6,368,726,125",25,KRW
20250320000570,11011,2024,01573336,475960,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 10 기,2024.01.01 ~ 2024.12.31,"-8,302,382,992",제 9 기,2023.01.01 ~ 2023.12.31,"-23,550,198,484",제 8 기,2022.01.01 ~ 2022.12.31,"29,336,358,287",27,KRW
20250320000570,11011,2024,01573336,475960,CFS,연결재무제표,IS,손익계산서,당기순이익,제 10 기,2024.01.01 ~ 2024.12.31,"-8,302,382,992",제 9 기,2023.01.01 ~ 2023.12.31,"-23,550,198,484",제 8 기,2022.01.01 ~ 2022.12.31,"29,336,358,287",29,KRW
20250320000570,11011,2024,01573336,475960,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 10 기,2024.01.01 ~ 2024.12.31,"-8,302,382,992",제 9 기,2023.01.01 ~ 2023.12.31,"-23,550,198,484",제 8 기,2022.01.01 ~ 2022.12.31,"29,336,358,287",61,KRW
20250320000570,11011,2024,01573336,475960,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 10 기,2024.01.01 ~ 2024.12.31,"-8,250,395,194",제 9 기,2023.01.01 ~ 2023.12.31,"-23,587,429,608",제 8 기,2022.01.01 ~ 2022.12.31,"29,338,696,231",63,KRW
20250320000570,11011,2024,01573336,475960,OFS,재무제표,BS,재무상태표,유동자산,제 10 기,2024.12.31 현재,"39,906,027,864",제 9 기,2023.12.31 현재,"15,195,342,809",제 8 기,2022.12.31 현재,"21,936,148,107",2,KRW
20250320000570,11011,2024,01573336,475960,OFS,재무제표,BS,재무상태표,비유동자산,제 10 기,2024.12.31 현재,"3,696,330,561",제 9 기,2023.12.31 현재,"4,567,611,855",제 8 기,2022.12.31 현재,"3,116,189,650",4,KRW
20250320000570,11011,2024,01573336,475960,OFS,재무제표,BS,재무상태표,자산총계,제 10 기,2024.12.31 현재,"43,602,358,425",제 9 기,2023.12.31 현재,"19,762,954,664",제 8 기,2022.12.31 현재,"25,052,337,757",6,KRW
20250320000570,11011,2024,01573336,475960,OFS,재무제표,BS,재무상태표,유동부채,제 10 기,2024.12.31 현재,"1,320,308,325",제 9 기,2023.12.31 현재,"1,764,290,071",제 8 기,2022.12.31 현재,"52,194,770,811",8,KRW
20250320000570,11011,2024,01573336,475960,OFS,재무제표,BS,재무상태표,비유동부채,제 10 기,2024.12.31 현재,"291,904,625",제 9 기,2023.12.31 현재,"290,931,487",제 8 기,2022.12.31 현재,"691,695,648",10,KRW
20250320000570,11011,2024,01573336,475960,OFS,재무제표,BS,재무상태표,부채총계,제 10 기,2024.12.31 현재,"1,612,212,950",제 9 기,2023.12.31 현재,"2,055,221,558",제 8 기,2022.12.31 현재,"52,886,466,459",12,KRW
20250320000570,11011,2024,01573336,475960,OFS,재무제표,BS,재무상태표,자본금,제 10 기,2024.12.31 현재,"6,523,797,000",제 9 기,2023.12.31 현재,"2,612,438,500",제 8 기,2022.12.31 현재,"1,100,000,000",15,KRW
20250320000570,11011,2024,01573336,475960,OFS,재무제표,BS,재무상태표,이익잉여금,제 10 기,2024.12.31 현재,"-65,520,573,838",제 9 기,2023.12.31 현재,"-57,218,190,846",제 8 기,2022.12.31 현재,"-33,667,992,362",19,KRW
20250320000570,11011,2024,01573336,475960,OFS,재무제표,BS,재무상태표,자본총계,제 10 기,2024.12.31 현재,"41,990,145,475",제 9 기,2023.12.31 현재,"17,707,733,106",제 8 기,2022.12.31 현재,"-27,834,128,702",22,KRW
20250320000570,11011,2024,01573336,475960,OFS,재무제표,IS,손익계산서,매출액,제 10 기,2024.01.01 ~ 2024.12.31,"6,034,466,828",제 9 기,2023.01.01 ~ 2023.12.31,"3,747,265,433",제 8 기,2022.01.01 ~ 2022.12.31,"1,871,023,862",24,KRW
20250320000570,11011,2024,01573336,475960,OFS,재무제표,IS,손익계산서,영업이익,제 10 기,2024.01.01 ~ 2024.12.31,"-7,693,477,610",제 9 기,2023.01.01 ~ 2023.12.31,"-6,180,243,472",제 8 기,2022.01.01 ~ 2022.12.31,"-5,940,685,739",26,KRW
20250320000570,11011,2024,01573336,475960,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 10 기,2024.01.01 ~ 2024.12.31,"-8,302,382,992",제 9 기,2023.01.01 ~ 2023.12.31,"-23,550,198,484",제 8 기,2022.01.01 ~ 2022.12.31,"29,336,358,287",28,KRW
20250320000570,11011,2024,01573336,475960,OFS,재무제표,IS,손익계산서,당기순이익,제 10 기,2024.01.01 ~ 2024.12.31,"-8,302,382,992",제 9 기,2023.01.01 ~ 2023.12.31,"-23,550,198,484",제 8 기,2022.01.01 ~ 2022.12.31,"29,336,358,287",30,KRW
20250320000570,11011,2024,01573336,475960,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 10 기,2024.01.01 ~ 2024.12.31,"-8,302,382,992",제 9 기,2023.01.01 ~ 2023.12.31,"-23,550,198,484",제 8 기,2022.01.01 ~ 2022.12.31,"29,336,358,287",62,KRW
