rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230320000127,11011,2022,00355089,045340,OFS,재무제표,BS,재무상태표,유동자산,제 34 기,2022.12.31 현재,"18,039,988,675",제 33 기,2021.12.31 현재,"16,063,750,589",제 32 기,2020.12.31 현재,"13,439,149,949",2,KRW
20230320000127,11011,2022,00355089,045340,OFS,재무제표,BS,재무상태표,비유동자산,제 34 기,2022.12.31 현재,"10,676,907,913",제 33 기,2021.12.31 현재,"10,681,793,014",제 32 기,2020.12.31 현재,"10,697,134,138",4,KRW
20230320000127,11011,2022,00355089,045340,OFS,재무제표,BS,재무상태표,자산총계,제 34 기,2022.12.31 현재,"28,716,896,588",제 33 기,2021.12.31 현재,"26,745,543,603",제 32 기,2020.12.31 현재,"24,136,284,087",6,KRW
20230320000127,11011,2022,00355089,045340,OFS,재무제표,BS,재무상태표,유동부채,제 34 기,2022.12.31 현재,"4,823,913,987",제 33 기,2021.12.31 현재,"5,744,455,526",제 32 기,2020.12.31 현재,"4,956,548,902",8,KRW
20230320000127,11011,2022,00355089,045340,OFS,재무제표,BS,재무상태표,비유동부채,제 34 기,2022.12.31 현재,"5,075,559,213",제 33 기,2021.12.31 현재,"4,776,439,261",제 32 기,2020.12.31 현재,"5,733,277,152",10,KRW
20230320000127,11011,2022,00355089,045340,OFS,재무제표,BS,재무상태표,부채총계,제 34 기,2022.12.31 현재,"9,899,473,200",제 33 기,2021.12.31 현재,"10,520,894,787",제 32 기,2020.12.31 현재,"10,689,826,054",12,KRW
20230320000127,11011,2022,00355089,045340,OFS,재무제표,BS,재무상태표,자본금,제 34 기,2022.12.31 현재,"4,279,020,000",제 33 기,2021.12.31 현재,"4,279,020,000",제 32 기,2020.12.31 현재,"4,279,020,000",15,KRW
20230320000127,11011,2022,00355089,045340,OFS,재무제표,BS,재무상태표,이익잉여금,제 34 기,2022.12.31 현재,"13,841,492,814",제 33 기,2021.12.31 현재,"11,237,382,556",제 32 기,2020.12.31 현재,"8,455,606,854",19,KRW
20230320000127,11011,2022,00355089,045340,OFS,재무제표,BS,재무상태표,자본총계,제 34 기,2022.12.31 현재,"18,817,423,388",제 33 기,2021.12.31 현재,"16,224,648,816",제 32 기,2020.12.31 현재,"13,446,458,033",22,KRW
20230320000127,11011,2022,00355089,045340,OFS,재무제표,IS,손익계산서,매출액,제 34 기,2022.01.01 ~ 2022.12.31,"13,877,625,991",제 33 기,2021.01.01 ~ 2021.12.31,"14,091,536,413",제 32 기,2020.01.01 ~ 2020.12.31,"12,143,403,888",24,KRW
20230320000127,11011,2022,00355089,045340,OFS,재무제표,IS,손익계산서,영업이익,제 34 기,2022.01.01 ~ 2022.12.31,"2,583,997,718",제 33 기,2021.01.01 ~ 2021.12.31,"3,035,572,317",제 32 기,2020.01.01 ~ 2020.12.31,"2,552,360,233",26,KRW
20230320000127,11011,2022,00355089,045340,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 34 기,2022.01.01 ~ 2022.12.31,"2,915,743,467",제 33 기,2021.01.01 ~ 2021.12.31,"3,556,791,438",제 32 기,2020.01.01 ~ 2020.12.31,"2,192,164,805",28,KRW
20230320000127,11011,2022,00355089,045340,OFS,재무제표,IS,손익계산서,당기순이익,제 34 기,2022.01.01 ~ 2022.12.31,"2,642,213,970",제 33 기,2021.01.01 ~ 2021.12.31,"3,014,899,661",제 32 기,2020.01.01 ~ 2020.12.31,"2,225,044,427",30,KRW
20230320000127,11011,2022,00355089,045340,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 34 기,2022.01.01 ~ 2022.12.31,"2,642,213,970",제 33 기,2021.01.01 ~ 2021.12.31,"3,014,899,661",제 32 기,2020.01.01 ~ 2020.12.31,"2,225,044,427",62,KRW
