rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250321000872,11011,2024,00266934,043200,CFS,연결재무제표,BS,재무상태표,유동자산,제 30 기,2024.12.31 현재,"23,626,130,825",제 29 기,2023.12.31 현재,"31,919,386,443",제 28 기,2022.12.31 현재,"24,966,339,546",1,KRW
20250321000872,11011,2024,00266934,043200,CFS,연결재무제표,BS,재무상태표,비유동자산,제 30 기,2024.12.31 현재,"35,599,213,328",제 29 기,2023.12.31 현재,"35,602,348,240",제 28 기,2022.12.31 현재,"28,967,312,060",3,KRW
20250321000872,11011,2024,00266934,043200,CFS,연결재무제표,BS,재무상태표,자산총계,제 30 기,2024.12.31 현재,"59,225,344,153",제 29 기,2023.12.31 현재,"67,521,734,683",제 28 기,2022.12.31 현재,"53,933,651,606",5,KRW
20250321000872,11011,2024,00266934,043200,CFS,연결재무제표,BS,재무상태표,유동부채,제 30 기,2024.12.31 현재,"28,800,225,515",제 29 기,2023.12.31 현재,"36,067,793,020",제 28 기,2022.12.31 현재,"26,225,382,969",7,KRW
20250321000872,11011,2024,00266934,043200,CFS,연결재무제표,BS,재무상태표,비유동부채,제 30 기,2024.12.31 현재,"2,509,402,181",제 29 기,2023.12.31 현재,"2,526,319,498",제 28 기,2022.12.31 현재,"4,153,598,676",9,KRW
20250321000872,11011,2024,00266934,043200,CFS,연결재무제표,BS,재무상태표,부채총계,제 30 기,2024.12.31 현재,"31,309,627,696",제 29 기,2023.12.31 현재,"38,594,112,518",제 28 기,2022.12.31 현재,"30,378,981,645",11,KRW
20250321000872,11011,2024,00266934,043200,CFS,연결재무제표,BS,재무상태표,자본금,제 30 기,2024.12.31 현재,"20,902,157,500",제 29 기,2023.12.31 현재,"20,902,157,500",제 28 기,2022.12.31 현재,"20,902,157,500",13,KRW
20250321000872,11011,2024,00266934,043200,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 30 기,2024.12.31 현재,"-32,901,671,595",제 29 기,2023.12.31 현재,"-32,062,214,998",제 28 기,2022.12.31 현재,"-30,983,568,436",17,KRW
20250321000872,11011,2024,00266934,043200,CFS,연결재무제표,BS,재무상태표,자본총계,제 30 기,2024.12.31 현재,"27,915,716,457",제 29 기,2023.12.31 현재,"28,927,622,165",제 28 기,2022.12.31 현재,"23,554,669,961",21,KRW
20250321000872,11011,2024,00266934,043200,CFS,연결재무제표,IS,손익계산서,매출액,제 30 기,2024.01.01 ~ 2024.12.31,"40,090,145,127",제 29 기,2023.01.01 ~ 2023.12.31,"42,204,969,570",제 28 기,2022.01.01 ~ 2022.12.31,"40,544,635,509",23,KRW
