rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240321000783,11011,2023,00238153,037070,OFS,재무제표,BS,재무상태표,유동자산,제 38 기,2023.12.31 현재,"77,952,964,948",제 37 기,2022.12.31 현재,"86,972,271,342",제 36 기,2021.12.31 현재,"75,483,828,842",2,KRW
20240321000783,11011,2023,00238153,037070,OFS,재무제표,BS,재무상태표,비유동자산,제 38 기,2023.12.31 현재,"55,846,834,403",제 37 기,2022.12.31 현재,"62,649,844,680",제 36 기,2021.12.31 현재,"66,397,884,491",4,KRW
20240321000783,11011,2023,00238153,037070,OFS,재무제표,BS,재무상태표,자산총계,제 38 기,2023.12.31 현재,"133,799,799,351",제 37 기,2022.12.31 현재,"149,622,116,022",제 36 기,2021.12.31 현재,"141,881,713,333",6,KRW
20240321000783,11011,2023,00238153,037070,OFS,재무제표,BS,재무상태표,유동부채,제 38 기,2023.12.31 현재,"28,133,359,666",제 37 기,2022.12.31 현재,"40,062,742,646",제 36 기,2021.12.31 현재,"36,947,641,215",8,KRW
20240321000783,11011,2023,00238153,037070,OFS,재무제표,BS,재무상태표,비유동부채,제 38 기,2023.12.31 현재,"2,682,066,920",제 37 기,2022.12.31 현재,"2,940,547,588",제 36 기,2021.12.31 현재,"3,564,775,045",10,KRW
20240321000783,11011,2023,00238153,037070,OFS,재무제표,BS,재무상태표,부채총계,제 38 기,2023.12.31 현재,"30,815,426,586",제 37 기,2022.12.31 현재,"43,003,290,234",제 36 기,2021.12.31 현재,"40,512,416,260",12,KRW
20240321000783,11011,2023,00238153,037070,OFS,재무제표,BS,재무상태표,자본금,제 38 기,2023.12.31 현재,"10,000,000,000",제 37 기,2022.12.31 현재,"10,000,000,000",제 36 기,2021.12.31 현재,"7,000,000,000",15,KRW
20240321000783,11011,2023,00238153,037070,OFS,재무제표,BS,재무상태표,이익잉여금,제 38 기,2023.12.31 현재,"92,108,792,661",제 37 기,2022.12.31 현재,"95,324,942,408",제 36 기,2021.12.31 현재,"90,327,628,128",19,KRW
20240321000783,11011,2023,00238153,037070,OFS,재무제표,BS,재무상태표,자본총계,제 38 기,2023.12.31 현재,"102,984,372,765",제 37 기,2022.12.31 현재,"106,618,825,788",제 36 기,2021.12.31 현재,"101,369,297,073",22,KRW
20240321000783,11011,2023,00238153,037070,OFS,재무제표,IS,손익계산서,매출액,제 38 기,2023.01.01 ~ 2023.12.31,"147,540,869,348",제 37 기,2022.01.01 ~ 2022.12.31,"200,475,253,164",제 36 기,2021.01.01 ~ 2021.12.31,"227,184,947,641",24,KRW
20240321000783,11011,2023,00238153,037070,OFS,재무제표,IS,손익계산서,영업이익,제 38 기,2023.01.01 ~ 2023.12.31,"-1,237,803,585",제 37 기,2022.01.01 ~ 2022.12.31,"15,791,923,119",제 36 기,2021.01.01 ~ 2021.12.31,"22,863,943,944",26,KRW
20240321000783,11011,2023,00238153,037070,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 38 기,2023.01.01 ~ 2023.12.31,"1,161,662,434",제 37 기,2022.01.01 ~ 2022.12.31,"12,357,634,812",제 36 기,2021.01.01 ~ 2021.12.31,"23,506,815,303",28,KRW
20240321000783,11011,2023,00238153,037070,OFS,재무제표,IS,손익계산서,당기순이익,제 38 기,2023.01.01 ~ 2023.12.31,"778,287,253",제 37 기,2022.01.01 ~ 2022.12.31,"9,191,496,080",제 36 기,2021.01.01 ~ 2021.12.31,"19,085,942,910",30,KRW
20240321000783,11011,2023,00238153,037070,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 38 기,2023.01.01 ~ 2023.12.31,"778,287,253",제 37 기,2022.01.01 ~ 2022.12.31,"9,191,496,080",제 36 기,2021.01.01 ~ 2021.12.31,"19,085,942,910",62,KRW
20240321000783,11011,2023,00238153,037070,OFS,재무제표,IS,손익계산서,총포괄손익,제 38 기,2023.01.01 ~ 2023.12.31,"359,983,977",제 37 기,2022.01.01 ~ 2022.12.31,"9,624,543,017",제 36 기,2021.01.01 ~ 2021.12.31,"19,011,180,266",64,KRW
