rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250313000668,11011,2024,00264732,038950,CFS,연결재무제표,BS,재무상태표,유동자산,제 33 기,2024.12.31 현재,"81,914,080,050",제 32 기,2023.12.31 현재,"80,938,716,335",제 31 기,2022.12.31 현재,"81,745,997,238",1,KRW
20250313000668,11011,2024,00264732,038950,CFS,연결재무제표,BS,재무상태표,비유동자산,제 33 기,2024.12.31 현재,"25,653,194,909",제 32 기,2023.12.31 현재,"26,012,133,204",제 31 기,2022.12.31 현재,"23,363,986,199",3,KRW
20250313000668,11011,2024,00264732,038950,CFS,연결재무제표,BS,재무상태표,자산총계,제 33 기,2024.12.31 현재,"107,567,274,959",제 32 기,2023.12.31 현재,"106,950,849,539",제 31 기,2022.12.31 현재,"105,109,983,437",5,KRW
20250313000668,11011,2024,00264732,038950,CFS,연결재무제표,BS,재무상태표,유동부채,제 33 기,2024.12.31 현재,"6,515,195,356",제 32 기,2023.12.31 현재,"5,721,072,047",제 31 기,2022.12.31 현재,"8,168,182,395",7,KRW
20250313000668,11011,2024,00264732,038950,CFS,연결재무제표,BS,재무상태표,비유동부채,제 33 기,2024.12.31 현재,"4,509,823,547",제 32 기,2023.12.31 현재,"3,703,335,151",제 31 기,2022.12.31 현재,"4,467,987,743",9,KRW
20250313000668,11011,2024,00264732,038950,CFS,연결재무제표,BS,재무상태표,부채총계,제 33 기,2024.12.31 현재,"11,025,018,903",제 32 기,2023.12.31 현재,"9,424,407,198",제 31 기,2022.12.31 현재,"12,636,170,138",11,KRW
20250313000668,11011,2024,00264732,038950,CFS,연결재무제표,BS,재무상태표,자본금,제 33 기,2024.12.31 현재,"5,105,382,500",제 32 기,2023.12.31 현재,"5,105,382,500",제 31 기,2022.12.31 현재,"5,105,382,500",13,KRW
20250313000668,11011,2024,00264732,038950,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 33 기,2024.12.31 현재,"44,007,423,108",제 32 기,2023.12.31 현재,"46,037,341,298",제 31 기,2022.12.31 현재,"44,301,495,024",17,KRW
20250313000668,11011,2024,00264732,038950,CFS,연결재무제표,BS,재무상태표,자본총계,제 33 기,2024.12.31 현재,"96,542,256,056",제 32 기,2023.12.31 현재,"97,526,442,341",제 31 기,2022.12.31 현재,"92,473,813,299",21,KRW
20250313000668,11011,2024,00264732,038950,CFS,연결재무제표,IS,손익계산서,매출액,제 33 기,2024.01.01 ~ 2024.12.31,"70,801,421,344",제 32 기,2023.01.01 ~ 2023.12.31,"87,726,787,052",제 31 기,2022.01.01 ~ 2022.12.31,"91,100,767,728",23,KRW
