rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250320001250,11011,2024,00820352,131760,CFS,연결재무제표,BS,재무상태표,유동자산,제 17 기,2024.12.31 현재,"40,897,574,698",제 16 기,2023.12.31 현재,"39,168,572,169",제 15 기,2022.12.31 현재,"41,112,886,685",1,KRW
20250320001250,11011,2024,00820352,131760,CFS,연결재무제표,BS,재무상태표,비유동자산,제 17 기,2024.12.31 현재,"39,099,474,920",제 16 기,2023.12.31 현재,"31,176,732,362",제 15 기,2022.12.31 현재,"36,571,477,377",3,KRW
20250320001250,11011,2024,00820352,131760,CFS,연결재무제표,BS,재무상태표,자산총계,제 17 기,2024.12.31 현재,"79,997,049,618",제 16 기,2023.12.31 현재,"70,345,304,531",제 15 기,2022.12.31 현재,"77,684,364,062",5,KRW
20250320001250,11011,2024,00820352,131760,CFS,연결재무제표,BS,재무상태표,유동부채,제 17 기,2024.12.31 현재,"38,967,923,373",제 16 기,2023.12.31 현재,"35,459,487,525",제 15 기,2022.12.31 현재,"36,161,873,569",7,KRW
20250320001250,11011,2024,00820352,131760,CFS,연결재무제표,BS,재무상태표,비유동부채,제 17 기,2024.12.31 현재,"4,773,642,009",제 16 기,2023.12.31 현재,"4,234,453,393",제 15 기,2022.12.31 현재,"6,949,094,793",9,KRW
20250320001250,11011,2024,00820352,131760,CFS,연결재무제표,BS,재무상태표,부채총계,제 17 기,2024.12.31 현재,"43,741,565,382",제 16 기,2023.12.31 현재,"39,693,940,918",제 15 기,2022.12.31 현재,"43,110,968,362",11,KRW
20250320001250,11011,2024,00820352,131760,CFS,연결재무제표,BS,재무상태표,자본금,제 17 기,2024.12.31 현재,"21,845,701,000",제 16 기,2023.12.31 현재,"21,845,701,000",제 15 기,2022.12.31 현재,"21,463,396,500",13,KRW
20250320001250,11011,2024,00820352,131760,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 17 기,2024.12.31 현재,"-64,208,965,681",제 16 기,2023.12.31 현재,"-66,845,419,142",제 15 기,2022.12.31 현재,"-59,781,242,740",17,KRW
20250320001250,11011,2024,00820352,131760,CFS,연결재무제표,BS,재무상태표,자본총계,제 17 기,2024.12.31 현재,"36,255,484,236",제 16 기,2023.12.31 현재,"30,651,363,613",제 15 기,2022.12.31 현재,"34,573,395,700",21,KRW
20250320001250,11011,2024,00820352,131760,CFS,연결재무제표,IS,손익계산서,매출액,제 17 기,2024.01.01 ~ 2024.12.31,"71,020,352,798",제 16 기,2023.01.01 ~ 2023.12.31,"44,755,330,657",제 15 기,2022.01.01 ~ 2022.12.31,"81,411,384,326",23,KRW
