rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230313000834,11011,2022,00384762,065690,CFS,연결재무제표,BS,재무상태표,유동자산,제 36 기,2022.12.31 현재,"58,030,166,527",제 35 기,2021.12.31 현재,"61,125,320,789",제 34 기,2020.12.31 현재,"58,070,839,555",1,KRW
20230313000834,11011,2022,00384762,065690,CFS,연결재무제표,BS,재무상태표,비유동자산,제 36 기,2022.12.31 현재,"81,735,759,406",제 35 기,2021.12.31 현재,"85,509,663,403",제 34 기,2020.12.31 현재,"49,434,563,594",3,KRW
20230313000834,11011,2022,00384762,065690,CFS,연결재무제표,BS,재무상태표,자산총계,제 36 기,2022.12.31 현재,"139,765,925,933",제 35 기,2021.12.31 현재,"146,634,984,192",제 34 기,2020.12.31 현재,"107,505,403,149",5,KRW
20230313000834,11011,2022,00384762,065690,CFS,연결재무제표,BS,재무상태표,유동부채,제 36 기,2022.12.31 현재,"32,242,898,986",제 35 기,2021.12.31 현재,"22,562,679,998",제 34 기,2020.12.31 현재,"25,280,001,891",7,KRW
20230313000834,11011,2022,00384762,065690,CFS,연결재무제표,BS,재무상태표,비유동부채,제 36 기,2022.12.31 현재,"42,974,514,311",제 35 기,2021.12.31 현재,"42,986,322,987",제 34 기,2020.12.31 현재,"8,654,374,889",9,KRW
20230313000834,11011,2022,00384762,065690,CFS,연결재무제표,BS,재무상태표,부채총계,제 36 기,2022.12.31 현재,"75,217,413,297",제 35 기,2021.12.31 현재,"65,549,002,985",제 34 기,2020.12.31 현재,"33,934,376,780",11,KRW
20230313000834,11011,2022,00384762,065690,CFS,연결재무제표,BS,재무상태표,자본금,제 36 기,2022.12.31 현재,"7,024,665,500",제 35 기,2021.12.31 현재,"7,024,665,500",제 34 기,2020.12.31 현재,"6,981,754,500",13,KRW
20230313000834,11011,2022,00384762,065690,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 36 기,2022.12.31 현재,"53,820,808,696",제 35 기,2021.12.31 현재,"65,419,069,179",제 34 기,2020.12.31 현재,"58,762,055,732",17,KRW
20230313000834,11011,2022,00384762,065690,CFS,연결재무제표,BS,재무상태표,자본총계,제 36 기,2022.12.31 현재,"64,548,512,636",제 35 기,2021.12.31 현재,"81,085,981,207",제 34 기,2020.12.31 현재,"73,571,026,369",21,KRW
20230313000834,11011,2022,00384762,065690,CFS,연결재무제표,IS,손익계산서,매출액,제 36 기,2022.01.01 ~ 2022.12.31,"73,121,511,677",제 35 기,2021.01.01 ~ 2021.12.31,"93,681,678,892",제 34 기,2020.01.01 ~ 2020.12.31,"78,306,082,046",23,KRW
20230313000834,11011,2022,00384762,065690,CFS,연결재무제표,IS,손익계산서,영업이익,제 36 기,2022.01.01 ~ 2022.12.31,"-15,191,703,582",제 35 기,2021.01.01 ~ 2021.12.31,"1,199,616,977",제 34 기,2020.01.01 ~ 2020.12.31,"-2,249,264,192",25,KRW
20230313000834,11011,2022,00384762,065690,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 36 기,2022.01.01 ~ 2022.12.31,"-11,820,662,908",제 35 기,2021.01.01 ~ 2021.12.31,"10,464,103,141",제 34 기,2020.01.01 ~ 2020.12.31,"-9,274,007,697",27,KRW
20230313000834,11011,2022,00384762,065690,CFS,연결재무제표,IS,손익계산서,당기순이익,제 36 기,2022.01.01 ~ 2022.12.31,"-11,900,755,815",제 35 기,2021.01.01 ~ 2021.12.31,"9,549,106,992",제 34 기,2020.01.01 ~ 2020.12.31,"-8,753,277,931",29,KRW
20230313000834,11011,2022,00384762,065690,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 36 기,2022.01.01 ~ 2022.12.31,"-11,900,755,815",제 35 기,2021.01.01 ~ 2021.12.31,"9,549,106,992",제 34 기,2020.01.01 ~ 2020.12.31,"-8,753,277,931",61,KRW
20230313000834,11011,2022,00384762,065690,OFS,재무제표,BS,재무상태표,유동자산,제 36 기,2022.12.31 현재,"26,139,830,759",제 35 기,2021.12.31 현재,"35,131,075,117",제 34 기,2020.12.31 현재,"46,490,174,625",2,KRW
20230313000834,11011,2022,00384762,065690,OFS,재무제표,BS,재무상태표,비유동자산,제 36 기,2022.12.31 현재,"87,393,027,543",제 35 기,2021.12.31 현재,"89,147,805,305",제 34 기,2020.12.31 현재,"40,271,863,883",4,KRW
