rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240319000674,11011,2023,00573579,090080,CFS,연결재무제표,BS,재무상태표,유동자산,제 18 기,2023.12.31 현재,"159,904,878,917",제 17 기,2022.12.31 현재,"140,723,346,138",제 16 기,2021.12.31 현재,"122,936,942,030",1,KRW
20240319000674,11011,2023,00573579,090080,CFS,연결재무제표,BS,재무상태표,비유동자산,제 18 기,2023.12.31 현재,"92,506,689,831",제 17 기,2022.12.31 현재,"95,877,259,979",제 16 기,2021.12.31 현재,"97,178,495,686",3,KRW
20240319000674,11011,2023,00573579,090080,CFS,연결재무제표,BS,재무상태표,자산총계,제 18 기,2023.12.31 현재,"252,411,568,748",제 17 기,2022.12.31 현재,"236,600,606,117",제 16 기,2021.12.31 현재,"220,115,437,716",5,KRW
20240319000674,11011,2023,00573579,090080,CFS,연결재무제표,BS,재무상태표,유동부채,제 18 기,2023.12.31 현재,"179,990,843,871",제 17 기,2022.12.31 현재,"143,913,923,052",제 16 기,2021.12.31 현재,"140,985,745,625",7,KRW
20240319000674,11011,2023,00573579,090080,CFS,연결재무제표,BS,재무상태표,비유동부채,제 18 기,2023.12.31 현재,"29,054,614,235",제 17 기,2022.12.31 현재,"51,254,381,263",제 16 기,2021.12.31 현재,"53,139,886,305",9,KRW
20240319000674,11011,2023,00573579,090080,CFS,연결재무제표,BS,재무상태표,부채총계,제 18 기,2023.12.31 현재,"209,045,458,106",제 17 기,2022.12.31 현재,"195,168,304,315",제 16 기,2021.12.31 현재,"194,125,631,930",11,KRW
20240319000674,11011,2023,00573579,090080,CFS,연결재무제표,BS,재무상태표,자본금,제 18 기,2023.12.31 현재,"27,451,129,500",제 17 기,2022.12.31 현재,"27,451,129,500",제 16 기,2021.12.31 현재,"27,451,129,500",13,KRW
20240319000674,11011,2023,00573579,090080,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 18 기,2023.12.31 현재,"-51,370,432,672",제 17 기,2022.12.31 현재,"-53,265,325,073",제 16 기,2021.12.31 현재,"-62,375,576,393",17,KRW
20240319000674,11011,2023,00573579,090080,CFS,연결재무제표,BS,재무상태표,자본총계,제 18 기,2023.12.31 현재,"43,366,110,642",제 17 기,2022.12.31 현재,"41,432,301,802",제 16 기,2021.12.31 현재,"25,989,805,786",21,KRW
20240319000674,11011,2023,00573579,090080,CFS,연결재무제표,IS,손익계산서,매출액,제 18 기,2023.01.01 ~ 2023.12.31,"564,038,964,404",제 17 기,2022.01.01 ~ 2022.12.31,"519,932,246,828",제 16 기,2021.01.01 ~ 2021.12.31,"424,123,466,253",23,KRW
