rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240326000383,11011,2023,00155276,003670,CFS,연결재무제표,BS,재무상태표,유동자산,제 53 기,2023.12.31 현재,"2,411,881,410,829",제 52 기,2022.12.31 현재,"2,037,518,471,950",제 51 기,2021.12.31 현재,"2,084,228,054,184",1,KRW
20240326000383,11011,2023,00155276,003670,CFS,연결재무제표,BS,재무상태표,비유동자산,제 53 기,2023.12.31 현재,"3,922,711,887,042",제 52 기,2022.12.31 현재,"2,599,957,668,239",제 51 기,2021.12.31 현재,"1,838,252,249,714",3,KRW
20240326000383,11011,2023,00155276,003670,CFS,연결재무제표,BS,재무상태표,자산총계,제 53 기,2023.12.31 현재,"6,334,593,297,871",제 52 기,2022.12.31 현재,"4,637,476,140,189",제 51 기,2021.12.31 현재,"3,922,480,303,898",5,KRW
20240326000383,11011,2023,00155276,003670,CFS,연결재무제표,BS,재무상태표,유동부채,제 53 기,2023.12.31 현재,"1,396,407,813,025",제 52 기,2022.12.31 현재,"965,792,822,766",제 51 기,2021.12.31 현재,"634,649,798,414",7,KRW
20240326000383,11011,2023,00155276,003670,CFS,연결재무제표,BS,재무상태표,비유동부채,제 53 기,2023.12.31 현재,"2,326,719,494,763",제 52 기,2022.12.31 현재,"1,021,038,678,582",제 51 기,2021.12.31 현재,"849,400,573,193",9,KRW
20240326000383,11011,2023,00155276,003670,CFS,연결재무제표,BS,재무상태표,부채총계,제 53 기,2023.12.31 현재,"3,723,127,307,788",제 52 기,2022.12.31 현재,"1,986,831,501,348",제 51 기,2021.12.31 현재,"1,484,050,371,607",11,KRW
20240326000383,11011,2023,00155276,003670,CFS,연결재무제표,BS,재무상태표,자본금,제 53 기,2023.12.31 현재,"38,731,610,000",제 52 기,2022.12.31 현재,"38,731,610,000",제 51 기,2021.12.31 현재,"38,731,610,000",13,KRW
20240326000383,11011,2023,00155276,003670,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 53 기,2023.12.31 현재,"998,453,747,373",제 52 기,2022.12.31 현재,"1,003,497,787,834",제 51 기,2021.12.31 현재,"897,537,508,588",17,KRW
20240326000383,11011,2023,00155276,003670,CFS,연결재무제표,BS,재무상태표,자본총계,제 53 기,2023.12.31 현재,"2,611,465,990,083",제 52 기,2022.12.31 현재,"2,650,644,638,841",제 51 기,2021.12.31 현재,"2,438,429,932,291",21,KRW
20240326000383,11011,2023,00155276,003670,CFS,연결재무제표,IS,손익계산서,매출액,제 53 기,2023.01.01 ~ 2023.12.31,"4,759,871,486,264",제 52 기,2022.01.01 ~ 2022.12.31,"3,301,915,805,063",제 51 기,2021.01.01 ~ 2021.12.31,"1,989,542,181,862",23,KRW
20240326000383,11011,2023,00155276,003670,CFS,연결재무제표,IS,손익계산서,영업이익,제 53 기,2023.01.01 ~ 2023.12.31,"35,882,185,999",제 52 기,2022.01.01 ~ 2022.12.31,"165,871,669,943",제 51 기,2021.01.01 ~ 2021.12.31,"121,675,892,582",25,KRW
20240326000383,11011,2023,00155276,003670,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 53 기,2023.01.01 ~ 2023.12.31,"-16,092,096,085",제 52 기,2022.01.01 ~ 2022.12.31,"133,944,947,618",제 51 기,2021.01.01 ~ 2021.12.31,"146,029,977,767",27,KRW
20240326000383,11011,2023,00155276,003670,CFS,연결재무제표,IS,손익계산서,당기순이익,제 53 기,2023.01.01 ~ 2023.12.31,"4,435,219,953",제 52 기,2022.01.01 ~ 2022.12.31,"121,928,567,124",제 51 기,2021.01.01 ~ 2021.12.31,"133,761,698,843",29,KRW
20240326000383,11011,2023,00155276,003670,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 53 기,2023.01.01 ~ 2023.12.31,"4,435,219,953",제 52 기,2022.01.01 ~ 2022.12.31,"121,928,567,124",제 51 기,2021.01.01 ~ 2021.12.31,"133,761,698,843",61,KRW
20240326000383,11011,2023,00155276,003670,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 53 기,2023.01.01 ~ 2023.12.31,"-15,757,079,712",제 52 기,2022.01.01 ~ 2022.12.31,"117,561,688,025",제 51 기,2021.01.01 ~ 2021.12.31,"140,546,164,808",63,KRW
20240326000383,11011,2023,00155276,003670,OFS,재무제표,BS,재무상태표,유동자산,제 53 기,2023.12.31 현재,"2,049,878,674,084",제 52 기,2022.12.31 현재,"1,832,808,915,528",제 51 기,2021.12.31 현재,"2,051,785,743,964",2,KRW
20240326000383,11011,2023,00155276,003670,OFS,재무제표,BS,재무상태표,비유동자산,제 53 기,2023.12.31 현재,"3,706,677,669,903",제 52 기,2022.12.31 현재,"2,443,816,819,477",제 51 기,2021.12.31 현재,"1,709,547,303,954",4,KRW
20240326000383,11011,2023,00155276,003670,OFS,재무제표,BS,재무상태표,자산총계,제 53 기,2023.12.31 현재,"5,756,556,343,987",제 52 기,2022.12.31 현재,"4,276,625,735,005",제 51 기,2021.12.31 현재,"3,761,333,047,918",6,KRW
20240326000383,11011,2023,00155276,003670,OFS,재무제표,BS,재무상태표,유동부채,제 53 기,2023.12.31 현재,"1,102,570,410,192",제 52 기,2022.12.31 현재,"920,661,300,495",제 51 기,2021.12.31 현재,"604,654,066,630",8,KRW
20240326000383,11011,2023,00155276,003670,OFS,재무제표,BS,재무상태표,비유동부채,제 53 기,2023.12.31 현재,"2,225,303,849,376",제 52 기,2022.12.31 현재,"928,840,118,957",제 51 기,2021.12.31 현재,"825,357,809,532",10,KRW
20240326000383,11011,2023,00155276,003670,OFS,재무제표,BS,재무상태표,부채총계,제 53 기,2023.12.31 현재,"3,327,874,259,568",제 52 기,2022.12.31 현재,"1,849,501,419,452",제 51 기,2021.12.31 현재,"1,430,011,876,162",12,KRW
20240326000383,11011,2023,00155276,003670,OFS,재무제표,BS,재무상태표,자본금,제 53 기,2023.12.31 현재,"38,731,610,000",제 52 기,2022.12.31 현재,"38,731,610,000",제 51 기,2021.12.31 현재,"38,731,610,000",15,KRW
20240326000383,11011,2023,00155276,003670,OFS,재무제표,BS,재무상태표,이익잉여금,제 53 기,2023.12.31 현재,"942,556,115,786",제 52 기,2022.12.31 현재,"944,517,783,125",제 51 기,2021.12.31 현재,"841,990,439,486",19,KRW
20240326000383,11011,2023,00155276,003670,OFS,재무제표,BS,재무상태표,자본총계,제 53 기,2023.12.31 현재,"2,428,682,084,419",제 52 기,2022.12.31 현재,"2,427,124,315,553",제 51 기,2021.12.31 현재,"2,331,321,171,756",22,KRW
20240326000383,11011,2023,00155276,003670,OFS,재무제표,IS,손익계산서,매출액,제 53 기,2023.01.01 ~ 2023.12.31,"4,457,200,823,055",제 52 기,2022.01.01 ~ 2022.12.31,"3,041,287,029,187",제 51 기,2021.01.01 ~ 2021.12.31,"1,939,523,998,420",24,KRW
20240326000383,11011,2023,00155276,003670,OFS,재무제표,IS,손익계산서,영업이익,제 53 기,2023.01.01 ~ 2023.12.31,"34,958,588,238",제 52 기,2022.01.01 ~ 2022.12.31,"153,190,221,448",제 51 기,2021.01.01 ~ 2021.12.31,"120,612,067,369",26,KRW
20240326000383,11011,2023,00155276,003670,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 53 기,2023.01.01 ~ 2023.12.31,"5,127,149,419",제 52 기,2022.01.01 ~ 2022.12.31,"125,561,644,844",제 51 기,2021.01.01 ~ 2021.12.31,"128,006,925,879",28,KRW
