rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230315000884,11011,2022,01179608,256630,CFS,연결재무제표,BS,재무상태표,유동자산,제 7 기,2022.12.31 현재,"50,791,066,026",제 6 기,2021.12.31 현재,"45,876,268,537",제 5 기,2020.12.31 현재,"54,094,159,569",1,KRW
20230315000884,11011,2022,01179608,256630,CFS,연결재무제표,BS,재무상태표,비유동자산,제 7 기,2022.12.31 현재,"51,490,388,790",제 6 기,2021.12.31 현재,"55,798,294,606",제 5 기,2020.12.31 현재,"51,394,921,220",3,KRW
20230315000884,11011,2022,01179608,256630,CFS,연결재무제표,BS,재무상태표,자산총계,제 7 기,2022.12.31 현재,"102,281,454,816",제 6 기,2021.12.31 현재,"101,674,563,143",제 5 기,2020.12.31 현재,"105,489,080,789",5,KRW
20230315000884,11011,2022,01179608,256630,CFS,연결재무제표,BS,재무상태표,유동부채,제 7 기,2022.12.31 현재,"20,273,871,755",제 6 기,2021.12.31 현재,"14,148,900,816",제 5 기,2020.12.31 현재,"20,452,007,693",7,KRW
20230315000884,11011,2022,01179608,256630,CFS,연결재무제표,BS,재무상태표,비유동부채,제 7 기,2022.12.31 현재,"4,025,707,881",제 6 기,2021.12.31 현재,"9,509,051,113",제 5 기,2020.12.31 현재,"7,691,998,618",9,KRW
20230315000884,11011,2022,01179608,256630,CFS,연결재무제표,BS,재무상태표,부채총계,제 7 기,2022.12.31 현재,"24,299,579,636",제 6 기,2021.12.31 현재,"23,657,951,929",제 5 기,2020.12.31 현재,"28,144,006,311",11,KRW
20230315000884,11011,2022,01179608,256630,CFS,연결재무제표,BS,재무상태표,자본금,제 7 기,2022.12.31 현재,"5,799,707,200",제 6 기,2021.12.31 현재,"5,766,357,200",제 5 기,2020.12.31 현재,"5,672,156,200",13,KRW
20230315000884,11011,2022,01179608,256630,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 7 기,2022.12.31 현재,"53,136,232,965",제 6 기,2021.12.31 현재,"53,472,564,158",제 5 기,2020.12.31 현재,"51,679,662,632",17,KRW
20230315000884,11011,2022,01179608,256630,CFS,연결재무제표,BS,재무상태표,자본총계,제 7 기,2022.12.31 현재,"77,981,875,180",제 6 기,2021.12.31 현재,"78,016,611,214",제 5 기,2020.12.31 현재,"77,345,074,478",21,KRW
20230315000884,11011,2022,01179608,256630,CFS,연결재무제표,IS,손익계산서,매출액,제 7 기,2022.01.01 ~ 2022.12.31,"39,389,905,122",제 6 기,2021.01.01 ~ 2021.12.31,"45,352,954,430",제 5 기,2020.01.01 ~ 2020.12.31,"56,171,445,292",23,KRW
