rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230320000893,11011,2022,00617998,234100,CFS,연결재무제표,BS,재무상태표,유동자산,제 31 기,2022.12.31 현재,"151,190,724,036",제 30 기,2021.12.31 현재,"135,964,109,289",제 29 기,2020.12.31 현재,"30,423,232,965",1,KRW
20230320000893,11011,2022,00617998,234100,CFS,연결재무제표,BS,재무상태표,비유동자산,제 31 기,2022.12.31 현재,"110,586,721,539",제 30 기,2021.12.31 현재,"78,342,243,920",제 29 기,2020.12.31 현재,"43,005,609,164",3,KRW
20230320000893,11011,2022,00617998,234100,CFS,연결재무제표,BS,재무상태표,자산총계,제 31 기,2022.12.31 현재,"261,777,445,575",제 30 기,2021.12.31 현재,"214,306,353,209",제 29 기,2020.12.31 현재,"73,428,842,129",5,KRW
20230320000893,11011,2022,00617998,234100,CFS,연결재무제표,BS,재무상태표,유동부채,제 31 기,2022.12.31 현재,"44,663,979,020",제 30 기,2021.12.31 현재,"52,871,948,856",제 29 기,2020.12.31 현재,"21,189,360,904",7,KRW
20230320000893,11011,2022,00617998,234100,CFS,연결재무제표,BS,재무상태표,비유동부채,제 31 기,2022.12.31 현재,"9,838,970,236",제 30 기,2021.12.31 현재,"18,327,863,490",제 29 기,2020.12.31 현재,"1,797,547,055",9,KRW
20230320000893,11011,2022,00617998,234100,CFS,연결재무제표,BS,재무상태표,부채총계,제 31 기,2022.12.31 현재,"54,502,949,256",제 30 기,2021.12.31 현재,"71,199,812,346",제 29 기,2020.12.31 현재,"22,986,907,959",11,KRW
20230320000893,11011,2022,00617998,234100,CFS,연결재무제표,BS,재무상태표,자본금,제 31 기,2022.12.31 현재,"4,800,178,500",제 30 기,2021.12.31 현재,"3,348,174,700",제 29 기,2020.12.31 현재,"2,626,755,200",13,KRW
20230320000893,11011,2022,00617998,234100,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 31 기,2022.12.31 현재,"36,464,347,779",제 30 기,2021.12.31 현재,"34,613,388,576",제 29 기,2020.12.31 현재,"27,500,854,798",17,KRW
20230320000893,11011,2022,00617998,234100,CFS,연결재무제표,BS,재무상태표,자본총계,제 31 기,2022.12.31 현재,"207,274,496,319",제 30 기,2021.12.31 현재,"143,106,540,863",제 29 기,2020.12.31 현재,"50,441,934,170",21,KRW
20230320000893,11011,2022,00617998,234100,CFS,연결재무제표,IS,손익계산서,매출액,제 31 기,2022.01.01 ~ 2022.12.31,"176,741,126,444",제 30 기,2021.01.01 ~ 2021.12.31,"97,537,203,981",제 29 기,2020.01.01 ~ 2020.12.31,"72,066,281,711",23,KRW
20230320000893,11011,2022,00617998,234100,CFS,연결재무제표,IS,손익계산서,영업이익,제 31 기,2022.01.01 ~ 2022.12.31,"8,638,821,035",제 30 기,2021.01.01 ~ 2021.12.31,"-1,886,708,059",제 29 기,2020.01.01 ~ 2020.12.31,"4,579,109,766",25,KRW
20230320000893,11011,2022,00617998,234100,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 31 기,2022.01.01 ~ 2022.12.31,"5,508,789,218",제 30 기,2021.01.01 ~ 2021.12.31,"8,337,706,413",제 29 기,2020.01.01 ~ 2020.12.31,"11,563,096,078",27,KRW
20230320000893,11011,2022,00617998,234100,CFS,연결재무제표,IS,손익계산서,당기순이익,제 31 기,2022.01.01 ~ 2022.12.31,"3,912,239,879",제 30 기,2021.01.01 ~ 2021.12.31,"8,266,474,204",제 29 기,2020.01.01 ~ 2020.12.31,"9,544,116,888",29,KRW
20230320000893,11011,2022,00617998,234100,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 31 기,2022.01.01 ~ 2022.12.31,"3,912,239,879",제 30 기,2021.01.01 ~ 2021.12.31,"8,266,474,204",제 29 기,2020.01.01 ~ 2020.12.31,"9,544,116,888",61,KRW
20230320000893,11011,2022,00617998,234100,OFS,재무제표,BS,재무상태표,유동자산,제 31 기,2022.12.31 현재,"66,926,107,750",제 30 기,2021.12.31 현재,"53,184,213,358",제 29 기,2020.12.31 현재,"30,512,562,150",2,KRW
20230320000893,11011,2022,00617998,234100,OFS,재무제표,BS,재무상태표,비유동자산,제 31 기,2022.12.31 현재,"104,718,173,824",제 30 기,2021.12.31 현재,"60,970,664,209",제 29 기,2020.12.31 현재,"44,199,853,258",4,KRW
20230320000893,11011,2022,00617998,234100,OFS,재무제표,BS,재무상태표,자산총계,제 31 기,2022.12.31 현재,"171,644,281,574",제 30 기,2021.12.31 현재,"114,154,877,567",제 29 기,2020.12.31 현재,"74,712,415,408",6,KRW
20230320000893,11011,2022,00617998,234100,OFS,재무제표,BS,재무상태표,유동부채,제 31 기,2022.12.31 현재,"29,152,727,306",제 30 기,2021.12.31 현재,"14,389,225,871",제 29 기,2020.12.31 현재,"20,850,233,480",8,KRW
