rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240315000831,11011,2023,00663669,114630,CFS,연결재무제표,BS,재무상태표,유동자산,제 25 기,2023.12.31 현재,"81,293,212,527",제 24 기,2022.12.31 현재,"83,362,569,812",제 23 기,2021.12.31 현재,"83,535,332,213",1,KRW
20240315000831,11011,2023,00663669,114630,CFS,연결재무제표,BS,재무상태표,비유동자산,제 25 기,2023.12.31 현재,"46,793,127,737",제 24 기,2022.12.31 현재,"28,482,271,999",제 23 기,2021.12.31 현재,"31,324,593,384",3,KRW
20240315000831,11011,2023,00663669,114630,CFS,연결재무제표,BS,재무상태표,자산총계,제 25 기,2023.12.31 현재,"128,086,340,264",제 24 기,2022.12.31 현재,"111,844,841,811",제 23 기,2021.12.31 현재,"114,859,925,597",5,KRW
20240315000831,11011,2023,00663669,114630,CFS,연결재무제표,BS,재무상태표,유동부채,제 25 기,2023.12.31 현재,"25,352,537,723",제 24 기,2022.12.31 현재,"24,678,819,324",제 23 기,2021.12.31 현재,"38,226,923,830",7,KRW
20240315000831,11011,2023,00663669,114630,CFS,연결재무제표,BS,재무상태표,비유동부채,제 25 기,2023.12.31 현재,"979,414,832",제 24 기,2022.12.31 현재,"418,840,208",제 23 기,2021.12.31 현재,"68,373,522",9,KRW
20240315000831,11011,2023,00663669,114630,CFS,연결재무제표,BS,재무상태표,부채총계,제 25 기,2023.12.31 현재,"26,331,952,555",제 24 기,2022.12.31 현재,"25,097,659,532",제 23 기,2021.12.31 현재,"38,295,297,352",11,KRW
20240315000831,11011,2023,00663669,114630,CFS,연결재무제표,BS,재무상태표,자본금,제 25 기,2023.12.31 현재,"31,959,961,000",제 24 기,2022.12.31 현재,"30,487,642,000",제 23 기,2021.12.31 현재,"6,886,982,500",13,KRW
20240315000831,11011,2023,00663669,114630,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 25 기,2023.12.31 현재,"56,447,496,658",제 24 기,2022.12.31 현재,"48,415,159,982",제 23 기,2021.12.31 현재,"44,708,185,256",17,KRW
20240315000831,11011,2023,00663669,114630,CFS,연결재무제표,BS,재무상태표,자본총계,제 25 기,2023.12.31 현재,"101,754,387,709",제 24 기,2022.12.31 현재,"86,747,182,279",제 23 기,2021.12.31 현재,"76,564,628,245",21,KRW
20240315000831,11011,2023,00663669,114630,CFS,연결재무제표,IS,손익계산서,매출액,제 25 기,2023.01.01 ~ 2023.12.31,"78,051,382,009",제 24 기,2022.01.01 ~ 2022.12.31,"97,046,339,631",제 23 기,2021.01.01 ~ 2021.12.31,"66,957,794,021",23,KRW
20240315000831,11011,2023,00663669,114630,CFS,연결재무제표,IS,손익계산서,영업이익,제 25 기,2023.01.01 ~ 2023.12.31,"5,472,293,412",제 24 기,2022.01.01 ~ 2022.12.31,"7,478,790,709",제 23 기,2021.01.01 ~ 2021.12.31,"5,839,153,000",25,KRW
20240315000831,11011,2023,00663669,114630,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 25 기,2023.01.01 ~ 2023.12.31,"9,851,270,848",제 24 기,2022.01.01 ~ 2022.12.31,"4,661,979,721",제 23 기,2021.01.01 ~ 2021.12.31,"6,051,899,967",27,KRW
20240315000831,11011,2023,00663669,114630,CFS,연결재무제표,IS,손익계산서,당기순이익,제 25 기,2023.01.01 ~ 2023.12.31,"7,637,406,631",제 24 기,2022.01.01 ~ 2022.12.31,"3,706,974,726",제 23 기,2021.01.01 ~ 2021.12.31,"4,721,920,089",29,KRW
20240315000831,11011,2023,00663669,114630,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 25 기,2023.01.01 ~ 2023.12.31,"7,637,406,631",제 24 기,2022.01.01 ~ 2022.12.31,"3,706,974,726",제 23 기,2021.01.01 ~ 2021.12.31,"4,721,920,089",61,KRW
20240315000831,11011,2023,00663669,114630,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 25 기,2023.01.01 ~ 2023.12.31,"12,416,533,754",제 24 기,2022.01.01 ~ 2022.12.31,"2,200,331,093",제 23 기,2021.01.01 ~ 2021.12.31,"2,274,014,899",63,KRW
20240315000831,11011,2023,00663669,114630,OFS,재무제표,BS,재무상태표,유동자산,제 25 기,2023.12.31 현재,"74,668,133,282",제 24 기,2022.12.31 현재,"78,443,206,771",제 23 기,2021.12.31 현재,"81,347,983,927",2,KRW
20240315000831,11011,2023,00663669,114630,OFS,재무제표,BS,재무상태표,비유동자산,제 25 기,2023.12.31 현재,"50,865,638,941",제 24 기,2022.12.31 현재,"30,469,601,408",제 23 기,2021.12.31 현재,"33,589,080,273",4,KRW
20240315000831,11011,2023,00663669,114630,OFS,재무제표,BS,재무상태표,자산총계,제 25 기,2023.12.31 현재,"125,533,772,223",제 24 기,2022.12.31 현재,"108,912,808,179",제 23 기,2021.12.31 현재,"114,937,064,200",6,KRW
20240315000831,11011,2023,00663669,114630,OFS,재무제표,BS,재무상태표,유동부채,제 25 기,2023.12.31 현재,"24,635,397,796",제 24 기,2022.12.31 현재,"24,358,331,388",제 23 기,2021.12.31 현재,"39,015,198,727",8,KRW
20240315000831,11011,2023,00663669,114630,OFS,재무제표,BS,재무상태표,비유동부채,제 25 기,2023.12.31 현재,"1,303,047,677",제 24 기,2022.12.31 현재,"142,935,937",제 23 기,2021.12.31 현재,"86,706,090",10,KRW
20240315000831,11011,2023,00663669,114630,OFS,재무제표,BS,재무상태표,부채총계,제 25 기,2023.12.31 현재,"25,938,445,473",제 24 기,2022.12.31 현재,"24,501,267,325",제 23 기,2021.12.31 현재,"39,101,904,817",12,KRW
20240315000831,11011,2023,00663669,114630,OFS,재무제표,BS,재무상태표,자본금,제 25 기,2023.12.31 현재,"31,959,961,000",제 24 기,2022.12.31 현재,"30,487,642,000",제 23 기,2021.12.31 현재,"6,886,982,500",15,KRW
20240315000831,11011,2023,00663669,114630,OFS,재무제표,BS,재무상태표,이익잉여금,제 25 기,2023.12.31 현재,"50,820,543,991",제 24 기,2022.12.31 현재,"44,188,520,740",제 23 기,2021.12.31 현재,"41,850,487,195",19,KRW
20240315000831,11011,2023,00663669,114630,OFS,재무제표,BS,재무상태표,자본총계,제 25 기,2023.12.31 현재,"99,595,326,750",제 24 기,2022.12.31 현재,"84,411,540,854",제 23 기,2021.12.31 현재,"75,835,159,383",22,KRW
20240315000831,11011,2023,00663669,114630,OFS,재무제표,IS,손익계산서,매출액,제 25 기,2023.01.01 ~ 2023.12.31,"71,734,354,189",제 24 기,2022.01.01 ~ 2022.12.31,"90,407,694,407",제 23 기,2021.01.01 ~ 2021.12.31,"66,680,372,994",24,KRW
20240315000831,11011,2023,00663669,114630,OFS,재무제표,IS,손익계산서,영업이익,제 25 기,2023.01.01 ~ 2023.12.31,"2,901,575,261",제 24 기,2022.01.01 ~ 2022.12.31,"4,620,877,421",제 23 기,2021.01.01 ~ 2021.12.31,"3,062,892,417",26,KRW
20240315000831,11011,2023,00663669,114630,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 25 기,2023.01.01 ~ 2023.12.31,"7,737,684,023",제 24 기,2022.01.01 ~ 2022.12.31,"2,730,008,283",제 23 기,2021.01.01 ~ 2021.12.31,"3,964,188,192",28,KRW
20240315000831,11011,2023,00663669,114630,OFS,재무제표,IS,손익계산서,당기순이익,제 25 기,2023.01.01 ~ 2023.12.31,"6,237,093,206",제 24 기,2022.01.01 ~ 2022.12.31,"2,338,033,545",제 23 기,2021.01.01 ~ 2021.12.31,"3,287,920,813",30,KRW
20240315000831,11011,2023,00663669,114630,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 25 기,2023.01.01 ~ 2023.12.31,"6,237,093,206",제 24 기,2022.01.01 ~ 2022.12.31,"2,338,033,545",제 23 기,2021.01.01 ~ 2021.12.31,"3,287,920,813",62,KRW
20240315000831,11011,2023,00663669,114630,OFS,재무제표,IS,손익계산서,총포괄손익,제 25 기,2023.01.01 ~ 2023.12.31,"12,593,114,220",제 24 기,2022.01.01 ~ 2022.12.31,"594,158,530",제 23 기,2021.01.01 ~ 2021.12.31,"986,923,654",64,KRW
