rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250311000076,11011,2024,00189538,032580,OFS,재무제표,BS,재무상태표,유동자산,제 35 기,2024.12.31 현재,"50,355,525,583",제 34 기,2023.12.31 현재,"53,161,670,874",제 33 기,2022.12.31 현재,"51,829,635,137",2,KRW
20250311000076,11011,2024,00189538,032580,OFS,재무제표,BS,재무상태표,비유동자산,제 35 기,2024.12.31 현재,"6,325,057,913",제 34 기,2023.12.31 현재,"4,265,580,884",제 33 기,2022.12.31 현재,"5,937,575,585",4,KRW
20250311000076,11011,2024,00189538,032580,OFS,재무제표,BS,재무상태표,자산총계,제 35 기,2024.12.31 현재,"56,680,583,496",제 34 기,2023.12.31 현재,"57,427,251,758",제 33 기,2022.12.31 현재,"57,767,210,722",6,KRW
20250311000076,11011,2024,00189538,032580,OFS,재무제표,BS,재무상태표,유동부채,제 35 기,2024.12.31 현재,"6,409,519,672",제 34 기,2023.12.31 현재,"7,463,702,735",제 33 기,2022.12.31 현재,"7,479,238,838",8,KRW
20250311000076,11011,2024,00189538,032580,OFS,재무제표,BS,재무상태표,비유동부채,제 35 기,2024.12.31 현재,"2,720,437,672",제 34 기,2023.12.31 현재,-,제 33 기,2022.12.31 현재,"1,221,688,078",10,KRW
20250311000076,11011,2024,00189538,032580,OFS,재무제표,BS,재무상태표,부채총계,제 35 기,2024.12.31 현재,"9,129,957,344",제 34 기,2023.12.31 현재,"7,463,702,735",제 33 기,2022.12.31 현재,"8,700,926,916",12,KRW
20250311000076,11011,2024,00189538,032580,OFS,재무제표,BS,재무상태표,자본금,제 35 기,2024.12.31 현재,"16,566,032,000",제 34 기,2023.12.31 현재,"16,566,032,000",제 33 기,2022.12.31 현재,"16,566,032,000",15,KRW
20250311000076,11011,2024,00189538,032580,OFS,재무제표,BS,재무상태표,이익잉여금,제 35 기,2024.12.31 현재,"7,392,043,483",제 34 기,2023.12.31 현재,"9,807,252,261",제 33 기,2022.12.31 현재,"8,908,871,132",19,KRW
20250311000076,11011,2024,00189538,032580,OFS,재무제표,BS,재무상태표,자본총계,제 35 기,2024.12.31 현재,"47,550,626,152",제 34 기,2023.12.31 현재,"49,963,549,023",제 33 기,2022.12.31 현재,"49,066,283,806",22,KRW
20250311000076,11011,2024,00189538,032580,OFS,재무제표,IS,손익계산서,매출액,제 35 기,2024.01.01 ~ 2024.12.31,"44,810,331,384",제 34 기,2023.01.01 ~ 2023.12.31,"52,783,978,412",제 33 기,2022.01.01 ~ 2022.12.31,"72,559,081,230",24,KRW
20250311000076,11011,2024,00189538,032580,OFS,재무제표,IS,손익계산서,영업이익,제 35 기,2024.01.01 ~ 2024.12.31,"-4,528,465,335",제 34 기,2023.01.01 ~ 2023.12.31,"710,092,106",제 33 기,2022.01.01 ~ 2022.12.31,"6,281,389,514",26,KRW
20250311000076,11011,2024,00189538,032580,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 35 기,2024.01.01 ~ 2024.12.31,"-2,133,114,226",제 34 기,2023.01.01 ~ 2023.12.31,"1,138,979,607",제 33 기,2022.01.01 ~ 2022.12.31,"8,154,957,722",28,KRW
20250311000076,11011,2024,00189538,032580,OFS,재무제표,IS,손익계산서,당기순이익,제 35 기,2024.01.01 ~ 2024.12.31,"-2,206,307,623",제 34 기,2023.01.01 ~ 2023.12.31,"1,061,919,010",제 33 기,2022.01.01 ~ 2022.12.31,"8,246,655,718",30,KRW
20250311000076,11011,2024,00189538,032580,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 35 기,2024.01.01 ~ 2024.12.31,"-2,206,307,623",제 34 기,2023.01.01 ~ 2023.12.31,"1,061,919,010",제 33 기,2022.01.01 ~ 2022.12.31,"8,246,655,718",62,KRW
20250311000076,11011,2024,00189538,032580,OFS,재무제표,IS,손익계산서,총포괄손익,제 35 기,2024.01.01 ~ 2024.12.31,"-2,412,922,871",제 34 기,2023.01.01 ~ 2023.12.31,"897,265,217",제 33 기,2022.01.01 ~ 2022.12.31,"8,452,143,157",64,KRW
