rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250321001638,11011,2024,00208444,031980,CFS,연결재무제표,BS,재무상태표,유동자산,제 35 기,2024.12.31 현재,"241,142,492,384",제 34 기,2023.12.31 현재,"165,192,022,075",제 33 기,2022.12.31 현재,"128,409,189,488",1,KRW
20250321001638,11011,2024,00208444,031980,CFS,연결재무제표,BS,재무상태표,비유동자산,제 35 기,2024.12.31 현재,"272,421,930,811",제 34 기,2023.12.31 현재,"236,249,855,118",제 33 기,2022.12.31 현재,"200,021,806,172",3,KRW
20250321001638,11011,2024,00208444,031980,CFS,연결재무제표,BS,재무상태표,자산총계,제 35 기,2024.12.31 현재,"513,564,423,195",제 34 기,2023.12.31 현재,"401,441,877,193",제 33 기,2022.12.31 현재,"328,430,995,660",5,KRW
20250321001638,11011,2024,00208444,031980,CFS,연결재무제표,BS,재무상태표,유동부채,제 35 기,2024.12.31 현재,"51,738,271,298",제 34 기,2023.12.31 현재,"35,094,335,258",제 33 기,2022.12.31 현재,"22,197,474,143",7,KRW
20250321001638,11011,2024,00208444,031980,CFS,연결재무제표,BS,재무상태표,비유동부채,제 35 기,2024.12.31 현재,"30,362,727,096",제 34 기,2023.12.31 현재,"25,035,137,469",제 33 기,2022.12.31 현재,"24,056,905,451",9,KRW
20250321001638,11011,2024,00208444,031980,CFS,연결재무제표,BS,재무상태표,부채총계,제 35 기,2024.12.31 현재,"82,100,998,394",제 34 기,2023.12.31 현재,"60,129,472,727",제 33 기,2022.12.31 현재,"46,254,379,594",11,KRW
20250321001638,11011,2024,00208444,031980,CFS,연결재무제표,BS,재무상태표,자본금,제 35 기,2024.12.31 현재,"10,781,197,500",제 34 기,2023.12.31 현재,"10,781,197,500",제 33 기,2022.12.31 현재,"10,781,197,500",13,KRW
20250321001638,11011,2024,00208444,031980,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 35 기,2024.12.31 현재,"352,804,678,255",제 34 기,2023.12.31 현재,"273,423,163,563",제 33 기,2022.12.31 현재,"241,799,371,660",17,KRW
20250321001638,11011,2024,00208444,031980,CFS,연결재무제표,BS,재무상태표,자본총계,제 35 기,2024.12.31 현재,"431,463,424,801",제 34 기,2023.12.31 현재,"341,312,404,466",제 33 기,2022.12.31 현재,"282,176,616,066",21,KRW
20250321001638,11011,2024,00208444,031980,CFS,연결재무제표,IS,손익계산서,매출액,제 35 기,2024.01.01 ~ 2024.12.31,"215,508,095,005",제 34 기,2023.01.01 ~ 2023.12.31,"94,716,683,944",제 33 기,2022.01.01 ~ 2022.12.31,"72,790,993,366",23,KRW
20250321001638,11011,2024,00208444,031980,CFS,연결재무제표,IS,손익계산서,영업이익,제 35 기,2024.01.01 ~ 2024.12.31,"88,482,980,891",제 34 기,2023.01.01 ~ 2023.12.31,"26,970,755,131",제 33 기,2022.01.01 ~ 2022.12.31,"16,902,902,739",25,KRW
