rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240318000657,11011,2023,01488320,378340,CFS,연결재무제표,BS,재무상태표,유동자산,제 4 기,2023.12.31 현재,"196,160,620,640",제 3 기,2022.12.31 현재,"120,088,812,961",제 2 기,2021.12.31 현재,"88,133,698,056",1,KRW
20240318000657,11011,2023,01488320,378340,CFS,연결재무제표,BS,재무상태표,비유동자산,제 4 기,2023.12.31 현재,"53,688,991,253",제 3 기,2022.12.31 현재,"20,106,035,167",제 2 기,2021.12.31 현재,"8,554,312,433",3,KRW
20240318000657,11011,2023,01488320,378340,CFS,연결재무제표,BS,재무상태표,자산총계,제 4 기,2023.12.31 현재,"249,849,611,893",제 3 기,2022.12.31 현재,"140,194,848,128",제 2 기,2021.12.31 현재,"96,688,010,489",5,KRW
20240318000657,11011,2023,01488320,378340,CFS,연결재무제표,BS,재무상태표,유동부채,제 4 기,2023.12.31 현재,"110,609,035,013",제 3 기,2022.12.31 현재,"79,067,397,424",제 2 기,2021.12.31 현재,"59,230,564,234",7,KRW
20240318000657,11011,2023,01488320,378340,CFS,연결재무제표,BS,재무상태표,비유동부채,제 4 기,2023.12.31 현재,"10,628,317,662",제 3 기,2022.12.31 현재,"36,576,586,441",제 2 기,2021.12.31 현재,"17,114,501,352",9,KRW
20240318000657,11011,2023,01488320,378340,CFS,연결재무제표,BS,재무상태표,부채총계,제 4 기,2023.12.31 현재,"121,237,352,675",제 3 기,2022.12.31 현재,"115,643,983,865",제 2 기,2021.12.31 현재,"76,345,065,586",11,KRW
20240318000657,11011,2023,01488320,378340,CFS,연결재무제표,BS,재무상태표,자본금,제 4 기,2023.12.31 현재,"10,604,441,000",제 3 기,2022.12.31 현재,"3,750,000,000",제 2 기,2021.12.31 현재,"1,500,000,000",13,KRW
20240318000657,11011,2023,01488320,378340,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 4 기,2023.12.31 현재,"-175,151,149",제 3 기,2022.12.31 현재,"6,241,576,020",제 2 기,2021.12.31 현재,"2,518,365,096",17,KRW
20240318000657,11011,2023,01488320,378340,CFS,연결재무제표,BS,재무상태표,자본총계,제 4 기,2023.12.31 현재,"128,612,259,218",제 3 기,2022.12.31 현재,"24,550,864,263",제 2 기,2021.12.31 현재,"20,342,944,903",21,KRW
20240318000657,11011,2023,01488320,378340,CFS,연결재무제표,IS,손익계산서,매출액,제 4 기,2023.01.01 ~ 2023.12.31,"196,715,168,088",제 3 기,2022.01.01 ~ 2022.12.31,"189,709,754,189",제 2 기,2021.01.01 ~ 2021.12.31,"165,151,962,097",23,KRW
20240318000657,11011,2023,01488320,378340,CFS,연결재무제표,IS,손익계산서,영업이익,제 4 기,2023.01.01 ~ 2023.12.31,"15,311,910,704",제 3 기,2022.01.01 ~ 2022.12.31,"16,812,053,025",제 2 기,2021.01.01 ~ 2021.12.31,"7,361,255,462",25,KRW
20240318000657,11011,2023,01488320,378340,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 4 기,2023.01.01 ~ 2023.12.31,"-3,622,211,107",제 3 기,2022.01.01 ~ 2022.12.31,"7,366,876,217",제 2 기,2021.01.01 ~ 2021.12.31,"6,461,022,815",27,KRW
20240318000657,11011,2023,01488320,378340,CFS,연결재무제표,IS,손익계산서,당기순이익,제 4 기,2023.01.01 ~ 2023.12.31,"-6,416,727,169",제 3 기,2022.01.01 ~ 2022.12.31,"3,723,210,924",제 2 기,2021.01.01 ~ 2021.12.31,"5,719,127,519",29,KRW
20240318000657,11011,2023,01488320,378340,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 4 기,2023.01.01 ~ 2023.12.31,"-6,416,727,169",제 3 기,2022.01.01 ~ 2022.12.31,"3,723,210,924",제 2 기,2021.01.01 ~ 2021.12.31,"5,719,127,519",61,KRW
20240318000657,11011,2023,01488320,378340,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 4 기,2023.01.01 ~ 2023.12.31,"-6,415,745,241",제 3 기,2022.01.01 ~ 2022.12.31,"3,715,789,906",제 2 기,2021.01.01 ~ 2021.12.31,"5,716,322,700",63,KRW
20240318000657,11011,2023,01488320,378340,OFS,재무제표,BS,재무상태표,유동자산,제 4 기,2023.12.31 현재,"190,880,252,478",제 3 기,2022.12.31 현재,"119,823,834,586",제 2 기,2021.12.31 현재,"88,083,042,585",2,KRW
20240318000657,11011,2023,01488320,378340,OFS,재무제표,BS,재무상태표,비유동자산,제 4 기,2023.12.31 현재,"55,714,291,631",제 3 기,2022.12.31 현재,"20,488,862,737",제 2 기,2021.12.31 현재,"8,653,819,556",4,KRW
20240318000657,11011,2023,01488320,378340,OFS,재무제표,BS,재무상태표,자산총계,제 4 기,2023.12.31 현재,"246,594,544,109",제 3 기,2022.12.31 현재,"140,312,697,323",제 2 기,2021.12.31 현재,"96,736,862,141",6,KRW
20240318000657,11011,2023,01488320,378340,OFS,재무제표,BS,재무상태표,유동부채,제 4 기,2023.12.31 현재,"108,332,571,806",제 3 기,2022.12.31 현재,"79,042,153,340",제 2 기,2021.12.31 현재,"59,188,758,717",8,KRW
20240318000657,11011,2023,01488320,378340,OFS,재무제표,BS,재무상태표,비유동부채,제 4 기,2023.12.31 현재,"10,125,509,431",제 3 기,2022.12.31 현재,"36,576,586,441",제 2 기,2021.12.31 현재,"17,114,501,352",10,KRW
20240318000657,11011,2023,01488320,378340,OFS,재무제표,BS,재무상태표,부채총계,제 4 기,2023.12.31 현재,"118,458,081,237",제 3 기,2022.12.31 현재,"115,618,739,781",제 2 기,2021.12.31 현재,"76,303,260,069",12,KRW
20240318000657,11011,2023,01488320,378340,OFS,재무제표,BS,재무상태표,자본금,제 4 기,2023.12.31 현재,"10,604,441,000",제 3 기,2022.12.31 현재,"3,750,000,000",제 2 기,2021.12.31 현재,"1,500,000,000",15,KRW
20240318000657,11011,2023,01488320,378340,OFS,재무제표,BS,재무상태표,이익잉여금,제 4 기,2023.12.31 현재,"163,129,558",제 3 기,2022.12.31 현재,"6,372,277,893",제 2 기,2021.12.31 현재,"2,604,051,877",19,KRW
20240318000657,11011,2023,01488320,378340,OFS,재무제표,BS,재무상태표,자본총계,제 4 기,2023.12.31 현재,"128,136,462,872",제 3 기,2022.12.31 현재,"24,693,957,542",제 2 기,2021.12.31 현재,"20,433,602,072",22,KRW
20240318000657,11011,2023,01488320,378340,OFS,재무제표,IS,손익계산서,매출액,제 4 기,2023.01.01 ~ 2023.12.31,"196,715,168,088",제 3 기,2022.01.01 ~ 2022.12.31,"189,709,754,189",제 2 기,2021.01.01 ~ 2021.12.31,"165,151,962,097",24,KRW
20240318000657,11011,2023,01488320,378340,OFS,재무제표,IS,손익계산서,영업이익,제 4 기,2023.01.01 ~ 2023.12.31,"15,487,363,342",제 3 기,2022.01.01 ~ 2022.12.31,"16,842,728,110",제 2 기,2021.01.01 ~ 2021.12.31,"7,426,642,675",26,KRW
20240318000657,11011,2023,01488320,378340,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 4 기,2023.01.01 ~ 2023.12.31,"-3,414,632,273",제 3 기,2022.01.01 ~ 2022.12.31,"7,411,822,868",제 2 기,2021.01.01 ~ 2021.12.31,"6,524,801,921",28,KRW
20240318000657,11011,2023,01488320,378340,OFS,재무제표,IS,손익계산서,당기순이익,제 4 기,2023.01.01 ~ 2023.12.31,"-6,209,148,335",제 3 기,2022.01.01 ~ 2022.12.31,"3,768,226,016",제 2 기,2021.01.01 ~ 2021.12.31,"5,782,924,299",30,KRW
