rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_amount,bfefrmtrm_amount,ord,currency
20250305000454,11011,2024,01807738,475240,OFS,재무제표,BS,재무상태표,유동자산,제 1 기,2024.12.31 현재,"7,187,722,271",-,-,2,KRW
20250305000454,11011,2024,01807738,475240,OFS,재무제표,BS,재무상태표,자산총계,제 1 기,2024.12.31 현재,"7,187,722,271",-,-,6,KRW
20250305000454,11011,2024,01807738,475240,OFS,재무제표,BS,재무상태표,유동부채,제 1 기,2024.12.31 현재,"19,773,968",-,-,8,KRW
20250305000454,11011,2024,01807738,475240,OFS,재무제표,BS,재무상태표,비유동부채,제 1 기,2024.12.31 현재,"908,649,894",-,-,10,KRW
20250305000454,11011,2024,01807738,475240,OFS,재무제표,BS,재무상태표,부채총계,제 1 기,2024.12.31 현재,"928,423,862",-,-,12,KRW
20250305000454,11011,2024,01807738,475240,OFS,재무제표,BS,재무상태표,자본금,제 1 기,2024.12.31 현재,"320,000,000",-,-,15,KRW
20250305000454,11011,2024,01807738,475240,OFS,재무제표,BS,재무상태표,이익잉여금,제 1 기,2024.12.31 현재,"88,635,650",-,-,19,KRW
20250305000454,11011,2024,01807738,475240,OFS,재무제표,BS,재무상태표,자본총계,제 1 기,2024.12.31 현재,"6,259,298,409",-,-,22,KRW
20250305000454,11011,2024,01807738,475240,OFS,재무제표,IS,손익계산서,매출액,제 1 기,2024.01.05 ~ 2024.12.31,0,-,-,24,KRW
20250305000454,11011,2024,01807738,475240,OFS,재무제표,IS,손익계산서,영업이익,제 1 기,2024.01.05 ~ 2024.12.31,"-37,569,091",-,-,26,KRW
20250305000454,11011,2024,01807738,475240,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 1 기,2024.01.05 ~ 2024.12.31,"98,374,751",-,-,28,KRW
20250305000454,11011,2024,01807738,475240,OFS,재무제표,IS,손익계산서,당기순이익,제 1 기,2024.01.05 ~ 2024.12.31,"88,635,650",-,-,30,KRW
20250305000454,11011,2024,01807738,475240,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 1 기,2024.01.05 ~ 2024.12.31,"88,635,650",-,-,62,KRW
20250305000454,11011,2024,01807738,475240,OFS,재무제표,IS,손익계산서,총포괄손익,제 1 기,2024.01.05 ~ 2024.12.31,"88,635,650",-,-,64,KRW
