rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_amount,ord,currency
20230302000304,11011,2022,01583397,400560,OFS,재무제표,BS,재무상태표,유동자산,제 2 기,2022.12.31 현재,"6,864,119,712",제 1 기,2021.12.31 현재,"6,818,741,388",-,2,KRW
20230302000304,11011,2022,01583397,400560,OFS,재무제표,BS,재무상태표,비유동자산,제 2 기,2022.12.31 현재,0,제 1 기,2021.12.31 현재,0,-,4,KRW
20230302000304,11011,2022,01583397,400560,OFS,재무제표,BS,재무상태표,자산총계,제 2 기,2022.12.31 현재,"6,864,119,712",제 1 기,2021.12.31 현재,"6,818,741,388",-,6,KRW
20230302000304,11011,2022,01583397,400560,OFS,재무제표,BS,재무상태표,유동부채,제 2 기,2022.12.31 현재,0,제 1 기,2021.12.31 현재,0,-,8,KRW
20230302000304,11011,2022,01583397,400560,OFS,재무제표,BS,재무상태표,비유동부채,제 2 기,2022.12.31 현재,"913,396,792",제 1 기,2021.12.31 현재,"898,378,179",-,10,KRW
20230302000304,11011,2022,01583397,400560,OFS,재무제표,BS,재무상태표,부채총계,제 2 기,2022.12.31 현재,"913,396,792",제 1 기,2021.12.31 현재,"898,378,179",-,12,KRW
20230302000304,11011,2022,01583397,400560,OFS,재무제표,BS,재무상태표,자본금,제 2 기,2022.12.31 현재,"305,000,000",제 1 기,2021.12.31 현재,"305,000,000",-,15,KRW
20230302000304,11011,2022,01583397,400560,OFS,재무제표,BS,재무상태표,이익잉여금,제 2 기,2022.12.31 현재,"24,184,900",제 1 기,2021.12.31 현재,"-6,174,811",-,19,KRW
20230302000304,11011,2022,01583397,400560,OFS,재무제표,BS,재무상태표,자본총계,제 2 기,2022.12.31 현재,"5,950,722,920",제 1 기,2021.12.31 현재,"5,920,363,209",-,22,KRW
20230302000304,11011,2022,01583397,400560,OFS,재무제표,IS,손익계산서,매출액,제 2 기,2022.01.01 ~ 2022.12.31,0,제 1 기,2021.08.23 ~ 2021.12.31,0,-,24,KRW
20230302000304,11011,2022,01583397,400560,OFS,재무제표,IS,손익계산서,영업이익,제 2 기,2022.01.01 ~ 2022.12.31,"-39,099,730",제 1 기,2021.08.23 ~ 2021.12.31,"-4,539,900",-,26,KRW
20230302000304,11011,2022,01583397,400560,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 2 기,2022.01.01 ~ 2022.12.31,"32,531,935",제 1 기,2021.08.23 ~ 2021.12.31,"-7,916,425",-,28,KRW
20230302000304,11011,2022,01583397,400560,OFS,재무제표,IS,손익계산서,당기순이익,제 2 기,2022.01.01 ~ 2022.12.31,"30,359,711",제 1 기,2021.08.23 ~ 2021.12.31,"-6,174,811",-,30,KRW
20230302000304,11011,2022,01583397,400560,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 2 기,2022.01.01 ~ 2022.12.31,"30,359,711",제 1 기,2021.08.23 ~ 2021.12.31,"-6,174,811",-,62,KRW
