rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250320001210,11011,2024,01505186,365590,OFS,재무제표,BS,재무상태표,유동자산,제 5 기,2024.12.31 현재,"9,911,024,411",제 4 기,2023.12.31 현재,"19,309,258,669",제 3 기,2022.12.31 현재,"32,254,856,894",2,KRW
20250320001210,11011,2024,01505186,365590,OFS,재무제표,BS,재무상태표,비유동자산,제 5 기,2024.12.31 현재,"8,453,976,377",제 4 기,2023.12.31 현재,"6,779,333,719",제 3 기,2022.12.31 현재,"5,891,525,960",4,KRW
20250320001210,11011,2024,01505186,365590,OFS,재무제표,BS,재무상태표,자산총계,제 5 기,2024.12.31 현재,"18,365,000,788",제 4 기,2023.12.31 현재,"26,088,592,388",제 3 기,2022.12.31 현재,"38,146,382,854",6,KRW
20250320001210,11011,2024,01505186,365590,OFS,재무제표,BS,재무상태표,유동부채,제 5 기,2024.12.31 현재,"9,534,621,592",제 4 기,2023.12.31 현재,"10,349,849,820",제 3 기,2022.12.31 현재,"6,318,237,582",8,KRW
20250320001210,11011,2024,01505186,365590,OFS,재무제표,BS,재무상태표,비유동부채,제 5 기,2024.12.31 현재,"1,308,792,845",제 4 기,2023.12.31 현재,"337,133,421",제 3 기,2022.12.31 현재,"13,620,990,094",10,KRW
20250320001210,11011,2024,01505186,365590,OFS,재무제표,BS,재무상태표,부채총계,제 5 기,2024.12.31 현재,"10,843,414,437",제 4 기,2023.12.31 현재,"10,686,983,241",제 3 기,2022.12.31 현재,"19,939,227,676",12,KRW
20250320001210,11011,2024,01505186,365590,OFS,재무제표,BS,재무상태표,자본금,제 5 기,2024.12.31 현재,"14,444,730,900",제 4 기,2023.12.31 현재,"14,352,391,600",제 3 기,2022.12.31 현재,"13,745,735,200",15,KRW
20250320001210,11011,2024,01505186,365590,OFS,재무제표,BS,재무상태표,이익잉여금,제 5 기,2024.12.31 현재,"-75,462,121,014",제 4 기,2023.12.31 현재,"-65,756,551,813",제 3 기,2022.12.31 현재,"-56,012,064,850",19,KRW
20250320001210,11011,2024,01505186,365590,OFS,재무제표,BS,재무상태표,자본총계,제 5 기,2024.12.31 현재,"7,521,586,351",제 4 기,2023.12.31 현재,"15,401,609,147",제 3 기,2022.12.31 현재,"18,207,155,178",22,KRW
20250320001210,11011,2024,01505186,365590,OFS,재무제표,IS,손익계산서,매출액,제 5 기,2024.01.01 ~ 2024.12.31,"5,889,970,051",제 4 기,2023.01.01 ~ 2023.12.31,"10,483,522,724",제 3 기,2022.01.01 ~ 2022.12.31,"18,145,498,845",24,KRW
20250320001210,11011,2024,01505186,365590,OFS,재무제표,IS,손익계산서,영업이익,제 5 기,2024.01.01 ~ 2024.12.31,"-9,120,516,576",제 4 기,2023.01.01 ~ 2023.12.31,"-8,614,527,090",제 3 기,2022.01.01 ~ 2022.12.31,"-2,271,588,709",26,KRW
20250320001210,11011,2024,01505186,365590,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 5 기,2024.01.01 ~ 2024.12.31,"-9,436,778,843",제 4 기,2023.01.01 ~ 2023.12.31,"-9,079,932,482",제 3 기,2022.01.01 ~ 2022.12.31,"-7,511,005,877",28,KRW
20250320001210,11011,2024,01505186,365590,OFS,재무제표,IS,손익계산서,당기순이익,제 5 기,2024.01.01 ~ 2024.12.31,"-9,436,778,843",제 4 기,2023.01.01 ~ 2023.12.31,"-9,377,440,990",제 3 기,2022.01.01 ~ 2022.12.31,"-6,982,900,895",30,KRW
20250320001210,11011,2024,01505186,365590,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 5 기,2024.01.01 ~ 2024.12.31,"-9,436,778,843",제 4 기,2023.01.01 ~ 2023.12.31,"-9,377,440,990",제 3 기,2022.01.01 ~ 2022.12.31,"-6,982,900,895",62,KRW
20250320001210,11011,2024,01505186,365590,OFS,재무제표,IS,손익계산서,총포괄손익,제 5 기,2024.01.01 ~ 2024.12.31,"-9,705,569,201",제 4 기,2023.01.01 ~ 2023.12.31,"-9,744,486,963",제 3 기,2022.01.01 ~ 2022.12.31,"-6,903,083,208",64,KRW
