rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250318000179,11011,2024,00650771,160190,CFS,연결재무제표,BS,재무상태표,유동자산,제 18 기,2024.12.31 현재,"62,813,519,249",제 17 기,2023.12.31 현재,"50,838,474,767",제 16 기,2022.12.31 현재,"54,044,104,784",1,KRW
20250318000179,11011,2024,00650771,160190,CFS,연결재무제표,BS,재무상태표,비유동자산,제 18 기,2024.12.31 현재,"57,371,782,014",제 17 기,2023.12.31 현재,"56,682,127,501",제 16 기,2022.12.31 현재,"56,972,971,583",3,KRW
20250318000179,11011,2024,00650771,160190,CFS,연결재무제표,BS,재무상태표,자산총계,제 18 기,2024.12.31 현재,"120,185,301,263",제 17 기,2023.12.31 현재,"107,520,602,268",제 16 기,2022.12.31 현재,"111,017,076,367",5,KRW
20250318000179,11011,2024,00650771,160190,CFS,연결재무제표,BS,재무상태표,유동부채,제 18 기,2024.12.31 현재,"36,373,171,473",제 17 기,2023.12.31 현재,"26,647,553,338",제 16 기,2022.12.31 현재,"52,553,845,126",7,KRW
20250318000179,11011,2024,00650771,160190,CFS,연결재무제표,BS,재무상태표,비유동부채,제 18 기,2024.12.31 현재,"15,438,244,775",제 17 기,2023.12.31 현재,"34,841,392,093",제 16 기,2022.12.31 현재,"15,137,260,307",9,KRW
20250318000179,11011,2024,00650771,160190,CFS,연결재무제표,BS,재무상태표,부채총계,제 18 기,2024.12.31 현재,"51,811,416,248",제 17 기,2023.12.31 현재,"61,488,945,431",제 16 기,2022.12.31 현재,"67,691,105,433",11,KRW
20250318000179,11011,2024,00650771,160190,CFS,연결재무제표,BS,재무상태표,자본금,제 18 기,2024.12.31 현재,"15,444,000,000",제 17 기,2023.12.31 현재,"13,693,000,000",제 16 기,2022.12.31 현재,"29,500,000,000",13,KRW
20250318000179,11011,2024,00650771,160190,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 18 기,2024.12.31 현재,"40,356,615,022",제 17 기,2023.12.31 현재,"42,386,839,602",제 16 기,2022.12.31 현재,"39,335,278,805",17,KRW
20250318000179,11011,2024,00650771,160190,CFS,연결재무제표,BS,재무상태표,자본총계,제 18 기,2024.12.31 현재,"68,373,885,015",제 17 기,2023.12.31 현재,"46,031,656,837",제 16 기,2022.12.31 현재,"43,325,970,934",21,KRW
20250318000179,11011,2024,00650771,160190,CFS,연결재무제표,IS,손익계산서,매출액,제 18 기,2024.01.01 ~ 2024.12.31,"75,886,180,614",제 17 기,2023.01.01 ~ 2023.12.31,"77,247,394,706",제 16 기,2022.01.01 ~ 2022.12.31,"87,525,689,695",23,KRW
20250318000179,11011,2024,00650771,160190,CFS,연결재무제표,IS,손익계산서,영업이익,제 18 기,2024.01.01 ~ 2024.12.31,"-369,253,550",제 17 기,2023.01.01 ~ 2023.12.31,"4,336,496,285",제 16 기,2022.01.01 ~ 2022.12.31,"4,920,387,020",25,KRW
20250318000179,11011,2024,00650771,160190,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 18 기,2024.01.01 ~ 2024.12.31,"-1,406,100,463",제 17 기,2023.01.01 ~ 2023.12.31,"2,656,792,470",제 16 기,2022.01.01 ~ 2022.12.31,"3,839,130,691",27,KRW
20250318000179,11011,2024,00650771,160190,CFS,연결재무제표,IS,손익계산서,당기순이익,제 18 기,2024.01.01 ~ 2024.12.31,"-1,092,879,556",제 17 기,2023.01.01 ~ 2023.12.31,"2,646,634,321",제 16 기,2022.01.01 ~ 2022.12.31,"3,980,493,669",29,KRW
20250318000179,11011,2024,00650771,160190,CFS,연결재무제표,BS,재무상태표,당기손익-공정가치측정금융자산,제 18 기,2024.12.31 현재,"3,976,424,135",제 17 기,2023.12.31 현재,0,제 16 기,2022.12.31 현재,0,35,KRW
20250318000179,11011,2024,00650771,160190,CFS,연결재무제표,BS,재무상태표,기타포괄손익-공정가치측정금융자산,제 18 기,2024.12.31 현재,0,제 17 기,2023.12.31 현재,0,제 16 기,2022.12.31 현재,"223,915,940",37,KRW
20250318000179,11011,2024,00650771,160190,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 18 기,2024.01.01 ~ 2024.12.31,"-1,092,879,556",제 17 기,2023.01.01 ~ 2023.12.31,"2,646,634,321",제 16 기,2022.01.01 ~ 2022.12.31,"3,980,493,669",61,KRW
20250318000179,11011,2024,00650771,160190,OFS,재무제표,BS,재무상태표,유동자산,제 18 기,2024.12.31 현재,"58,735,923,203",제 17 기,2023.12.31 현재,"46,338,696,427",제 16 기,2022.12.31 현재,"50,142,041,783",2,KRW
20250318000179,11011,2024,00650771,160190,OFS,재무제표,BS,재무상태표,비유동자산,제 18 기,2024.12.31 현재,"60,732,938,050",제 17 기,2023.12.31 현재,"60,320,016,011",제 16 기,2022.12.31 현재,"60,419,366,476",4,KRW
20250318000179,11011,2024,00650771,160190,OFS,재무제표,BS,재무상태표,자산총계,제 18 기,2024.12.31 현재,"119,468,861,253",제 17 기,2023.12.31 현재,"106,658,712,438",제 16 기,2022.12.31 현재,"110,561,408,259",6,KRW
20250318000179,11011,2024,00650771,160190,OFS,재무제표,BS,재무상태표,유동부채,제 18 기,2024.12.31 현재,"38,450,379,097",제 17 기,2023.12.31 현재,"27,703,623,687",제 16 기,2022.12.31 현재,"54,012,631,321",8,KRW
20250318000179,11011,2024,00650771,160190,OFS,재무제표,BS,재무상태표,비유동부채,제 18 기,2024.12.31 현재,"15,438,244,775",제 17 기,2023.12.31 현재,"34,841,392,093",제 16 기,2022.12.31 현재,"15,137,260,307",10,KRW
20250318000179,11011,2024,00650771,160190,OFS,재무제표,BS,재무상태표,부채총계,제 18 기,2024.12.31 현재,"53,888,623,872",제 17 기,2023.12.31 현재,"62,545,015,780",제 16 기,2022.12.31 현재,"69,149,891,628",12,KRW
20250318000179,11011,2024,00650771,160190,OFS,재무제표,BS,재무상태표,자본금,제 18 기,2024.12.31 현재,"15,444,000,000",제 17 기,2023.12.31 현재,"13,693,000,000",제 16 기,2022.12.31 현재,"29,500,000,000",15,KRW
20250318000179,11011,2024,00650771,160190,OFS,재무제표,BS,재무상태표,이익잉여금,제 18 기,2024.12.31 현재,"39,705,426,626",제 17 기,2023.12.31 현재,"41,641,812,095",제 16 기,2022.12.31 현재,"38,606,780,043",19,KRW
20250318000179,11011,2024,00650771,160190,OFS,재무제표,BS,재무상태표,자본총계,제 18 기,2024.12.31 현재,"65,580,237,381",제 17 기,2023.12.31 현재,"44,113,696,658",제 16 기,2022.12.31 현재,"41,411,516,631",22,KRW
20250318000179,11011,2024,00650771,160190,OFS,재무제표,IS,손익계산서,매출액,제 18 기,2024.01.01 ~ 2024.12.31,"75,838,866,485",제 17 기,2023.01.01 ~ 2023.12.31,"76,060,495,455",제 16 기,2022.01.01 ~ 2022.12.31,"87,051,529,624",24,KRW
20250318000179,11011,2024,00650771,160190,OFS,재무제표,IS,손익계산서,영업이익,제 18 기,2024.01.01 ~ 2024.12.31,"-312,570,570",제 17 기,2023.01.01 ~ 2023.12.31,"4,315,961,148",제 16 기,2022.01.01 ~ 2022.12.31,"4,967,483,542",26,KRW
20250318000179,11011,2024,00650771,160190,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 18 기,2024.01.01 ~ 2024.12.31,"-1,303,730,523",제 17 기,2023.01.01 ~ 2023.12.31,"2,623,988,742",제 16 기,2022.01.01 ~ 2022.12.31,"3,628,980,973",28,KRW
20250318000179,11011,2024,00650771,160190,OFS,재무제표,IS,손익계산서,당기순이익,제 18 기,2024.01.01 ~ 2024.12.31,"-990,509,616",제 17 기,2023.01.01 ~ 2023.12.31,"2,613,830,593",제 16 기,2022.01.01 ~ 2022.12.31,"3,770,343,951",30,KRW
20250318000179,11011,2024,00650771,160190,OFS,재무제표,BS,재무상태표,당기손익-공정가치측정금융자산,제 18 기,2024.12.31 현재,"3,976,424,135",제 17 기,2023.12.31 현재,0,제 16 기,2022.12.31 현재,0,36,KRW
20250318000179,11011,2024,00650771,160190,OFS,재무제표,BS,재무상태표,기타포괄손익-공정가치측정금융자산,제 18 기,2024.12.31 현재,0,제 17 기,2023.12.31 현재,0,제 16 기,2022.12.31 현재,"223,915,940",38,KRW
20250318000179,11011,2024,00650771,160190,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 18 기,2024.01.01 ~ 2024.12.31,"-990,509,616",제 17 기,2023.01.01 ~ 2023.12.31,"2,613,830,593",제 16 기,2022.01.01 ~ 2022.12.31,"3,770,343,951",62,KRW
20250318000179,11011,2024,00650771,160190,OFS,재무제표,IS,손익계산서,총포괄손익,제 18 기,2024.01.01 ~ 2024.12.31,"-1,936,385,469",제 17 기,2023.01.01 ~ 2023.12.31,"2,702,180,027",제 16 기,2022.01.01 ~ 2022.12.31,"4,296,744,245",64,KRW
