rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230315001267,11011,2022,00688358,221840,CFS,연결재무제표,BS,재무상태표,유동자산,제 22 기,2022.12.31 현재,"57,902,951,615",제 21 기,2021.12.31 현재,"75,906,478,947",제 20 기,2020.12.31 현재,"67,171,241,756",1,KRW
20230315001267,11011,2022,00688358,221840,CFS,연결재무제표,BS,재무상태표,비유동자산,제 22 기,2022.12.31 현재,"78,918,575,864",제 21 기,2021.12.31 현재,"76,300,969,212",제 20 기,2020.12.31 현재,"79,301,134,824",3,KRW
20230315001267,11011,2022,00688358,221840,CFS,연결재무제표,BS,재무상태표,자산총계,제 22 기,2022.12.31 현재,"136,821,527,479",제 21 기,2021.12.31 현재,"152,207,448,159",제 20 기,2020.12.31 현재,"146,472,376,580",5,KRW
20230315001267,11011,2022,00688358,221840,CFS,연결재무제표,BS,재무상태표,유동부채,제 22 기,2022.12.31 현재,"52,008,864,676",제 21 기,2021.12.31 현재,"52,995,916,221",제 20 기,2020.12.31 현재,"34,621,853,806",7,KRW
20230315001267,11011,2022,00688358,221840,CFS,연결재무제표,BS,재무상태표,비유동부채,제 22 기,2022.12.31 현재,"24,331,023,255",제 21 기,2021.12.31 현재,"36,501,662,192",제 20 기,2020.12.31 현재,"35,495,760,972",9,KRW
20230315001267,11011,2022,00688358,221840,CFS,연결재무제표,BS,재무상태표,부채총계,제 22 기,2022.12.31 현재,"76,339,887,931",제 21 기,2021.12.31 현재,"89,497,578,413",제 20 기,2020.12.31 현재,"70,117,614,778",11,KRW
20230315001267,11011,2022,00688358,221840,CFS,연결재무제표,BS,재무상태표,자본금,제 22 기,2022.12.31 현재,"9,350,280,500",제 21 기,2021.12.31 현재,"8,848,083,500",제 20 기,2020.12.31 현재,"8,848,083,500",13,KRW
20230315001267,11011,2022,00688358,221840,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 22 기,2022.12.31 현재,"-23,475,825,419",제 21 기,2021.12.31 현재,"-11,264,478,043",제 20 기,2020.12.31 현재,"5,755,599,843",17,KRW
20230315001267,11011,2022,00688358,221840,CFS,연결재무제표,BS,재무상태표,자본총계,제 22 기,2022.12.31 현재,"60,481,639,548",제 21 기,2021.12.31 현재,"62,709,869,746",제 20 기,2020.12.31 현재,"76,354,761,802",21,KRW
20230315001267,11011,2022,00688358,221840,CFS,연결재무제표,IS,손익계산서,매출액,제 22 기,2022.01.01 ~ 2022.12.31,"58,776,316,282",제 21 기,2021.01.01 ~ 2021.12.31,"62,580,189,936",제 20 기,2020.01.01 ~ 2020.12.31,"50,711,572,529",23,KRW
20230315001267,11011,2022,00688358,221840,CFS,연결재무제표,IS,손익계산서,영업이익,제 22 기,2022.01.01 ~ 2022.12.31,"-8,448,934,751",제 21 기,2021.01.01 ~ 2021.12.31,"-12,096,156,652",제 20 기,2020.01.01 ~ 2020.12.31,"-3,473,269,749",25,KRW
20230315001267,11011,2022,00688358,221840,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 22 기,2022.01.01 ~ 2022.12.31,"-12,182,785,318",제 21 기,2021.01.01 ~ 2021.12.31,"-18,047,759,024",제 20 기,2020.01.01 ~ 2020.12.31,"-4,366,894,168",27,KRW
20230315001267,11011,2022,00688358,221840,CFS,연결재무제표,IS,손익계산서,당기순이익,제 22 기,2022.01.01 ~ 2022.12.31,"-12,314,293,308",제 21 기,2021.01.01 ~ 2021.12.31,"-17,086,612,403",제 20 기,2020.01.01 ~ 2020.12.31,"-3,685,928,239",29,KRW
20230315001267,11011,2022,00688358,221840,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 22 기,2022.01.01 ~ 2022.12.31,"-12,314,293,308",제 21 기,2021.01.01 ~ 2021.12.31,"-17,086,612,403",제 20 기,2020.01.01 ~ 2020.12.31,"-3,685,928,239",61,KRW
20230315001267,11011,2022,00688358,221840,OFS,재무제표,BS,재무상태표,유동자산,제 22 기,2022.12.31 현재,"47,290,489,763",제 21 기,2021.12.31 현재,"58,096,668,346",제 20 기,2020.12.31 현재,"51,600,717,803",2,KRW
20230315001267,11011,2022,00688358,221840,OFS,재무제표,BS,재무상태표,비유동자산,제 22 기,2022.12.31 현재,"79,819,056,166",제 21 기,2021.12.31 현재,"76,917,528,451",제 20 기,2020.12.31 현재,"82,875,720,312",4,KRW
20230315001267,11011,2022,00688358,221840,OFS,재무제표,BS,재무상태표,자산총계,제 22 기,2022.12.31 현재,"127,109,545,929",제 21 기,2021.12.31 현재,"135,014,196,797",제 20 기,2020.12.31 현재,"134,476,438,115",6,KRW
20230315001267,11011,2022,00688358,221840,OFS,재무제표,BS,재무상태표,유동부채,제 22 기,2022.12.31 현재,"47,121,902,435",제 21 기,2021.12.31 현재,"42,180,217,702",제 20 기,2020.12.31 현재,"24,184,458,311",8,KRW
20230315001267,11011,2022,00688358,221840,OFS,재무제표,BS,재무상태표,비유동부채,제 22 기,2022.12.31 현재,"22,557,062,605",제 21 기,2021.12.31 현재,"33,912,834,999",제 20 기,2020.12.31 현재,"35,244,668,322",10,KRW
20230315001267,11011,2022,00688358,221840,OFS,재무제표,BS,재무상태표,부채총계,제 22 기,2022.12.31 현재,"69,678,965,040",제 21 기,2021.12.31 현재,"76,093,052,701",제 20 기,2020.12.31 현재,"59,429,126,633",12,KRW
20230315001267,11011,2022,00688358,221840,OFS,재무제표,BS,재무상태표,자본금,제 22 기,2022.12.31 현재,"9,350,280,500",제 21 기,2021.12.31 현재,"8,848,083,500",제 20 기,2020.12.31 현재,"8,848,083,500",15,KRW
20230315001267,11011,2022,00688358,221840,OFS,재무제표,BS,재무상태표,이익잉여금,제 22 기,2022.12.31 현재,"-24,764,915,906",제 21 기,2021.12.31 현재,"-13,385,276,869",제 20 기,2020.12.31 현재,"5,770,893,750",19,KRW
20230315001267,11011,2022,00688358,221840,OFS,재무제표,BS,재무상태표,자본총계,제 22 기,2022.12.31 현재,"57,430,580,889",제 21 기,2021.12.31 현재,"58,921,144,096",제 20 기,2020.12.31 현재,"75,047,311,482",22,KRW
20230315001267,11011,2022,00688358,221840,OFS,재무제표,IS,손익계산서,매출액,제 22 기,2022.01.01 ~ 2022.12.31,"34,349,273,237",제 21 기,2021.01.01 ~ 2021.12.31,"20,047,205,407",제 20 기,2020.01.01 ~ 2020.12.31,"29,060,543,920",24,KRW
20230315001267,11011,2022,00688358,221840,OFS,재무제표,IS,손익계산서,영업이익,제 22 기,2022.01.01 ~ 2022.12.31,"-7,835,640,401",제 21 기,2021.01.01 ~ 2021.12.31,"-11,777,305,132",제 20 기,2020.01.01 ~ 2020.12.31,"-3,554,576,193",26,KRW
