rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230324000965,11011,2022,00263371,039340,CFS,연결재무제표,BS,재무상태표,유동자산,제 24 기,2022.12.31 현재,"95,711,185,622",제 23 기,2021.12.31 현재,"114,561,110,218",제 22 기,2020.12.31 현재,"88,061,117,987",1,KRW
20230324000965,11011,2022,00263371,039340,CFS,연결재무제표,BS,재무상태표,비유동자산,제 24 기,2022.12.31 현재,"99,139,438,766",제 23 기,2021.12.31 현재,"76,238,386,557",제 22 기,2020.12.31 현재,"86,411,851,164",3,KRW
20230324000965,11011,2022,00263371,039340,CFS,연결재무제표,BS,재무상태표,자산총계,제 24 기,2022.12.31 현재,"194,850,624,388",제 23 기,2021.12.31 현재,"190,799,496,775",제 22 기,2020.12.31 현재,"174,472,969,151",5,KRW
20230324000965,11011,2022,00263371,039340,CFS,연결재무제표,BS,재무상태표,유동부채,제 24 기,2022.12.31 현재,"14,430,104,163",제 23 기,2021.12.31 현재,"32,937,259,161",제 22 기,2020.12.31 현재,"29,508,639,688",7,KRW
20230324000965,11011,2022,00263371,039340,CFS,연결재무제표,BS,재무상태표,비유동부채,제 24 기,2022.12.31 현재,"12,383,320,230",제 23 기,2021.12.31 현재,"2,867,618,670",제 22 기,2020.12.31 현재,"6,755,683,969",9,KRW
20230324000965,11011,2022,00263371,039340,CFS,연결재무제표,BS,재무상태표,부채총계,제 24 기,2022.12.31 현재,"26,813,424,393",제 23 기,2021.12.31 현재,"35,804,877,831",제 22 기,2020.12.31 현재,"36,264,323,657",11,KRW
20230324000965,11011,2022,00263371,039340,CFS,연결재무제표,BS,재무상태표,자본금,제 24 기,2022.12.31 현재,"11,500,000,000",제 23 기,2021.12.31 현재,"11,500,000,000",제 22 기,2020.12.31 현재,"11,500,000,000",13,KRW
20230324000965,11011,2022,00263371,039340,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 24 기,2022.12.31 현재,"152,635,366,246",제 23 기,2021.12.31 현재,"140,439,634,999",제 22 기,2020.12.31 현재,"119,126,239,458",17,KRW
20230324000965,11011,2022,00263371,039340,CFS,연결재무제표,BS,재무상태표,자본총계,제 24 기,2022.12.31 현재,"168,037,199,995",제 23 기,2021.12.31 현재,"154,994,618,944",제 22 기,2020.12.31 현재,"138,208,645,494",21,KRW
20230324000965,11011,2022,00263371,039340,CFS,연결재무제표,IS,손익계산서,영업이익,제 24 기,2022.01.01 ~ 2022.12.31,"8,435,826,362",제 23 기,2021.01.01 ~ 2021.12.31,"26,534,790,009",제 22 기,2020.01.01 ~ 2020.12.31,"18,182,632,881",25,KRW
20230324000965,11011,2022,00263371,039340,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 24 기,2022.01.01 ~ 2022.12.31,"15,305,334,459",제 23 기,2021.01.01 ~ 2021.12.31,"32,653,310,346",제 22 기,2020.01.01 ~ 2020.12.31,"23,692,969,859",27,KRW
20230324000965,11011,2022,00263371,039340,CFS,연결재무제표,IS,손익계산서,당기순이익,제 24 기,2022.01.01 ~ 2022.12.31,"13,807,948,422",제 23 기,2021.01.01 ~ 2021.12.31,"25,364,748,686",제 22 기,2020.01.01 ~ 2020.12.31,"19,029,711,778",29,KRW
20230324000965,11011,2022,00263371,039340,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 24 기,2022.01.01 ~ 2022.12.31,"13,807,948,422",제 23 기,2021.01.01 ~ 2021.12.31,"25,364,748,686",제 22 기,2020.01.01 ~ 2020.12.31,"19,029,711,778",61,KRW
20230324000965,11011,2022,00263371,039340,OFS,재무제표,BS,재무상태표,유동자산,제 24 기,2022.12.31 현재,"92,391,602,659",제 23 기,2021.12.31 현재,"110,691,803,353",제 22 기,2020.12.31 현재,"84,970,176,496",2,KRW
20230324000965,11011,2022,00263371,039340,OFS,재무제표,BS,재무상태표,비유동자산,제 24 기,2022.12.31 현재,"87,565,228,957",제 23 기,2021.12.31 현재,"69,616,853,723",제 22 기,2020.12.31 현재,"83,187,926,053",4,KRW
20230324000965,11011,2022,00263371,039340,OFS,재무제표,BS,재무상태표,자산총계,제 24 기,2022.12.31 현재,"179,956,831,616",제 23 기,2021.12.31 현재,"180,308,657,076",제 22 기,2020.12.31 현재,"168,158,102,549",6,KRW
