rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250320000910,11011,2024,00432102,071050,CFS,연결재무제표,BS,재무상태표,자산총계,제 23 기,2024.12.31 현재,"109,220,199,166,181",제 22 기,2023.12.31 현재,"95,901,185,591,112",제 21 기,2022.12.31 현재,"86,308,574,156,762",5,KRW
20250320000910,11011,2024,00432102,071050,CFS,연결재무제표,BS,재무상태표,부채총계,제 23 기,2024.12.31 현재,"99,485,650,231,644",제 22 기,2023.12.31 현재,"87,456,133,489,762",제 21 기,2022.12.31 현재,"78,602,833,042,174",11,KRW
20250320000910,11011,2024,00432102,071050,CFS,연결재무제표,BS,재무상태표,자본금,제 23 기,2024.12.31 현재,"307,921,215,000",제 22 기,2023.12.31 현재,"307,921,215,000",제 21 기,2022.12.31 현재,"307,921,215,000",13,KRW
20250320000910,11011,2024,00432102,071050,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 23 기,2024.12.31 현재,"8,036,084,576,765",제 22 기,2023.12.31 현재,"7,151,446,313,890",제 21 기,2022.12.31 현재,"6,579,135,208,236",17,KRW
20250320000910,11011,2024,00432102,071050,CFS,연결재무제표,BS,재무상태표,자본총계,제 23 기,2024.12.31 현재,"9,734,548,934,537",제 22 기,2023.12.31 현재,"8,445,052,101,350",제 21 기,2022.12.31 현재,"7,705,741,114,588",21,KRW
20250320000910,11011,2024,00432102,071050,CFS,연결재무제표,IS,손익계산서,매출액,제 23 기,2024.01.01 ~ 2024.12.31,"21,174,133,586,717",제 22 기,2023.01.01 ~ 2023.12.31,"20,893,370,651,649",제 21 기,2022.01.01 ~ 2022.12.31,"22,939,529,241,985",23,KRW
20250320000910,11011,2024,00432102,071050,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 23 기,2024.01.01 ~ 2024.12.31,"1,398,899,622,999",제 22 기,2023.01.01 ~ 2023.12.31,"885,815,803,293",제 21 기,2022.01.01 ~ 2022.12.31,"645,837,475,405",27,KRW
20250320000910,11011,2024,00432102,071050,CFS,연결재무제표,IS,손익계산서,당기순이익,제 23 기,2024.01.01 ~ 2024.12.31,"1,045,868,641,939",제 22 기,2023.01.01 ~ 2023.12.31,"708,063,414,580",제 21 기,2022.01.01 ~ 2022.12.31,"639,808,461,785",29,KRW
20250320000910,11011,2024,00432102,071050,CFS,연결재무제표,BS,재무상태표,예수부채,제 23 기,2024.12.31 현재,"16,138,926,598,302",제 22 기,2023.12.31 현재,"13,656,394,542,283",제 21 기,2022.12.31 현재,"13,937,969,790,018",31,KRW
20250320000910,11011,2024,00432102,071050,CFS,연결재무제표,BS,재무상태표,차입부채,제 23 기,2024.12.31 현재,"59,733,117,484,674",제 22 기,2023.12.31 현재,"52,025,622,726,728",제 21 기,2022.12.31 현재,"41,795,900,188,041",33,KRW
20250320000910,11011,2024,00432102,071050,CFS,연결재무제표,BS,재무상태표,당기손익-공정가치측정금융자산,제 23 기,2024.12.31 현재,"62,625,429,237,580",제 22 기,2023.12.31 현재,"51,806,877,794,997",제 21 기,2022.12.31 현재,"39,763,446,591,322",35,KRW
20250320000910,11011,2024,00432102,071050,CFS,연결재무제표,BS,재무상태표,기타포괄손익-공정가치측정금융자산,제 23 기,2024.12.31 현재,"2,361,720,760,351",제 22 기,2023.12.31 현재,"5,182,644,441,702",제 21 기,2022.12.31 현재,"3,928,504,634,839",37,KRW
