rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250320000427,11011,2024,00579139,222980,CFS,연결재무제표,BS,재무상태표,유동자산,제 28 기,2024.12.31 현재,"45,058,463,081",제 27 기,2023.12.31 현재,"45,968,215,335",제 26 기,2022.12.31 현재,"50,632,048,004",1,KRW
20250320000427,11011,2024,00579139,222980,CFS,연결재무제표,BS,재무상태표,비유동자산,제 28 기,2024.12.31 현재,"36,259,123,000",제 27 기,2023.12.31 현재,"38,534,567,855",제 26 기,2022.12.31 현재,"38,588,572,852",3,KRW
20250320000427,11011,2024,00579139,222980,CFS,연결재무제표,BS,재무상태표,자산총계,제 28 기,2024.12.31 현재,"81,317,586,081",제 27 기,2023.12.31 현재,"84,502,783,190",제 26 기,2022.12.31 현재,"89,220,620,856",5,KRW
20250320000427,11011,2024,00579139,222980,CFS,연결재무제표,BS,재무상태표,유동부채,제 28 기,2024.12.31 현재,"34,443,995,610",제 27 기,2023.12.31 현재,"40,350,842,561",제 26 기,2022.12.31 현재,"32,378,600,226",7,KRW
20250320000427,11011,2024,00579139,222980,CFS,연결재무제표,BS,재무상태표,비유동부채,제 28 기,2024.12.31 현재,"8,668,415,437",제 27 기,2023.12.31 현재,"6,638,482,790",제 26 기,2022.12.31 현재,"15,302,558,489",9,KRW
20250320000427,11011,2024,00579139,222980,CFS,연결재무제표,BS,재무상태표,부채총계,제 28 기,2024.12.31 현재,"43,112,411,047",제 27 기,2023.12.31 현재,"46,989,325,351",제 26 기,2022.12.31 현재,"47,681,158,715",11,KRW
20250320000427,11011,2024,00579139,222980,CFS,연결재무제표,BS,재무상태표,자본금,제 28 기,2024.12.31 현재,"5,515,741,500",제 27 기,2023.12.31 현재,"5,515,741,500",제 26 기,2022.12.31 현재,"5,515,741,500",13,KRW
20250320000427,11011,2024,00579139,222980,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 28 기,2024.12.31 현재,"16,620,900,421",제 27 기,2023.12.31 현재,"16,645,231,029",제 26 기,2022.12.31 현재,"20,047,416,130",17,KRW
20250320000427,11011,2024,00579139,222980,CFS,연결재무제표,BS,재무상태표,자본총계,제 28 기,2024.12.31 현재,"38,205,175,034",제 27 기,2023.12.31 현재,"37,513,457,839",제 26 기,2022.12.31 현재,"41,539,462,141",21,KRW
20250320000427,11011,2024,00579139,222980,CFS,연결재무제표,IS,손익계산서,매출액,제 28 기,2024.01.01 ~ 2024.12.31,"88,832,089,424",제 27 기,2023.01.01 ~ 2023.12.31,"78,399,918,458",제 26 기,2022.01.01 ~ 2022.12.31,"70,214,592,825",23,KRW
20250320000427,11011,2024,00579139,222980,CFS,연결재무제표,IS,손익계산서,영업이익,제 28 기,2024.01.01 ~ 2024.12.31,"571,296,895",제 27 기,2023.01.01 ~ 2023.12.31,"-4,185,981,235",제 26 기,2022.01.01 ~ 2022.12.31,"-669,783,264",25,KRW
20250320000427,11011,2024,00579139,222980,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 28 기,2024.01.01 ~ 2024.12.31,"-174,953,944",제 27 기,2023.01.01 ~ 2023.12.31,"-4,462,035,733",제 26 기,2022.01.01 ~ 2022.12.31,"-2,814,070,238",27,KRW
20250320000427,11011,2024,00579139,222980,CFS,연결재무제표,IS,손익계산서,당기순이익,제 28 기,2024.01.01 ~ 2024.12.31,"-351,697,655",제 27 기,2023.01.01 ~ 2023.12.31,"-4,307,130,117",제 26 기,2022.01.01 ~ 2022.12.31,"-3,016,716,177",29,KRW
20250320000427,11011,2024,00579139,222980,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 28 기,2024.01.01 ~ 2024.12.31,"-351,697,655",제 27 기,2023.01.01 ~ 2023.12.31,"-4,307,130,117",제 26 기,2022.01.01 ~ 2022.12.31,"-3,016,716,177",61,KRW
20250320000427,11011,2024,00579139,222980,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 28 기,2024.01.01 ~ 2024.12.31,"-445,845,285",제 27 기,2023.01.01 ~ 2023.12.31,"-4,306,004,257",제 26 기,2022.01.01 ~ 2022.12.31,"-2,968,300,878",63,KRW
20250320000427,11011,2024,00579139,222980,OFS,재무제표,BS,재무상태표,유동자산,제 28 기,2024.12.31 현재,"33,098,991,580",제 27 기,2023.12.31 현재,"33,263,045,122",제 26 기,2022.12.31 현재,"35,728,921,361",2,KRW
20250320000427,11011,2024,00579139,222980,OFS,재무제표,BS,재무상태표,비유동자산,제 28 기,2024.12.31 현재,"33,827,534,853",제 27 기,2023.12.31 현재,"35,721,477,268",제 26 기,2022.12.31 현재,"35,489,508,647",4,KRW
20250320000427,11011,2024,00579139,222980,OFS,재무제표,BS,재무상태표,자산총계,제 28 기,2024.12.31 현재,"66,926,526,433",제 27 기,2023.12.31 현재,"68,984,522,390",제 26 기,2022.12.31 현재,"71,218,430,008",6,KRW
20250320000427,11011,2024,00579139,222980,OFS,재무제표,BS,재무상태표,유동부채,제 28 기,2024.12.31 현재,"18,026,574,773",제 27 기,2023.12.31 현재,"26,615,172,978",제 26 기,2022.12.31 현재,"20,101,159,338",8,KRW
20250320000427,11011,2024,00579139,222980,OFS,재무제표,BS,재무상태표,비유동부채,제 28 기,2024.12.31 현재,"8,084,133,882",제 27 기,2023.12.31 현재,"3,506,355,957",제 26 기,2022.12.31 현재,"11,720,131,176",10,KRW
20250320000427,11011,2024,00579139,222980,OFS,재무제표,BS,재무상태표,부채총계,제 28 기,2024.12.31 현재,"26,110,708,655",제 27 기,2023.12.31 현재,"30,121,528,935",제 26 기,2022.12.31 현재,"31,821,290,514",12,KRW
20250320000427,11011,2024,00579139,222980,OFS,재무제표,BS,재무상태표,자본금,제 28 기,2024.12.31 현재,"5,515,741,500",제 27 기,2023.12.31 현재,"5,515,741,500",제 26 기,2022.12.31 현재,"5,515,741,500",15,KRW
20250320000427,11011,2024,00579139,222980,OFS,재무제표,BS,재무상태표,이익잉여금,제 28 기,2024.12.31 현재,"22,890,708,412",제 27 기,2023.12.31 현재,"21,776,090,329",제 26 기,2022.12.31 현재,"22,310,236,368",19,KRW
20250320000427,11011,2024,00579139,222980,OFS,재무제표,BS,재무상태표,자본총계,제 28 기,2024.12.31 현재,"40,815,817,778",제 27 기,2023.12.31 현재,"38,862,993,455",제 26 기,2022.12.31 현재,"39,397,139,494",22,KRW
20250320000427,11011,2024,00579139,222980,OFS,재무제표,IS,손익계산서,매출액,제 28 기,2024.01.01 ~ 2024.12.31,"49,641,869,503",제 27 기,2023.01.01 ~ 2023.12.31,"44,102,710,248",제 26 기,2022.01.01 ~ 2022.12.31,"40,950,966,583",24,KRW
20250320000427,11011,2024,00579139,222980,OFS,재무제표,IS,손익계산서,영업이익,제 28 기,2024.01.01 ~ 2024.12.31,"1,641,167,056",제 27 기,2023.01.01 ~ 2023.12.31,"-916,445,525",제 26 기,2022.01.01 ~ 2022.12.31,"234,335,586",26,KRW
20250320000427,11011,2024,00579139,222980,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 28 기,2024.01.01 ~ 2024.12.31,"1,555,084,389",제 27 기,2023.01.01 ~ 2023.12.31,"-653,548,936",제 26 기,2022.01.01 ~ 2022.12.31,"-1,594,897,099",28,KRW
20250320000427,11011,2024,00579139,222980,OFS,재무제표,IS,손익계산서,당기순이익,제 28 기,2024.01.01 ~ 2024.12.31,"1,225,229,503",제 27 기,2023.01.01 ~ 2023.12.31,"-535,083,860",제 26 기,2022.01.01 ~ 2022.12.31,"-1,536,515,468",30,KRW
20250320000427,11011,2024,00579139,222980,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 28 기,2024.01.01 ~ 2024.12.31,"1,225,229,503",제 27 기,2023.01.01 ~ 2023.12.31,"-535,083,860",제 26 기,2022.01.01 ~ 2022.12.31,"-1,536,515,468",62,KRW
20250320000427,11011,2024,00579139,222980,OFS,재무제표,IS,손익계산서,총포괄손익,제 28 기,2024.01.01 ~ 2024.12.31,"1,114,618,083",제 27 기,2023.01.01 ~ 2023.12.31,"-534,146,039",제 26 기,2022.01.01 ~ 2022.12.31,"-1,487,839,406",64,KRW
