rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250320000894,11011,2024,00261957,039740,CFS,연결재무제표,BS,재무상태표,유동자산,제 35 기,2024.12.31 현재,"50,605,699,524",제 34 기,2023.12.31 현재,"39,366,285,224",제 33 기,2022.12.31 현재,"47,799,517,966",1,KRW
20250320000894,11011,2024,00261957,039740,CFS,연결재무제표,BS,재무상태표,비유동자산,제 35 기,2024.12.31 현재,"38,993,228,533",제 34 기,2023.12.31 현재,"36,200,537,050",제 33 기,2022.12.31 현재,"33,526,935,714",3,KRW
20250320000894,11011,2024,00261957,039740,CFS,연결재무제표,BS,재무상태표,자산총계,제 35 기,2024.12.31 현재,"89,598,928,057",제 34 기,2023.12.31 현재,"75,566,822,274",제 33 기,2022.12.31 현재,"81,326,453,680",5,KRW
20250320000894,11011,2024,00261957,039740,CFS,연결재무제표,BS,재무상태표,유동부채,제 35 기,2024.12.31 현재,"32,832,334,200",제 34 기,2023.12.31 현재,"23,141,364,308",제 33 기,2022.12.31 현재,"30,943,202,996",7,KRW
20250320000894,11011,2024,00261957,039740,CFS,연결재무제표,BS,재무상태표,비유동부채,제 35 기,2024.12.31 현재,"6,026,731,766",제 34 기,2023.12.31 현재,"4,999,204,149",제 33 기,2022.12.31 현재,"5,259,594,495",9,KRW
20250320000894,11011,2024,00261957,039740,CFS,연결재무제표,BS,재무상태표,부채총계,제 35 기,2024.12.31 현재,"38,859,065,966",제 34 기,2023.12.31 현재,"28,140,568,457",제 33 기,2022.12.31 현재,"36,202,797,491",11,KRW
20250320000894,11011,2024,00261957,039740,CFS,연결재무제표,BS,재무상태표,자본금,제 35 기,2024.12.31 현재,"4,009,198,500",제 34 기,2023.12.31 현재,"4,009,198,500",제 33 기,2022.12.31 현재,"4,009,198,500",13,KRW
20250320000894,11011,2024,00261957,039740,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 35 기,2024.12.31 현재,"12,877,903,102",제 34 기,2023.12.31 현재,"9,416,778,377",제 33 기,2022.12.31 현재,"7,482,277,909",17,KRW
20250320000894,11011,2024,00261957,039740,CFS,연결재무제표,BS,재무상태표,자본총계,제 35 기,2024.12.31 현재,"50,739,862,091",제 34 기,2023.12.31 현재,"47,426,253,817",제 33 기,2022.12.31 현재,"45,123,656,189",21,KRW
20250320000894,11011,2024,00261957,039740,CFS,연결재무제표,IS,손익계산서,매출액,제 35 기,2024.01.01 ~ 2024.12.31,"194,097,605,759",제 34 기,2023.01.01 ~ 2023.12.31,"115,565,226,996",제 33 기,2022.01.01 ~ 2022.12.31,"105,375,235,088",23,KRW
