rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240314001347,11011,2023,00159342,025770,CFS,연결재무제표,BS,재무상태표,유동자산,제 38 기,2023.12.31 현재,"357,122,003,000",제 37 기,2022.12.31 현재,"312,308,264,000",제 36 기,2021.12.31 현재,"315,520,300,000",1,KRW
20240314001347,11011,2023,00159342,025770,CFS,연결재무제표,BS,재무상태표,비유동자산,제 38 기,2023.12.31 현재,"85,647,885,000",제 37 기,2022.12.31 현재,"88,124,137,000",제 36 기,2021.12.31 현재,"84,058,662,000",3,KRW
20240314001347,11011,2023,00159342,025770,CFS,연결재무제표,BS,재무상태표,자산총계,제 38 기,2023.12.31 현재,"442,769,888,000",제 37 기,2022.12.31 현재,"400,432,401,000",제 36 기,2021.12.31 현재,"399,578,962,000",5,KRW
20240314001347,11011,2023,00159342,025770,CFS,연결재무제표,BS,재무상태표,유동부채,제 38 기,2023.12.31 현재,"167,189,930,000",제 37 기,2022.12.31 현재,"148,143,804,000",제 36 기,2021.12.31 현재,"169,062,186,000",7,KRW
20240314001347,11011,2023,00159342,025770,CFS,연결재무제표,BS,재무상태표,비유동부채,제 38 기,2023.12.31 현재,"4,356,257,000",제 37 기,2022.12.31 현재,"7,918,121,000",제 36 기,2021.12.31 현재,"9,948,108,000",9,KRW
20240314001347,11011,2023,00159342,025770,CFS,연결재무제표,BS,재무상태표,부채총계,제 38 기,2023.12.31 현재,"171,546,187,000",제 37 기,2022.12.31 현재,"156,061,925,000",제 36 기,2021.12.31 현재,"179,010,294,000",11,KRW
20240314001347,11011,2023,00159342,025770,CFS,연결재무제표,BS,재무상태표,자본금,제 38 기,2023.12.31 현재,"19,406,372,000",제 37 기,2022.12.31 현재,"19,406,372,000",제 36 기,2021.12.31 현재,"19,406,372,000",13,KRW
20240314001347,11011,2023,00159342,025770,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 38 기,2023.12.31 현재,"243,771,236,000",제 37 기,2022.12.31 현재,"214,730,788,000",제 36 기,2021.12.31 현재,"191,929,231,000",17,KRW
20240314001347,11011,2023,00159342,025770,CFS,연결재무제표,BS,재무상태표,자본총계,제 38 기,2023.12.31 현재,"271,223,701,000",제 37 기,2022.12.31 현재,"244,370,476,000",제 36 기,2021.12.31 현재,"220,568,668,000",21,KRW
20240314001347,11011,2023,00159342,025770,CFS,연결재무제표,IS,손익계산서,매출액,제 38 기,2023.01.01 ~ 2023.12.31,"725,118,196,000",제 37 기,2022.01.01 ~ 2022.12.31,"595,450,481,000",제 36 기,2021.01.01 ~ 2021.12.31,"540,243,819,000",23,KRW
