rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250318001056,11011,2024,00233653,034830,CFS,연결재무제표,BS,재무상태표,자산총계,제 29 기,2024.12.31 현재,"1,832,131,544,809",제 28 기,2023.12.31 현재,"1,886,596,466,085",제 27 기,2022.12.31 현재,"1,718,070,655,624",5,KRW
20250318001056,11011,2024,00233653,034830,CFS,연결재무제표,BS,재무상태표,부채총계,제 29 기,2024.12.31 현재,"873,901,304,679",제 28 기,2023.12.31 현재,"879,258,531,337",제 27 기,2022.12.31 현재,"693,138,220,332",11,KRW
20250318001056,11011,2024,00233653,034830,CFS,연결재무제표,BS,재무상태표,자본금,제 29 기,2024.12.31 현재,"252,489,230,000",제 28 기,2023.12.31 현재,"252,489,230,000",제 27 기,2022.12.31 현재,"252,489,230,000",13,KRW
20250318001056,11011,2024,00233653,034830,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 29 기,2024.12.31 현재,"814,067,840,244",제 28 기,2023.12.31 현재,"845,185,877,064",제 27 기,2022.12.31 현재,"872,776,495,014",17,KRW
20250318001056,11011,2024,00233653,034830,CFS,연결재무제표,BS,재무상태표,자본총계,제 29 기,2024.12.31 현재,"958,230,240,130",제 28 기,2023.12.31 현재,"1,007,337,934,748",제 27 기,2022.12.31 현재,"1,024,932,435,292",21,KRW
20250318001056,11011,2024,00233653,034830,CFS,연결재무제표,IS,손익계산서,매출액,제 29 기,2024.01.01 ~ 2024.12.31,"236,337,804,592",제 28 기,2023.01.01 ~ 2023.12.31,"270,086,082,704",제 27 기,2022.01.01 ~ 2022.12.31,"212,858,233,033",23,KRW
20250318001056,11011,2024,00233653,034830,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 29 기,2024.01.01 ~ 2024.12.31,"-26,417,181,087",제 28 기,2023.01.01 ~ 2023.12.31,"-9,545,271,603",제 27 기,2022.01.01 ~ 2022.12.31,"31,236,932,062",27,KRW
20250318001056,11011,2024,00233653,034830,CFS,연결재무제표,IS,손익계산서,당기순이익,제 29 기,2024.01.01 ~ 2024.12.31,"-18,860,386,903",제 28 기,2023.01.01 ~ 2023.12.31,"-7,659,608,662",제 27 기,2022.01.01 ~ 2022.12.31,"24,325,037,981",29,KRW
20250318001056,11011,2024,00233653,034830,CFS,연결재무제표,BS,재무상태표,차입부채,제 29 기,2024.12.31 현재,"659,375,526,285",제 28 기,2023.12.31 현재,"674,145,625,997",제 27 기,2022.12.31 현재,"498,453,441,626",33,KRW
20250318001056,11011,2024,00233653,034830,CFS,연결재무제표,BS,재무상태표,당기손익-공정가치측정금융자산,제 29 기,2024.12.31 현재,"205,623,699,263",제 28 기,2023.12.31 현재,"221,282,987,962",제 27 기,2022.12.31 현재,"244,233,221,203",35,KRW
