rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240319000649,11011,2023,00828497,128940,CFS,연결재무제표,BS,재무상태표,유동자산,제 14 기,2023.12.31 현재,"730,623,667,543",제 13 기,2022.12.31 현재,"694,158,250,909",제 12 기,2021.12.31 현재,"703,961,594,241",1,KRW
20240319000649,11011,2023,00828497,128940,CFS,연결재무제표,BS,재무상태표,비유동자산,제 14 기,2023.12.31 현재,"1,168,044,708,425",제 13 기,2022.12.31 현재,"1,230,427,479,929",제 12 기,2021.12.31 현재,"1,232,767,093,053",3,KRW
20240319000649,11011,2023,00828497,128940,CFS,연결재무제표,BS,재무상태표,자산총계,제 14 기,2023.12.31 현재,"1,898,668,375,968",제 13 기,2022.12.31 현재,"1,924,585,730,838",제 12 기,2021.12.31 현재,"1,936,728,687,294",5,KRW
20240319000649,11011,2023,00828497,128940,CFS,연결재무제표,BS,재무상태표,유동부채,제 14 기,2023.12.31 현재,"704,762,991,483",제 13 기,2022.12.31 현재,"676,748,302,732",제 12 기,2021.12.31 현재,"648,938,236,072",7,KRW
20240319000649,11011,2023,00828497,128940,CFS,연결재무제표,BS,재무상태표,비유동부채,제 14 기,2023.12.31 현재,"93,694,740,330",제 13 기,2022.12.31 현재,"238,610,746,023",제 12 기,2021.12.31 현재,"359,531,042,457",9,KRW
20240319000649,11011,2023,00828497,128940,CFS,연결재무제표,BS,재무상태표,부채총계,제 14 기,2023.12.31 현재,"798,457,731,813",제 13 기,2022.12.31 현재,"915,359,048,755",제 12 기,2021.12.31 현재,"1,008,469,278,529",11,KRW
20240319000649,11011,2023,00828497,128940,CFS,연결재무제표,BS,재무상태표,자본금,제 14 기,2023.12.31 현재,"31,405,395,000",제 13 기,2022.12.31 현재,"30,794,927,500",제 12 기,2021.12.31 현재,"30,195,705,000",13,KRW
20240319000649,11011,2023,00828497,128940,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 14 기,2023.12.31 현재,"581,978,729,520",제 13 기,2022.12.31 현재,"452,297,474,680",제 12 기,2021.12.31 현재,"396,915,857,788",17,KRW
20240319000649,11011,2023,00828497,128940,CFS,연결재무제표,BS,재무상태표,자본총계,제 14 기,2023.12.31 현재,"1,100,210,644,155",제 13 기,2022.12.31 현재,"1,009,226,682,083",제 12 기,2021.12.31 현재,"928,259,408,765",21,KRW
20240319000649,11011,2023,00828497,128940,CFS,연결재무제표,IS,손익계산서,매출액,제 14 기,2023.01.01 ~ 2023.12.31,"1,490,887,463,726",제 13 기,2022.01.01 ~ 2022.12.31,"1,331,546,600,126",제 12 기,2021.01.01 ~ 2021.12.31,"1,203,185,652,812",23,KRW
20240319000649,11011,2023,00828497,128940,CFS,연결재무제표,IS,손익계산서,영업이익,제 14 기,2023.01.01 ~ 2023.12.31,"220,691,065,020",제 13 기,2022.01.01 ~ 2022.12.31,"158,090,311,455",제 12 기,2021.01.01 ~ 2021.12.31,"125,415,874,751",25,KRW
20240319000649,11011,2023,00828497,128940,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 14 기,2023.01.01 ~ 2023.12.31,"193,966,773,655",제 13 기,2022.01.01 ~ 2022.12.31,"121,012,526,736",제 12 기,2021.01.01 ~ 2021.12.31,"103,696,520,580",27,KRW
20240319000649,11011,2023,00828497,128940,CFS,연결재무제표,IS,손익계산서,당기순이익,제 14 기,2023.01.01 ~ 2023.12.31,"165,366,177,835",제 13 기,2022.01.01 ~ 2022.12.31,"101,558,192,480",제 12 기,2021.01.01 ~ 2021.12.31,"81,478,223,722",29,KRW
20240319000649,11011,2023,00828497,128940,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 14 기,2023.01.01 ~ 2023.12.31,"165,366,177,835",제 13 기,2022.01.01 ~ 2022.12.31,"101,558,192,480",제 12 기,2021.01.01 ~ 2021.12.31,"81,478,223,722",61,KRW
20240319000649,11011,2023,00828497,128940,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 14 기,2023.01.01 ~ 2023.12.31,"110,652,386,096",제 13 기,2022.01.01 ~ 2022.12.31,"94,800,962,788",제 12 기,2021.01.01 ~ 2021.12.31,"107,124,804,713",63,KRW
20240319000649,11011,2023,00828497,128940,OFS,재무제표,BS,재무상태표,유동자산,제 14 기,2023.12.31 현재,"308,540,894,002",제 13 기,2022.12.31 현재,"306,461,630,641",제 12 기,2021.12.31 현재,"348,330,723,115",2,KRW
20240319000649,11011,2023,00828497,128940,OFS,재무제표,BS,재무상태표,비유동자산,제 14 기,2023.12.31 현재,"1,021,928,318,134",제 13 기,2022.12.31 현재,"1,092,832,152,345",제 12 기,2021.12.31 현재,"1,109,917,450,261",4,KRW
20240319000649,11011,2023,00828497,128940,OFS,재무제표,BS,재무상태표,자산총계,제 14 기,2023.12.31 현재,"1,330,469,212,136",제 13 기,2022.12.31 현재,"1,399,293,782,986",제 12 기,2021.12.31 현재,"1,458,248,173,376",6,KRW
20240319000649,11011,2023,00828497,128940,OFS,재무제표,BS,재무상태표,유동부채,제 14 기,2023.12.31 현재,"612,054,409,271",제 13 기,2022.12.31 현재,"596,739,981,280",제 12 기,2021.12.31 현재,"569,011,167,628",8,KRW
