rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250310000865,11011,2024,00140955,014680,CFS,연결재무제표,BS,재무상태표,유동자산,제 45 기,2024.12.31 현재,"348,048,080,154",제 44 기,2023.12.31 현재,"367,414,633,780",제 43 기,2022.12.31 현재,"386,120,253,270",1,KRW
20250310000865,11011,2024,00140955,014680,CFS,연결재무제표,BS,재무상태표,비유동자산,제 45 기,2024.12.31 현재,"1,116,630,737,005",제 44 기,2023.12.31 현재,"983,565,029,361",제 43 기,2022.12.31 현재,"867,190,349,366",3,KRW
20250310000865,11011,2024,00140955,014680,CFS,연결재무제표,BS,재무상태표,자산총계,제 45 기,2024.12.31 현재,"1,464,678,817,159",제 44 기,2023.12.31 현재,"1,350,979,663,141",제 43 기,2022.12.31 현재,"1,253,310,602,636",5,KRW
20250310000865,11011,2024,00140955,014680,CFS,연결재무제표,BS,재무상태표,유동부채,제 45 기,2024.12.31 현재,"272,370,414,176",제 44 기,2023.12.31 현재,"247,816,973,238",제 43 기,2022.12.31 현재,"153,669,789,765",7,KRW
20250310000865,11011,2024,00140955,014680,CFS,연결재무제표,BS,재무상태표,비유동부채,제 45 기,2024.12.31 현재,"120,864,699,939",제 44 기,2023.12.31 현재,"161,675,236,597",제 43 기,2022.12.31 현재,"247,144,224,461",9,KRW
20250310000865,11011,2024,00140955,014680,CFS,연결재무제표,BS,재무상태표,부채총계,제 45 기,2024.12.31 현재,"393,235,114,115",제 44 기,2023.12.31 현재,"409,492,209,835",제 43 기,2022.12.31 현재,"400,814,014,226",11,KRW
20250310000865,11011,2024,00140955,014680,CFS,연결재무제표,BS,재무상태표,자본금,제 45 기,2024.12.31 현재,"56,675,975,000",제 44 기,2023.12.31 현재,"56,675,975,000",제 43 기,2022.12.31 현재,"56,675,975,000",13,KRW
20250310000865,11011,2024,00140955,014680,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 45 기,2024.12.31 현재,"908,748,838,980",제 44 기,2023.12.31 현재,"811,266,523,759",제 43 기,2022.12.31 현재,"733,897,019,185",17,KRW
20250310000865,11011,2024,00140955,014680,CFS,연결재무제표,BS,재무상태표,자본총계,제 45 기,2024.12.31 현재,"1,071,443,703,044",제 44 기,2023.12.31 현재,"941,487,453,306",제 43 기,2022.12.31 현재,"852,496,588,410",21,KRW
20250310000865,11011,2024,00140955,014680,CFS,연결재무제표,IS,손익계산서,매출액,제 45 기,2024.01.01 ~ 2024.12.31,"776,356,975,793",제 44 기,2023.01.01 ~ 2023.12.31,"771,654,641,559",제 43 기,2022.01.01 ~ 2022.12.31,"885,470,791,861",23,KRW
20250310000865,11011,2024,00140955,014680,CFS,연결재무제표,IS,손익계산서,영업이익,제 45 기,2024.01.01 ~ 2024.12.31,"128,825,376,120",제 44 기,2023.01.01 ~ 2023.12.31,"124,144,351,473",제 43 기,2022.01.01 ~ 2022.12.31,"185,990,108,464",25,KRW
20250310000865,11011,2024,00140955,014680,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 45 기,2024.01.01 ~ 2024.12.31,"147,773,312,552",제 44 기,2023.01.01 ~ 2023.12.31,"135,592,435,927",제 43 기,2022.01.01 ~ 2022.12.31,"194,237,859,330",27,KRW
20250310000865,11011,2024,00140955,014680,CFS,연결재무제표,IS,손익계산서,당기순이익,제 45 기,2024.01.01 ~ 2024.12.31,"124,893,890,949",제 44 기,2023.01.01 ~ 2023.12.31,"108,690,123,238",제 43 기,2022.01.01 ~ 2022.12.31,"166,977,755,320",29,KRW
20250310000865,11011,2024,00140955,014680,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 45 기,2024.01.01 ~ 2024.12.31,"124,893,890,949",제 44 기,2023.01.01 ~ 2023.12.31,"108,690,123,238",제 43 기,2022.01.01 ~ 2022.12.31,"166,977,755,320",61,KRW
20250310000865,11011,2024,00140955,014680,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 45 기,2024.01.01 ~ 2024.12.31,"126,939,174,776",제 44 기,2023.01.01 ~ 2023.12.31,"103,052,775,345",제 43 기,2022.01.01 ~ 2022.12.31,"166,550,963,646",63,KRW
20250310000865,11011,2024,00140955,014680,OFS,재무제표,BS,재무상태표,유동자산,제 45 기,2024.12.31 현재,"252,869,686,700",제 44 기,2023.12.31 현재,"262,465,492,779",제 43 기,2022.12.31 현재,"252,085,443,307",2,KRW
20250310000865,11011,2024,00140955,014680,OFS,재무제표,BS,재무상태표,비유동자산,제 45 기,2024.12.31 현재,"899,874,931,776",제 44 기,2023.12.31 현재,"815,098,663,763",제 43 기,2022.12.31 현재,"716,931,524,317",4,KRW
20250310000865,11011,2024,00140955,014680,OFS,재무제표,BS,재무상태표,자산총계,제 45 기,2024.12.31 현재,"1,152,744,618,476",제 44 기,2023.12.31 현재,"1,077,564,156,542",제 43 기,2022.12.31 현재,"969,016,967,624",6,KRW
20250310000865,11011,2024,00140955,014680,OFS,재무제표,BS,재무상태표,유동부채,제 45 기,2024.12.31 현재,"216,776,308,262",제 44 기,2023.12.31 현재,"183,536,282,489",제 43 기,2022.12.31 현재,"102,165,057,578",8,KRW
20250310000865,11011,2024,00140955,014680,OFS,재무제표,BS,재무상태표,비유동부채,제 45 기,2024.12.31 현재,"90,930,661,704",제 44 기,2023.12.31 현재,"145,979,903,284",제 43 기,2022.12.31 현재,"216,524,024,771",10,KRW
20250310000865,11011,2024,00140955,014680,OFS,재무제표,BS,재무상태표,부채총계,제 45 기,2024.12.31 현재,"307,706,969,966",제 44 기,2023.12.31 현재,"329,516,185,773",제 43 기,2022.12.31 현재,"318,689,082,349",12,KRW
20250310000865,11011,2024,00140955,014680,OFS,재무제표,BS,재무상태표,자본금,제 45 기,2024.12.31 현재,"56,675,975,000",제 44 기,2023.12.31 현재,"56,675,975,000",제 43 기,2022.12.31 현재,"56,675,975,000",15,KRW
20250310000865,11011,2024,00140955,014680,OFS,재무제표,BS,재무상태표,이익잉여금,제 45 기,2024.12.31 현재,"784,086,686,353",제 44 기,2023.12.31 현재,"713,339,898,811",제 43 기,2022.12.31 현재,"620,532,719,135",19,KRW
20250310000865,11011,2024,00140955,014680,OFS,재무제표,BS,재무상태표,자본총계,제 45 기,2024.12.31 현재,"845,037,648,510",제 44 기,2023.12.31 현재,"748,047,970,769",제 43 기,2022.12.31 현재,"650,327,885,275",22,KRW
