rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20241219000524,11011,2024,00349060,042520,CFS,연결재무제표,BS,재무상태표,유동자산,제 26 기,2024.09.30 현재,"49,707,049,182",제 25 기,2023.09.30 현재,"50,392,855,126",제 24 기,2022.09.30 현재,"54,371,071,482",1,KRW
20241219000524,11011,2024,00349060,042520,CFS,연결재무제표,BS,재무상태표,비유동자산,제 26 기,2024.09.30 현재,"72,008,390,541",제 25 기,2023.09.30 현재,"71,975,102,597",제 24 기,2022.09.30 현재,"77,315,134,609",3,KRW
20241219000524,11011,2024,00349060,042520,CFS,연결재무제표,BS,재무상태표,자산총계,제 26 기,2024.09.30 현재,"121,715,439,723",제 25 기,2023.09.30 현재,"122,367,957,723",제 24 기,2022.09.30 현재,"131,686,206,091",5,KRW
20241219000524,11011,2024,00349060,042520,CFS,연결재무제표,BS,재무상태표,유동부채,제 26 기,2024.09.30 현재,"50,092,356,907",제 25 기,2023.09.30 현재,"65,252,588,097",제 24 기,2022.09.30 현재,"74,443,342,362",7,KRW
20241219000524,11011,2024,00349060,042520,CFS,연결재무제표,BS,재무상태표,비유동부채,제 26 기,2024.09.30 현재,"4,500,642,331",제 25 기,2023.09.30 현재,"7,166,438,737",제 24 기,2022.09.30 현재,"9,787,864,041",9,KRW
20241219000524,11011,2024,00349060,042520,CFS,연결재무제표,BS,재무상태표,부채총계,제 26 기,2024.09.30 현재,"54,592,999,238",제 25 기,2023.09.30 현재,"72,419,026,834",제 24 기,2022.09.30 현재,"84,231,206,403",11,KRW
20241219000524,11011,2024,00349060,042520,CFS,연결재무제표,BS,재무상태표,자본금,제 26 기,2024.09.30 현재,"6,763,183,500",제 25 기,2023.09.30 현재,"6,058,032,000",제 24 기,2022.09.30 현재,"5,051,490,500",13,KRW
20241219000524,11011,2024,00349060,042520,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 26 기,2024.09.30 현재,"-14,981,821,788",제 25 기,2023.09.30 현재,"-7,758,890,010",제 24 기,2022.09.30 현재,"15,285,789,340",17,KRW
20241219000524,11011,2024,00349060,042520,CFS,연결재무제표,BS,재무상태표,자본총계,제 26 기,2024.09.30 현재,"67,122,440,485",제 25 기,2023.09.30 현재,"49,948,930,889",제 24 기,2022.09.30 현재,"47,454,999,688",21,KRW
20241219000524,11011,2024,00349060,042520,CFS,연결재무제표,IS,손익계산서,매출액,제 26 기,2023.10.01 ~ 2024.09.30,"81,137,434,056",제 25 기,2022.10.01 ~ 2023.09.30,"78,032,037,342",제 24 기,2021.10.01 ~ 2022.09.30,"74,458,999,045",23,KRW
20241219000524,11011,2024,00349060,042520,CFS,연결재무제표,IS,손익계산서,영업이익,제 26 기,2023.10.01 ~ 2024.09.30,"625,600,334",제 25 기,2022.10.01 ~ 2023.09.30,"-4,154,876,285",제 24 기,2021.10.01 ~ 2022.09.30,"1,292,765,426",25,KRW
20241219000524,11011,2024,00349060,042520,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 26 기,2023.10.01 ~ 2024.09.30,"-6,630,861,053",제 25 기,2022.10.01 ~ 2023.09.30,"-23,532,130,239",제 24 기,2021.10.01 ~ 2022.09.30,"3,501,402,406",27,KRW
20241219000524,11011,2024,00349060,042520,CFS,연결재무제표,IS,손익계산서,당기순이익,제 26 기,2023.10.01 ~ 2024.09.30,"-7,799,704,239",제 25 기,2022.10.01 ~ 2023.09.30,"-24,091,716,023",제 24 기,2021.10.01 ~ 2022.09.30,"4,922,704,606",29,KRW
20241219000524,11011,2024,00349060,042520,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 26 기,2023.10.01 ~ 2024.09.30,"-7,799,704,239",제 25 기,2022.10.01 ~ 2023.09.30,"-24,091,716,023",제 24 기,2021.10.01 ~ 2022.09.30,"4,922,704,606",61,KRW
