rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250321002000,11011,2024,00560122,091440,CFS,연결재무제표,BS,재무상태표,유동자산,제 25 기,2024.12.31 현재,"43,346,292,135",제 24 기,2023.12.31 현재,"29,138,660,198",제 23 기,2022.12.31 현재,"18,141,399,273",1,KRW
20250321002000,11011,2024,00560122,091440,CFS,연결재무제표,BS,재무상태표,비유동자산,제 25 기,2024.12.31 현재,"85,869,576,682",제 24 기,2023.12.31 현재,"13,790,490,288",제 23 기,2022.12.31 현재,"26,622,420,968",3,KRW
20250321002000,11011,2024,00560122,091440,CFS,연결재무제표,BS,재무상태표,자산총계,제 25 기,2024.12.31 현재,"129,215,868,817",제 24 기,2023.12.31 현재,"42,929,150,486",제 23 기,2022.12.31 현재,"44,763,820,241",5,KRW
20250321002000,11011,2024,00560122,091440,CFS,연결재무제표,BS,재무상태표,유동부채,제 25 기,2024.12.31 현재,"25,645,244,672",제 24 기,2023.12.31 현재,"14,805,581,922",제 23 기,2022.12.31 현재,"20,342,527,850",7,KRW
20250321002000,11011,2024,00560122,091440,CFS,연결재무제표,BS,재무상태표,비유동부채,제 25 기,2024.12.31 현재,"55,737,617,334",제 24 기,2023.12.31 현재,"5,779,052,193",제 23 기,2022.12.31 현재,"7,572,696,370",9,KRW
20250321002000,11011,2024,00560122,091440,CFS,연결재무제표,BS,재무상태표,부채총계,제 25 기,2024.12.31 현재,"81,382,862,006",제 24 기,2023.12.31 현재,"20,584,634,115",제 23 기,2022.12.31 현재,"27,915,224,220",11,KRW
20250321002000,11011,2024,00560122,091440,CFS,연결재무제표,BS,재무상태표,자본금,제 25 기,2024.12.31 현재,"9,153,849,000",제 24 기,2023.12.31 현재,"7,253,335,500",제 23 기,2022.12.31 현재,"5,118,994,500",13,KRW
20250321002000,11011,2024,00560122,091440,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 25 기,2024.12.31 현재,"-27,156,015,324",제 24 기,2023.12.31 현재,"-16,026,843,717",제 23 기,2022.12.31 현재,"-17,727,334,716",17,KRW
20250321002000,11011,2024,00560122,091440,CFS,연결재무제표,BS,재무상태표,자본총계,제 25 기,2024.12.31 현재,"47,833,006,811",제 24 기,2023.12.31 현재,"22,344,516,371",제 23 기,2022.12.31 현재,"16,848,596,021",21,KRW
20250321002000,11011,2024,00560122,091440,CFS,연결재무제표,IS,손익계산서,매출액,제 25 기,2024.01.01 ~ 2024.12.31,"17,338,602,355",제 24 기,2023.01.01 ~ 2023.12.31,"37,597,363,642",제 23 기,2022.01.01 ~ 2022.12.31,"23,045,775,227",23,KRW
