rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250715000144,11011,2024,00163196,002220,CFS,연결재무제표,BS,재무상태표,유동자산,제 68 기,2024.12.31 현재,"102,427,180,661",제 67 기,2023.12.31 현재,"96,584,584,874",제 66 기,2022.12.31 현재,"105,439,726,347",1,KRW
20250715000144,11011,2024,00163196,002220,CFS,연결재무제표,BS,재무상태표,비유동자산,제 68 기,2024.12.31 현재,"238,024,865,600",제 67 기,2023.12.31 현재,"234,444,410,852",제 66 기,2022.12.31 현재,"233,715,245,146",3,KRW
20250715000144,11011,2024,00163196,002220,CFS,연결재무제표,BS,재무상태표,자산총계,제 68 기,2024.12.31 현재,"340,452,046,261",제 67 기,2023.12.31 현재,"331,028,995,726",제 66 기,2022.12.31 현재,"339,154,971,493",5,KRW
20250715000144,11011,2024,00163196,002220,CFS,연결재무제표,BS,재무상태표,유동부채,제 68 기,2024.12.31 현재,"130,607,402,678",제 67 기,2023.12.31 현재,"121,158,779,915",제 66 기,2022.12.31 현재,"112,789,046,543",7,KRW
20250715000144,11011,2024,00163196,002220,CFS,연결재무제표,BS,재무상태표,비유동부채,제 68 기,2024.12.31 현재,"41,394,907,512",제 67 기,2023.12.31 현재,"36,300,813,403",제 66 기,2022.12.31 현재,"51,833,292,072",9,KRW
20250715000144,11011,2024,00163196,002220,CFS,연결재무제표,BS,재무상태표,부채총계,제 68 기,2024.12.31 현재,"172,002,310,190",제 67 기,2023.12.31 현재,"157,459,593,318",제 66 기,2022.12.31 현재,"164,622,338,615",11,KRW
20250715000144,11011,2024,00163196,002220,CFS,연결재무제표,BS,재무상태표,자본금,제 68 기,2024.12.31 현재,"13,348,730,000",제 67 기,2023.12.31 현재,"13,348,730,000",제 66 기,2022.12.31 현재,"13,348,730,000",13,KRW
20250715000144,11011,2024,00163196,002220,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 68 기,2024.12.31 현재,"139,672,541,805",제 67 기,2023.12.31 현재,"146,191,291,859",제 66 기,2022.12.31 현재,"147,320,703,330",17,KRW
20250715000144,11011,2024,00163196,002220,CFS,연결재무제표,BS,재무상태표,자본총계,제 68 기,2024.12.31 현재,"168,449,736,071",제 67 기,2023.12.31 현재,"173,569,402,408",제 66 기,2022.12.31 현재,"174,532,632,878",21,KRW
20250715000144,11011,2024,00163196,002220,CFS,연결재무제표,IS,손익계산서,매출액,제 68 기,2024.01.01 ~ 2024.12.31,"205,842,246,124",제 67 기,2023.01.01 ~ 2023.12.31,"216,255,460,140",제 66 기,2022.01.01 ~ 2022.12.31,"255,229,322,550",23,KRW
20250715000144,11011,2024,00163196,002220,CFS,연결재무제표,IS,손익계산서,영업이익,제 68 기,2024.01.01 ~ 2024.12.31,"666,960,944",제 67 기,2023.01.01 ~ 2023.12.31,"4,859,777,657",제 66 기,2022.01.01 ~ 2022.12.31,"4,031,740,572",25,KRW
20250715000144,11011,2024,00163196,002220,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 68 기,2024.01.01 ~ 2024.12.31,"-6,880,414,981",제 67 기,2023.01.01 ~ 2023.12.31,"1,532,442,882",제 66 기,2022.01.01 ~ 2022.12.31,"-228,335,431",27,KRW
20250715000144,11011,2024,00163196,002220,CFS,연결재무제표,IS,손익계산서,당기순이익,제 68 기,2024.01.01 ~ 2024.12.31,"-4,610,118,113",제 67 기,2023.01.01 ~ 2023.12.31,"430,267,265",제 66 기,2022.01.01 ~ 2022.12.31,"-1,327,709,294",29,KRW
20250715000144,11011,2024,00163196,002220,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 68 기,2024.01.01 ~ 2024.12.31,"-4,610,118,113",제 67 기,2023.01.01 ~ 2023.12.31,"430,267,265",제 66 기,2022.01.01 ~ 2022.12.31,"-1,327,709,294",61,KRW
20250715000144,11011,2024,00163196,002220,OFS,재무제표,BS,재무상태표,유동자산,제 68 기,2024.12.31 현재,"91,087,555,613",제 67 기,2023.12.31 현재,"88,583,791,553",제 66 기,2022.12.31 현재,"97,097,760,240",2,KRW
20250715000144,11011,2024,00163196,002220,OFS,재무제표,BS,재무상태표,비유동자산,제 68 기,2024.12.31 현재,"235,331,538,615",제 67 기,2023.12.31 현재,"231,937,730,822",제 66 기,2022.12.31 현재,"231,306,377,003",4,KRW
20250715000144,11011,2024,00163196,002220,OFS,재무제표,BS,재무상태표,자산총계,제 68 기,2024.12.31 현재,"326,419,094,228",제 67 기,2023.12.31 현재,"320,521,522,375",제 66 기,2022.12.31 현재,"328,404,137,243",6,KRW
20250715000144,11011,2024,00163196,002220,OFS,재무제표,BS,재무상태표,유동부채,제 68 기,2024.12.31 현재,"126,126,233,208",제 67 기,2023.12.31 현재,"117,815,023,190",제 66 기,2022.12.31 현재,"108,057,659,565",8,KRW
20250715000144,11011,2024,00163196,002220,OFS,재무제표,BS,재무상태표,비유동부채,제 68 기,2024.12.31 현재,"40,858,950,531",제 67 기,2023.12.31 현재,"35,180,469,965",제 66 기,2022.12.31 현재,"51,402,375,223",10,KRW
20250715000144,11011,2024,00163196,002220,OFS,재무제표,BS,재무상태표,부채총계,제 68 기,2024.12.31 현재,"166,985,183,739",제 67 기,2023.12.31 현재,"152,995,493,155",제 66 기,2022.12.31 현재,"159,460,034,788",12,KRW
20250715000144,11011,2024,00163196,002220,OFS,재무제표,BS,재무상태표,자본금,제 68 기,2024.12.31 현재,"13,348,730,000",제 67 기,2023.12.31 현재,"13,348,730,000",제 66 기,2022.12.31 현재,"13,348,730,000",15,KRW
