rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240321000495,11011,2023,00163673,003480,CFS,연결재무제표,BS,재무상태표,유동자산,제 62 기,2023.12.31 현재,"443,922,000,000",제 61 기,2022.12.31 현재,"555,839,000,000",제 60 기,2021.12.31 현재,"379,459,000,000",1,KRW
20240321000495,11011,2023,00163673,003480,CFS,연결재무제표,BS,재무상태표,비유동자산,제 62 기,2023.12.31 현재,"1,421,799,000,000",제 61 기,2022.12.31 현재,"1,440,149,000,000",제 60 기,2021.12.31 현재,"1,458,342,000,000",3,KRW
20240321000495,11011,2023,00163673,003480,CFS,연결재무제표,BS,재무상태표,자산총계,제 62 기,2023.12.31 현재,"1,865,721,000,000",제 61 기,2022.12.31 현재,"1,995,988,000,000",제 60 기,2021.12.31 현재,"1,837,801,000,000",5,KRW
20240321000495,11011,2023,00163673,003480,CFS,연결재무제표,BS,재무상태표,유동부채,제 62 기,2023.12.31 현재,"625,250,000,000",제 61 기,2022.12.31 현재,"775,535,000,000",제 60 기,2021.12.31 현재,"558,145,000,000",7,KRW
20240321000495,11011,2023,00163673,003480,CFS,연결재무제표,BS,재무상태표,비유동부채,제 62 기,2023.12.31 현재,"872,672,000,000",제 61 기,2022.12.31 현재,"853,674,000,000",제 60 기,2021.12.31 현재,"931,056,000,000",9,KRW
20240321000495,11011,2023,00163673,003480,CFS,연결재무제표,BS,재무상태표,부채총계,제 62 기,2023.12.31 현재,"1,497,922,000,000",제 61 기,2022.12.31 현재,"1,629,209,000,000",제 60 기,2021.12.31 현재,"1,489,201,000,000",11,KRW
20240321000495,11011,2023,00163673,003480,CFS,연결재무제표,BS,재무상태표,자본금,제 62 기,2023.12.31 현재,"155,149,000,000",제 61 기,2022.12.31 현재,"155,149,000,000",제 60 기,2021.12.31 현재,"155,149,000,000",13,KRW
20240321000495,11011,2023,00163673,003480,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 62 기,2023.12.31 현재,"57,179,000,000",제 61 기,2022.12.31 현재,"55,953,000,000",제 60 기,2021.12.31 현재,"39,002,000,000",17,KRW
20240321000495,11011,2023,00163673,003480,CFS,연결재무제표,BS,재무상태표,자본총계,제 62 기,2023.12.31 현재,"367,799,000,000",제 61 기,2022.12.31 현재,"366,779,000,000",제 60 기,2021.12.31 현재,"348,600,000,000",21,KRW
20240321000495,11011,2023,00163673,003480,CFS,연결재무제표,IS,손익계산서,영업이익,제 62 기,2023.01.01 ~ 2023.12.31,"39,375,000,000",제 61 기,2022.01.01 ~ 2022.12.31,"37,130,000,000",제 60 기,2021.01.01 ~ 2021.12.31,"44,589,000,000",25,KRW
20240321000495,11011,2023,00163673,003480,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 62 기,2023.01.01 ~ 2023.12.31,"11,407,000,000",제 61 기,2022.01.01 ~ 2022.12.31,"17,894,000,000",제 60 기,2021.01.01 ~ 2021.12.31,"-5,769,000,000",27,KRW
20240321000495,11011,2023,00163673,003480,CFS,연결재무제표,IS,손익계산서,당기순이익,제 62 기,2023.01.01 ~ 2023.12.31,"7,903,000,000",제 61 기,2022.01.01 ~ 2022.12.31,"14,935,000,000",제 60 기,2021.01.01 ~ 2021.12.31,"-7,510,000,000",29,KRW
20240321000495,11011,2023,00163673,003480,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 62 기,2023.01.01 ~ 2023.12.31,"7,903,000,000",제 61 기,2022.01.01 ~ 2022.12.31,"14,935,000,000",제 60 기,2021.01.01 ~ 2021.12.31,"-7,510,000,000",61,KRW
20240321000495,11011,2023,00163673,003480,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 62 기,2023.01.01 ~ 2023.12.31,"3,629,000,000",제 61 기,2022.01.01 ~ 2022.12.31,"20,788,000,000",제 60 기,2021.01.01 ~ 2021.12.31,"-7,985,000,000",63,KRW
20240321000495,11011,2023,00163673,003480,OFS,재무제표,BS,재무상태표,유동자산,제 62 기,2023.12.31 현재,"9,830,000,000",제 61 기,2022.12.31 현재,"13,614,000,000",제 60 기,2021.12.31 현재,"14,748,000,000",2,KRW
20240321000495,11011,2023,00163673,003480,OFS,재무제표,BS,재무상태표,비유동자산,제 62 기,2023.12.31 현재,"358,153,000,000",제 61 기,2022.12.31 현재,"355,591,000,000",제 60 기,2021.12.31 현재,"354,111,000,000",4,KRW
20240321000495,11011,2023,00163673,003480,OFS,재무제표,BS,재무상태표,자산총계,제 62 기,2023.12.31 현재,"367,983,000,000",제 61 기,2022.12.31 현재,"369,205,000,000",제 60 기,2021.12.31 현재,"368,859,000,000",6,KRW
20240321000495,11011,2023,00163673,003480,OFS,재무제표,BS,재무상태표,유동부채,제 62 기,2023.12.31 현재,"47,237,000,000",제 61 기,2022.12.31 현재,"35,811,000,000",제 60 기,2021.12.31 현재,"51,240,000,000",8,KRW
20240321000495,11011,2023,00163673,003480,OFS,재무제표,BS,재무상태표,비유동부채,제 62 기,2023.12.31 현재,"17,672,000,000",제 61 기,2022.12.31 현재,"30,999,000,000",제 60 기,2021.12.31 현재,"19,717,000,000",10,KRW
20240321000495,11011,2023,00163673,003480,OFS,재무제표,BS,재무상태표,부채총계,제 62 기,2023.12.31 현재,"64,909,000,000",제 61 기,2022.12.31 현재,"66,810,000,000",제 60 기,2021.12.31 현재,"70,957,000,000",12,KRW
20240321000495,11011,2023,00163673,003480,OFS,재무제표,BS,재무상태표,자본금,제 62 기,2023.12.31 현재,"155,149,000,000",제 61 기,2022.12.31 현재,"155,149,000,000",제 60 기,2021.12.31 현재,"155,149,000,000",15,KRW
