rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250320001170,11011,2024,01016309,457370,OFS,재무제표,BS,재무상태표,유동자산,제 26 기,2024.12.31 현재,"50,708,457,311",제 25 기,2023.12.31 현재,"19,980,969,439",제 24 기,2022.12.31 현재,"11,655,440,232",2,KRW
20250320001170,11011,2024,01016309,457370,OFS,재무제표,BS,재무상태표,비유동자산,제 26 기,2024.12.31 현재,"12,296,705,738",제 25 기,2023.12.31 현재,"10,935,518,396",제 24 기,2022.12.31 현재,"11,609,803,969",4,KRW
20250320001170,11011,2024,01016309,457370,OFS,재무제표,BS,재무상태표,자산총계,제 26 기,2024.12.31 현재,"63,005,163,049",제 25 기,2023.12.31 현재,"30,916,487,835",제 24 기,2022.12.31 현재,"23,265,244,201",6,KRW
20250320001170,11011,2024,01016309,457370,OFS,재무제표,BS,재무상태표,유동부채,제 26 기,2024.12.31 현재,"5,878,898,904",제 25 기,2023.12.31 현재,"6,181,114,952",제 24 기,2022.12.31 현재,"3,841,324,881",8,KRW
20250320001170,11011,2024,01016309,457370,OFS,재무제표,BS,재무상태표,비유동부채,제 26 기,2024.12.31 현재,"2,000,000,000",제 25 기,2023.12.31 현재,"4,030,914,678",제 24 기,2022.12.31 현재,"4,866,199,189",10,KRW
20250320001170,11011,2024,01016309,457370,OFS,재무제표,BS,재무상태표,부채총계,제 26 기,2024.12.31 현재,"7,878,898,904",제 25 기,2023.12.31 현재,"10,212,029,630",제 24 기,2022.12.31 현재,"8,707,524,070",12,KRW
20250320001170,11011,2024,01016309,457370,OFS,재무제표,BS,재무상태표,자본금,제 26 기,2024.12.31 현재,"4,013,567,000",제 25 기,2023.12.31 현재,"3,189,567,000",제 24 기,2022.12.31 현재,"790,190,000",15,KRW
20250320001170,11011,2024,01016309,457370,OFS,재무제표,BS,재무상태표,이익잉여금,제 26 기,2024.12.31 현재,"23,225,146,638",제 25 기,2023.12.31 현재,"17,458,082,183",제 24 기,2022.12.31 현재,"13,297,109,283",19,KRW
20250320001170,11011,2024,01016309,457370,OFS,재무제표,BS,재무상태표,자본총계,제 26 기,2024.12.31 현재,"55,126,264,145",제 25 기,2023.12.31 현재,"20,704,458,205",제 24 기,2022.12.31 현재,"14,557,720,131",22,KRW
20250320001170,11011,2024,01016309,457370,OFS,재무제표,IS,손익계산서,매출액,제 26 기,2024.01.01 ~ 2024.12.31,"36,697,456,129",제 25 기,2023.01.01 ~ 2023.12.31,"26,940,818,816",제 24 기,2022.01.01 ~ 2022.12.31,"21,512,876,525",24,KRW
20250320001170,11011,2024,01016309,457370,OFS,재무제표,IS,손익계산서,영업이익,제 26 기,2024.01.01 ~ 2024.12.31,"6,537,056,387",제 25 기,2023.01.01 ~ 2023.12.31,"5,021,083,704",제 24 기,2022.01.01 ~ 2022.12.31,"3,678,446,135",26,KRW
20250320001170,11011,2024,01016309,457370,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 26 기,2024.01.01 ~ 2024.12.31,"6,891,362,921",제 25 기,2023.01.01 ~ 2023.12.31,"4,828,039,635",제 24 기,2022.01.01 ~ 2022.12.31,"3,703,258,640",28,KRW
20250320001170,11011,2024,01016309,457370,OFS,재무제표,IS,손익계산서,당기순이익,제 26 기,2024.01.01 ~ 2024.12.31,"5,767,064,455",제 25 기,2023.01.01 ~ 2023.12.31,"4,160,972,900",제 24 기,2022.01.01 ~ 2022.12.31,"3,182,937,709",30,KRW
20250320001170,11011,2024,01016309,457370,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 26 기,2024.01.01 ~ 2024.12.31,"5,767,064,455",제 25 기,2023.01.01 ~ 2023.12.31,"4,160,972,900",제 24 기,2022.01.01 ~ 2022.12.31,"3,182,937,709",62,KRW
20250320001170,11011,2024,01016309,457370,OFS,재무제표,IS,손익계산서,총포괄손익,제 26 기,2024.01.01 ~ 2024.12.31,"5,767,064,455",제 25 기,2023.01.01 ~ 2023.12.31,"4,160,972,900",제 24 기,2022.01.01 ~ 2022.12.31,"3,182,937,709",64,KRW
