rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250320001045,11011,2024,00483735,076610,CFS,연결재무제표,BS,재무상태표,유동자산,제 23 기,2024.12.31 현재,"48,444,922,581",제 22 기,2023.12.31 현재,"52,256,282,300",제 21 기,2022.12.31 현재,"36,478,243,625",1,KRW
20250320001045,11011,2024,00483735,076610,CFS,연결재무제표,BS,재무상태표,비유동자산,제 23 기,2024.12.31 현재,"68,806,800,916",제 22 기,2023.12.31 현재,"63,845,020,872",제 21 기,2022.12.31 현재,"41,308,386,903",3,KRW
20250320001045,11011,2024,00483735,076610,CFS,연결재무제표,BS,재무상태표,자산총계,제 23 기,2024.12.31 현재,"117,251,723,497",제 22 기,2023.12.31 현재,"116,101,303,172",제 21 기,2022.12.31 현재,"77,786,630,528",5,KRW
20250320001045,11011,2024,00483735,076610,CFS,연결재무제표,BS,재무상태표,유동부채,제 23 기,2024.12.31 현재,"79,616,234,862",제 22 기,2023.12.31 현재,"55,801,383,536",제 21 기,2022.12.31 현재,"37,736,215,147",7,KRW
20250320001045,11011,2024,00483735,076610,CFS,연결재무제표,BS,재무상태표,비유동부채,제 23 기,2024.12.31 현재,"18,218,905,826",제 22 기,2023.12.31 현재,"16,878,837,556",제 21 기,2022.12.31 현재,"3,524,113,852",9,KRW
20250320001045,11011,2024,00483735,076610,CFS,연결재무제표,BS,재무상태표,부채총계,제 23 기,2024.12.31 현재,"97,835,140,688",제 22 기,2023.12.31 현재,"72,680,221,092",제 21 기,2022.12.31 현재,"41,260,328,999",11,KRW
20250320001045,11011,2024,00483735,076610,CFS,연결재무제표,BS,재무상태표,자본금,제 23 기,2024.12.31 현재,"12,726,599,000",제 22 기,2023.12.31 현재,"12,726,599,000",제 21 기,2022.12.31 현재,"62,633,997,000",13,KRW
20250320001045,11011,2024,00483735,076610,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 23 기,2024.12.31 현재,"-85,851,015,581",제 22 기,2023.12.31 현재,"-57,685,856,191",제 21 기,2022.12.31 현재,"-106,957,951,336",17,KRW
20250320001045,11011,2024,00483735,076610,CFS,연결재무제표,BS,재무상태표,자본총계,제 23 기,2024.12.31 현재,"19,416,582,809",제 22 기,2023.12.31 현재,"43,421,082,080",제 21 기,2022.12.31 현재,"36,526,301,529",21,KRW
20250320001045,11011,2024,00483735,076610,CFS,연결재무제표,IS,손익계산서,매출액,제 23 기,2024.01.01 ~ 2024.12.31,"108,529,760,932",제 22 기,2023.01.01 ~ 2023.12.31,"121,168,837,228",제 21 기,2022.01.01 ~ 2022.12.31,"163,806,220,242",23,KRW
20250320001045,11011,2024,00483735,076610,CFS,연결재무제표,IS,손익계산서,영업이익,제 23 기,2024.01.01 ~ 2024.12.31,"-13,393,025,046",제 22 기,2023.01.01 ~ 2023.12.31,"3,992,341,370",제 21 기,2022.01.01 ~ 2022.12.31,"-5,119,277,444",25,KRW
20250320001045,11011,2024,00483735,076610,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 23 기,2024.01.01 ~ 2024.12.31,"-34,781,977,117",제 22 기,2023.01.01 ~ 2023.12.31,"-2,213,938,685",제 21 기,2022.01.01 ~ 2022.12.31,"-17,346,573,419",27,KRW
20250320001045,11011,2024,00483735,076610,CFS,연결재무제표,IS,손익계산서,당기순이익,제 23 기,2024.01.01 ~ 2024.12.31,"-35,273,948,456",제 22 기,2023.01.01 ~ 2023.12.31,"-2,139,561,015",제 21 기,2022.01.01 ~ 2022.12.31,"-17,374,331,464",29,KRW
20250320001045,11011,2024,00483735,076610,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 23 기,2024.01.01 ~ 2024.12.31,"-35,273,948,456",제 22 기,2023.01.01 ~ 2023.12.31,"-2,139,561,015",제 21 기,2022.01.01 ~ 2022.12.31,"-17,374,331,464",61,KRW
20250320001045,11011,2024,00483735,076610,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 23 기,2024.01.01 ~ 2024.12.31,"-37,180,091,793",제 22 기,2023.01.01 ~ 2023.12.31,"-3,253,268,389",제 21 기,2022.01.01 ~ 2022.12.31,"-16,385,417,666",63,KRW
20250320001045,11011,2024,00483735,076610,OFS,재무제표,BS,재무상태표,유동자산,제 23 기,2024.12.31 현재,"16,963,498,367",제 22 기,2023.12.31 현재,"31,674,607,660",제 21 기,2022.12.31 현재,"32,054,239,602",2,KRW
20250320001045,11011,2024,00483735,076610,OFS,재무제표,BS,재무상태표,비유동자산,제 23 기,2024.12.31 현재,"42,069,351,453",제 22 기,2023.12.31 현재,"38,714,567,849",제 21 기,2022.12.31 현재,"39,323,337,055",4,KRW
20250320001045,11011,2024,00483735,076610,OFS,재무제표,BS,재무상태표,자산총계,제 23 기,2024.12.31 현재,"59,032,849,820",제 22 기,2023.12.31 현재,"70,389,175,509",제 21 기,2022.12.31 현재,"71,377,576,657",6,KRW
20250320001045,11011,2024,00483735,076610,OFS,재무제표,BS,재무상태표,유동부채,제 23 기,2024.12.31 현재,"21,611,858,812",제 22 기,2023.12.31 현재,"16,065,275,587",제 21 기,2022.12.31 현재,"14,376,769,716",8,KRW
20250320001045,11011,2024,00483735,076610,OFS,재무제표,BS,재무상태표,비유동부채,제 23 기,2024.12.31 현재,"8,719,759,022",제 22 기,2023.12.31 현재,"7,247,107,902",제 21 기,2022.12.31 현재,"260,811,934",10,KRW
20250320001045,11011,2024,00483735,076610,OFS,재무제표,BS,재무상태표,부채총계,제 23 기,2024.12.31 현재,"30,331,617,834",제 22 기,2023.12.31 현재,"23,312,383,489",제 21 기,2022.12.31 현재,"14,637,581,650",12,KRW
20250320001045,11011,2024,00483735,076610,OFS,재무제표,BS,재무상태표,자본금,제 23 기,2024.12.31 현재,"12,726,599,000",제 22 기,2023.12.31 현재,"12,726,599,000",제 21 기,2022.12.31 현재,"62,633,997,000",15,KRW
20250320001045,11011,2024,00483735,076610,OFS,재무제표,BS,재무상태표,이익잉여금,제 23 기,2024.12.31 현재,"-68,960,414,358",제 22 기,2023.12.31 현재,"-50,491,498,388",제 21 기,2022.12.31 현재,"-84,676,098,212",19,KRW
20250320001045,11011,2024,00483735,076610,OFS,재무제표,BS,재무상태표,자본총계,제 23 기,2024.12.31 현재,"28,701,231,986",제 22 기,2023.12.31 현재,"47,076,792,020",제 21 기,2022.12.31 현재,"56,739,995,007",22,KRW
20250320001045,11011,2024,00483735,076610,OFS,재무제표,IS,손익계산서,매출액,제 23 기,2024.01.01 ~ 2024.12.31,"25,842,533,608",제 22 기,2023.01.01 ~ 2023.12.31,"26,268,054,429",제 21 기,2022.01.01 ~ 2022.12.31,"23,106,950,344",24,KRW
20250320001045,11011,2024,00483735,076610,OFS,재무제표,IS,손익계산서,영업이익,제 23 기,2024.01.01 ~ 2024.12.31,"-5,906,865,298",제 22 기,2023.01.01 ~ 2023.12.31,"-4,760,309,676",제 21 기,2022.01.01 ~ 2022.12.31,"-3,764,168,246",26,KRW
20250320001045,11011,2024,00483735,076610,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 23 기,2024.01.01 ~ 2024.12.31,"-17,839,842,488",제 22 기,2023.01.01 ~ 2023.12.31,"-16,760,622,075",제 21 기,2022.01.01 ~ 2022.12.31,"-9,362,738,217",28,KRW
20250320001045,11011,2024,00483735,076610,OFS,재무제표,IS,손익계산서,당기순이익,제 23 기,2024.01.01 ~ 2024.12.31,"-18,409,383,116",제 22 기,2023.01.01 ~ 2023.12.31,"-16,752,080,817",제 21 기,2022.01.01 ~ 2022.12.31,"-9,388,555,059",30,KRW
20250320001045,11011,2024,00483735,076610,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 23 기,2024.01.01 ~ 2024.12.31,"-18,409,383,116",제 22 기,2023.01.01 ~ 2023.12.31,"-16,752,080,817",제 21 기,2022.01.01 ~ 2022.12.31,"-9,388,555,059",62,KRW
20250320001045,11011,2024,00483735,076610,OFS,재무제표,IS,손익계산서,총포괄손익,제 23 기,2024.01.01 ~ 2024.12.31,"-18,468,915,970",제 22 기,2023.01.01 ~ 2023.12.31,"-16,721,798,176",제 21 기,2022.01.01 ~ 2022.12.31,"-9,480,087,499",64,KRW
