rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230323001116,11011,2022,01013311,214180,CFS,연결재무제표,BS,재무상태표,유동자산,제 14 기,2022.12.31 현재,"365,384,039,735",제 13 기,2021.12.31 현재,"319,942,881,692",제 12 기,2020.12.31 현재,"232,207,259,082",1,KRW
20230323001116,11011,2022,01013311,214180,CFS,연결재무제표,BS,재무상태표,비유동자산,제 14 기,2022.12.31 현재,"161,427,037,499",제 13 기,2021.12.31 현재,"134,111,214,086",제 12 기,2020.12.31 현재,"129,637,490,812",3,KRW
20230323001116,11011,2022,01013311,214180,CFS,연결재무제표,BS,재무상태표,자산총계,제 14 기,2022.12.31 현재,"526,811,077,234",제 13 기,2021.12.31 현재,"454,054,095,778",제 12 기,2020.12.31 현재,"361,844,749,894",5,KRW
20230323001116,11011,2022,01013311,214180,CFS,연결재무제표,BS,재무상태표,유동부채,제 14 기,2022.12.31 현재,"217,439,653,885",제 13 기,2021.12.31 현재,"162,385,394,811",제 12 기,2020.12.31 현재,"104,195,089,731",7,KRW
20230323001116,11011,2022,01013311,214180,CFS,연결재무제표,BS,재무상태표,비유동부채,제 14 기,2022.12.31 현재,"26,767,431,163",제 13 기,2021.12.31 현재,"17,741,624,624",제 12 기,2020.12.31 현재,"16,140,737,186",9,KRW
20230323001116,11011,2022,01013311,214180,CFS,연결재무제표,BS,재무상태표,부채총계,제 14 기,2022.12.31 현재,"244,207,085,048",제 13 기,2021.12.31 현재,"180,127,019,435",제 12 기,2020.12.31 현재,"120,335,826,917",11,KRW
20230323001116,11011,2022,01013311,214180,CFS,연결재무제표,BS,재무상태표,자본금,제 14 기,2022.12.31 현재,"6,788,592,500",제 13 기,2021.12.31 현재,"6,788,592,500",제 12 기,2020.12.31 현재,"6,739,162,000",13,KRW
20230323001116,11011,2022,01013311,214180,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 14 기,2022.12.31 현재,"120,498,123,031",제 13 기,2021.12.31 현재,"95,421,164,070",제 12 기,2020.12.31 현재,"78,260,376,138",17,KRW
20230323001116,11011,2022,01013311,214180,CFS,연결재무제표,BS,재무상태표,자본총계,제 14 기,2022.12.31 현재,"282,603,992,186",제 13 기,2021.12.31 현재,"273,927,076,343",제 12 기,2020.12.31 현재,"241,508,922,977",21,KRW
20230323001116,11011,2022,01013311,214180,CFS,연결재무제표,IS,손익계산서,매출액,제 14 기,2022.01.01 ~ 2022.12.31,"262,967,082,265",제 13 기,2021.01.01 ~ 2021.12.31,"221,041,387,864",제 12 기,2020.01.01 ~ 2020.12.31,"170,932,078,160",23,KRW
