rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240318000698,11011,2023,01409022,187660,CFS,연결재무제표,BS,재무상태표,유동자산,제 22 기,2023.12.31 현재,"25,555,266,153",제 21 기,2022.12.31 현재,"40,589,451,279",제 20 기,2021.12.31 현재,"35,449,587,354",1,KRW
20240318000698,11011,2023,01409022,187660,CFS,연결재무제표,BS,재무상태표,비유동자산,제 22 기,2023.12.31 현재,"18,658,927,574",제 21 기,2022.12.31 현재,"5,702,953,933",제 20 기,2021.12.31 현재,"2,915,136,984",3,KRW
20240318000698,11011,2023,01409022,187660,CFS,연결재무제표,BS,재무상태표,자산총계,제 22 기,2023.12.31 현재,"44,214,193,727",제 21 기,2022.12.31 현재,"46,292,405,212",제 20 기,2021.12.31 현재,"38,364,724,338",5,KRW
20240318000698,11011,2023,01409022,187660,CFS,연결재무제표,BS,재무상태표,유동부채,제 22 기,2023.12.31 현재,"15,296,655,852",제 21 기,2022.12.31 현재,"14,207,021,960",제 20 기,2021.12.31 현재,"4,490,963,031",7,KRW
20240318000698,11011,2023,01409022,187660,CFS,연결재무제표,BS,재무상태표,비유동부채,제 22 기,2023.12.31 현재,"1,789,955,526",제 21 기,2022.12.31 현재,"1,375,585,374",제 20 기,2021.12.31 현재,"417,182,320",9,KRW
20240318000698,11011,2023,01409022,187660,CFS,연결재무제표,BS,재무상태표,부채총계,제 22 기,2023.12.31 현재,"17,086,611,378",제 21 기,2022.12.31 현재,"15,582,607,334",제 20 기,2021.12.31 현재,"4,908,145,351",11,KRW
20240318000698,11011,2023,01409022,187660,CFS,연결재무제표,BS,재무상태표,자본금,제 22 기,2023.12.31 현재,"2,183,625,000",제 21 기,2022.12.31 현재,"2,183,625,000",제 20 기,2021.12.31 현재,"2,183,625,000",13,KRW
20240318000698,11011,2023,01409022,187660,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 22 기,2023.12.31 현재,"8,276,330,005",제 21 기,2022.12.31 현재,"11,461,615,832",제 20 기,2021.12.31 현재,"11,184,656,598",17,KRW
20240318000698,11011,2023,01409022,187660,CFS,연결재무제표,BS,재무상태표,자본총계,제 22 기,2023.12.31 현재,"27,127,582,349",제 21 기,2022.12.31 현재,"30,709,797,878",제 20 기,2021.12.31 현재,"33,456,578,987",21,KRW
20240318000698,11011,2023,01409022,187660,CFS,연결재무제표,IS,손익계산서,매출액,제 22 기,2023.01.01 ~ 2023.12.31,"13,790,195,699",제 21 기,2022.01.01 ~ 2022.12.31,"14,882,555,787",제 20 기,2021.01.01 ~ 2021.12.31,"13,977,771,687",23,KRW
20240318000698,11011,2023,01409022,187660,CFS,연결재무제표,IS,손익계산서,영업이익,제 22 기,2023.01.01 ~ 2023.12.31,"-3,464,613,885",제 21 기,2022.01.01 ~ 2022.12.31,"-754,740,449",제 20 기,2021.01.01 ~ 2021.12.31,"2,090,550,559",25,KRW
20240318000698,11011,2023,01409022,187660,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 22 기,2023.01.01 ~ 2023.12.31,"-3,308,284,416",제 21 기,2022.01.01 ~ 2022.12.31,"76,556,265",제 20 기,2021.01.01 ~ 2021.12.31,"2,170,031,968",27,KRW
20240318000698,11011,2023,01409022,187660,CFS,연결재무제표,IS,손익계산서,당기순이익,제 22 기,2023.01.01 ~ 2023.12.31,"-3,363,294,388",제 21 기,2022.01.01 ~ 2022.12.31,"-58,882,743",제 20 기,2021.01.01 ~ 2021.12.31,"1,726,994,313",29,KRW
20240318000698,11011,2023,01409022,187660,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 22 기,2023.01.01 ~ 2023.12.31,"-3,363,294,388",제 21 기,2022.01.01 ~ 2022.12.31,"-58,882,743",제 20 기,2021.01.01 ~ 2021.12.31,"1,726,994,313",61,KRW
20240318000698,11011,2023,01409022,187660,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 22 기,2023.01.01 ~ 2023.12.31,"-3,582,215,529",제 21 기,2022.01.01 ~ 2022.12.31,"-79,535,102",제 20 기,2021.01.01 ~ 2021.12.31,"1,978,686,773",63,KRW
20240318000698,11011,2023,01409022,187660,OFS,재무제표,BS,재무상태표,유동자산,제 22 기,2023.12.31 현재,"26,416,763,716",제 21 기,2022.12.31 현재,"39,845,619,438",제 20 기,2021.12.31 현재,"35,205,056,876",2,KRW
20240318000698,11011,2023,01409022,187660,OFS,재무제표,BS,재무상태표,비유동자산,제 22 기,2023.12.31 현재,"18,179,783,943",제 21 기,2022.12.31 현재,"7,078,266,068",제 20 기,2021.12.31 현재,"3,387,635,609",4,KRW
