rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240319000626,11011,2023,00164788,012330,CFS,연결재무제표,BS,재무상태표,유동자산,제 47 기,2023.12.31 현재,"25,565,154,000,000",제 46 기,2022.12.31 현재,"25,659,721,000,000",제 45 기,2021.12.31 현재,"23,552,362,000,000",1,KRW
20240319000626,11011,2023,00164788,012330,CFS,연결재무제표,BS,재무상태표,비유동자산,제 47 기,2023.12.31 현재,"33,020,691,000,000",제 46 기,2022.12.31 현재,"29,746,977,000,000",제 45 기,2021.12.31 현재,"27,930,175,000,000",3,KRW
20240319000626,11011,2023,00164788,012330,CFS,연결재무제표,BS,재무상태표,자산총계,제 47 기,2023.12.31 현재,"58,585,845,000,000",제 46 기,2022.12.31 현재,"55,406,698,000,000",제 45 기,2021.12.31 현재,"51,482,537,000,000",5,KRW
20240319000626,11011,2023,00164788,012330,CFS,연결재무제표,BS,재무상태표,유동부채,제 47 기,2023.12.31 현재,"12,052,826,000,000",제 46 기,2022.12.31 현재,"11,476,170,000,000",제 45 기,2021.12.31 현재,"10,076,987,000,000",7,KRW
20240319000626,11011,2023,00164788,012330,CFS,연결재무제표,BS,재무상태표,비유동부채,제 47 기,2023.12.31 현재,"5,877,720,000,000",제 46 기,2022.12.31 현재,"6,122,896,000,000",제 45 기,2021.12.31 현재,"6,048,076,000,000",9,KRW
20240319000626,11011,2023,00164788,012330,CFS,연결재무제표,BS,재무상태표,부채총계,제 47 기,2023.12.31 현재,"17,930,546,000,000",제 46 기,2022.12.31 현재,"17,599,066,000,000",제 45 기,2021.12.31 현재,"16,125,063,000,000",11,KRW
20240319000626,11011,2023,00164788,012330,CFS,연결재무제표,BS,재무상태표,자본금,제 47 기,2023.12.31 현재,"491,096,000,000",제 46 기,2022.12.31 현재,"491,096,000,000",제 45 기,2021.12.31 현재,"491,096,000,000",13,KRW
20240319000626,11011,2023,00164788,012330,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 47 기,2023.12.31 현재,"39,639,529,000,000",제 46 기,2022.12.31 현재,"36,979,291,000,000",제 45 기,2021.12.31 현재,"34,679,467,000,000",17,KRW
20240319000626,11011,2023,00164788,012330,CFS,연결재무제표,BS,재무상태표,자본총계,제 47 기,2023.12.31 현재,"40,655,299,000,000",제 46 기,2022.12.31 현재,"37,807,632,000,000",제 45 기,2021.12.31 현재,"35,357,474,000,000",21,KRW
20240319000626,11011,2023,00164788,012330,CFS,연결재무제표,IS,손익계산서,매출액,제 47 기,2023.01.01 ~ 2023.12.31,"59,254,361,000,000",제 46 기,2022.01.01 ~ 2022.12.31,"51,906,293,000,000",제 45 기,2021.01.01 ~ 2021.12.31,"41,702,184,000,000",23,KRW
