rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240320001964,11011,2023,00255044,039010,OFS,재무제표,BS,재무상태표,유동자산,제 26 기,2023.12.31 현재,"67,909,934,160",제 25 기,2022.12.31 현재,"52,165,197,007",제 24 기,2021.12.31 현재,"58,423,337,510",2,KRW
20240320001964,11011,2023,00255044,039010,OFS,재무제표,BS,재무상태표,비유동자산,제 26 기,2023.12.31 현재,"57,174,176,630",제 25 기,2022.12.31 현재,"65,205,453,079",제 24 기,2021.12.31 현재,"55,938,376,308",4,KRW
20240320001964,11011,2023,00255044,039010,OFS,재무제표,BS,재무상태표,자산총계,제 26 기,2023.12.31 현재,"125,084,110,790",제 25 기,2022.12.31 현재,"117,370,650,086",제 24 기,2021.12.31 현재,"114,361,713,818",6,KRW
20240320001964,11011,2023,00255044,039010,OFS,재무제표,BS,재무상태표,유동부채,제 26 기,2023.12.31 현재,"36,899,249,742",제 25 기,2022.12.31 현재,"25,927,519,080",제 24 기,2021.12.31 현재,"20,861,476,966",8,KRW
20240320001964,11011,2023,00255044,039010,OFS,재무제표,BS,재무상태표,비유동부채,제 26 기,2023.12.31 현재,"342,296,565",제 25 기,2022.12.31 현재,"493,714,512",제 24 기,2021.12.31 현재,"502,263,561",10,KRW
20240320001964,11011,2023,00255044,039010,OFS,재무제표,BS,재무상태표,부채총계,제 26 기,2023.12.31 현재,"37,241,546,307",제 25 기,2022.12.31 현재,"26,421,233,592",제 24 기,2021.12.31 현재,"21,363,740,527",12,KRW
20240320001964,11011,2023,00255044,039010,OFS,재무제표,BS,재무상태표,자본금,제 26 기,2023.12.31 현재,"4,312,500,000",제 25 기,2022.12.31 현재,"4,312,500,000",제 24 기,2021.12.31 현재,"4,312,500,000",15,KRW
20240320001964,11011,2023,00255044,039010,OFS,재무제표,BS,재무상태표,이익잉여금,제 26 기,2023.12.31 현재,"86,035,535,550",제 25 기,2022.12.31 현재,"89,384,187,624",제 24 기,2021.12.31 현재,"89,363,221,062",19,KRW
20240320001964,11011,2023,00255044,039010,OFS,재무제표,BS,재무상태표,자본총계,제 26 기,2023.12.31 현재,"87,842,564,483",제 25 기,2022.12.31 현재,"90,949,416,494",제 24 기,2021.12.31 현재,"92,997,973,291",22,KRW
20240320001964,11011,2023,00255044,039010,OFS,재무제표,IS,손익계산서,매출액,제 26 기,2023.01.01 ~ 2023.12.31,"131,416,440,859",제 25 기,2022.01.01 ~ 2022.12.31,"104,942,242,488",제 24 기,2021.01.01 ~ 2021.12.31,"95,928,421,882",24,KRW
20240320001964,11011,2023,00255044,039010,OFS,재무제표,IS,손익계산서,영업이익,제 26 기,2023.01.01 ~ 2023.12.31,"-819,792,305",제 25 기,2022.01.01 ~ 2022.12.31,"1,279,709,107",제 24 기,2021.01.01 ~ 2021.12.31,"4,851,354,537",26,KRW
20240320001964,11011,2023,00255044,039010,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 26 기,2023.01.01 ~ 2023.12.31,"-2,765,980,132",제 25 기,2022.01.01 ~ 2022.12.31,"852,419,791",제 24 기,2021.01.01 ~ 2021.12.31,"9,656,023,335",28,KRW
20240320001964,11011,2023,00255044,039010,OFS,재무제표,IS,손익계산서,당기순이익,제 26 기,2023.01.01 ~ 2023.12.31,"-1,263,936,525",제 25 기,2022.01.01 ~ 2022.12.31,"1,993,768,124",제 24 기,2021.01.01 ~ 2021.12.31,"9,038,905,401",30,KRW
20240320001964,11011,2023,00255044,039010,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 26 기,2023.01.01 ~ 2023.12.31,"-1,263,936,525",제 25 기,2022.01.01 ~ 2022.12.31,"1,993,768,124",제 24 기,2021.01.01 ~ 2021.12.31,"9,038,905,401",62,KRW
20240320001964,11011,2023,00255044,039010,OFS,재무제표,IS,손익계산서,총포괄손익,제 26 기,2023.01.01 ~ 2023.12.31,"-2,096,882,011",제 25 기,2022.01.01 ~ 2022.12.31,"2,756,927,683",제 24 기,2021.01.01 ~ 2021.12.31,"8,851,022,438",64,KRW
