rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230323000983,11011,2022,00142713,011080,CFS,연결재무제표,BS,재무상태표,유동자산,제 47 기,2022.12.31 현재,"39,936,121,262",제 46 기,2021.12.31 현재,"43,262,576,559",제 45 기,2020.12.31 현재,"34,978,414,618",1,KRW
20230323000983,11011,2022,00142713,011080,CFS,연결재무제표,BS,재무상태표,비유동자산,제 47 기,2022.12.31 현재,"20,129,535,021",제 46 기,2021.12.31 현재,"14,022,372,036",제 45 기,2020.12.31 현재,"14,638,845,509",3,KRW
20230323000983,11011,2022,00142713,011080,CFS,연결재무제표,BS,재무상태표,자산총계,제 47 기,2022.12.31 현재,"60,065,656,283",제 46 기,2021.12.31 현재,"57,284,948,595",제 45 기,2020.12.31 현재,"49,617,260,127",5,KRW
20230323000983,11011,2022,00142713,011080,CFS,연결재무제표,BS,재무상태표,유동부채,제 47 기,2022.12.31 현재,"26,863,151,958",제 46 기,2021.12.31 현재,"24,796,588,032",제 45 기,2020.12.31 현재,"26,710,028,823",7,KRW
20230323000983,11011,2022,00142713,011080,CFS,연결재무제표,BS,재무상태표,비유동부채,제 47 기,2022.12.31 현재,"4,134,057,992",제 46 기,2021.12.31 현재,"20,472,001,472",제 45 기,2020.12.31 현재,"7,155,375,248",9,KRW
20230323000983,11011,2022,00142713,011080,CFS,연결재무제표,BS,재무상태표,부채총계,제 47 기,2022.12.31 현재,"30,997,209,950",제 46 기,2021.12.31 현재,"45,268,589,504",제 45 기,2020.12.31 현재,"33,865,404,071",11,KRW
20230323000983,11011,2022,00142713,011080,CFS,연결재무제표,BS,재무상태표,자본금,제 47 기,2022.12.31 현재,"12,751,681,500",제 46 기,2021.12.31 현재,"19,506,824,500",제 45 기,2020.12.31 현재,"19,477,834,000",13,KRW
20230323000983,11011,2022,00142713,011080,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 47 기,2022.12.31 현재,"-37,355,827,680",제 46 기,2021.12.31 현재,"-36,741,450,801",제 45 기,2020.12.31 현재,"-32,874,492,272",17,KRW
20230323000983,11011,2022,00142713,011080,CFS,연결재무제표,BS,재무상태표,자본총계,제 47 기,2022.12.31 현재,"29,068,446,333",제 46 기,2021.12.31 현재,"12,016,359,091",제 45 기,2020.12.31 현재,"15,751,856,056",21,KRW
20230323000983,11011,2022,00142713,011080,CFS,연결재무제표,IS,손익계산서,매출액,제 47 기,2022.01.01 ~ 2022.12.31,"70,495,736,693",제 46 기,2021.01.01 ~ 2021.12.31,"65,538,381,883",제 45 기,2020.01.01 ~ 2020.12.31,"67,148,815,928",23,KRW
