rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_amount,ord,currency
20230321000920,11011,2022,01532603,378850,CFS,연결재무제표,BS,재무상태표,유동자산,제 2 기,2022.12.31 현재,"179,634,547,981",제 1 기,2021.12.31 현재,"174,002,073,655",-,1,KRW
20230321000920,11011,2022,01532603,378850,CFS,연결재무제표,BS,재무상태표,비유동자산,제 2 기,2022.12.31 현재,"242,934,652,258",제 1 기,2021.12.31 현재,"237,163,742,999",-,3,KRW
20230321000920,11011,2022,01532603,378850,CFS,연결재무제표,BS,재무상태표,자산총계,제 2 기,2022.12.31 현재,"422,569,200,239",제 1 기,2021.12.31 현재,"411,165,816,654",-,5,KRW
20230321000920,11011,2022,01532603,378850,CFS,연결재무제표,BS,재무상태표,유동부채,제 2 기,2022.12.31 현재,"294,681,105,612",제 1 기,2021.12.31 현재,"273,770,194,650",-,7,KRW
20230321000920,11011,2022,01532603,378850,CFS,연결재무제표,BS,재무상태표,비유동부채,제 2 기,2022.12.31 현재,"35,227,584,227",제 1 기,2021.12.31 현재,"69,994,608,873",-,9,KRW
20230321000920,11011,2022,01532603,378850,CFS,연결재무제표,BS,재무상태표,부채총계,제 2 기,2022.12.31 현재,"329,908,689,839",제 1 기,2021.12.31 현재,"343,764,803,523",-,11,KRW
20230321000920,11011,2022,01532603,378850,CFS,연결재무제표,BS,재무상태표,자본금,제 2 기,2022.12.31 현재,"9,496,811,500",제 1 기,2021.12.31 현재,"9,496,811,500",-,13,KRW
20230321000920,11011,2022,01532603,378850,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 2 기,2022.12.31 현재,"32,951,342,147",제 1 기,2021.12.31 현재,"15,532,276,528",-,17,KRW
20230321000920,11011,2022,01532603,378850,CFS,연결재무제표,BS,재무상태표,자본총계,제 2 기,2022.12.31 현재,"92,660,510,400",제 1 기,2021.12.31 현재,"67,401,013,131",-,21,KRW
20230321000920,11011,2022,01532603,378850,CFS,연결재무제표,IS,손익계산서,매출액,제 2 기,2022.01.01 ~ 2022.12.31,"657,927,523,502",제 1 기,2021.03.01 ~ 2021.12.31,"505,757,693,153",-,23,KRW
20230321000920,11011,2022,01532603,378850,CFS,연결재무제표,IS,손익계산서,영업이익,제 2 기,2022.01.01 ~ 2022.12.31,"15,504,096,093",제 1 기,2021.03.01 ~ 2021.12.31,"7,963,353,368",-,25,KRW
