rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240320000874,11011,2023,00218575,032560,CFS,연결재무제표,BS,재무상태표,유동자산,제 38 기,2023.12.31 현재,"281,840,925,396",제 37 기,2022.12.31 현재,"253,333,399,264",제 36 기,2021.12.31 현재,"205,194,498,557",1,KRW
20240320000874,11011,2023,00218575,032560,CFS,연결재무제표,BS,재무상태표,비유동자산,제 38 기,2023.12.31 현재,"231,686,350,710",제 37 기,2022.12.31 현재,"228,579,232,702",제 36 기,2021.12.31 현재,"226,373,871,162",3,KRW
20240320000874,11011,2023,00218575,032560,CFS,연결재무제표,BS,재무상태표,자산총계,제 38 기,2023.12.31 현재,"513,527,276,106",제 37 기,2022.12.31 현재,"481,912,631,966",제 36 기,2021.12.31 현재,"431,568,369,719",5,KRW
20240320000874,11011,2023,00218575,032560,CFS,연결재무제표,BS,재무상태표,유동부채,제 38 기,2023.12.31 현재,"100,511,117,327",제 37 기,2022.12.31 현재,"91,455,725,058",제 36 기,2021.12.31 현재,"71,426,026,629",7,KRW
20240320000874,11011,2023,00218575,032560,CFS,연결재무제표,BS,재무상태표,비유동부채,제 38 기,2023.12.31 현재,"12,156,758,787",제 37 기,2022.12.31 현재,"17,036,405,731",제 36 기,2021.12.31 현재,"27,629,528,583",9,KRW
20240320000874,11011,2023,00218575,032560,CFS,연결재무제표,BS,재무상태표,부채총계,제 38 기,2023.12.31 현재,"112,667,876,114",제 37 기,2022.12.31 현재,"108,492,130,789",제 36 기,2021.12.31 현재,"99,055,555,212",11,KRW
20240320000874,11011,2023,00218575,032560,CFS,연결재무제표,BS,재무상태표,자본금,제 38 기,2023.12.31 현재,"8,500,000,000",제 37 기,2022.12.31 현재,"8,500,000,000",제 36 기,2021.12.31 현재,"8,000,000,000",13,KRW
20240320000874,11011,2023,00218575,032560,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 38 기,2023.12.31 현재,"329,718,080,666",제 37 기,2022.12.31 현재,"308,990,328,110",제 36 기,2021.12.31 현재,"271,843,393,430",17,KRW
20240320000874,11011,2023,00218575,032560,CFS,연결재무제표,BS,재무상태표,자본총계,제 38 기,2023.12.31 현재,"400,859,399,992",제 37 기,2022.12.31 현재,"373,420,501,177",제 36 기,2021.12.31 현재,"332,512,814,507",21,KRW
20240320000874,11011,2023,00218575,032560,CFS,연결재무제표,IS,손익계산서,매출액,제 38 기,2023.01.01 ~ 2023.12.31,"355,142,901,174",제 37 기,2022.01.01 ~ 2022.12.31,"333,445,663,904",제 36 기,2021.01.01 ~ 2021.12.31,"270,982,293,281",23,KRW
20240320000874,11011,2023,00218575,032560,CFS,연결재무제표,IS,손익계산서,영업이익,제 38 기,2023.01.01 ~ 2023.12.31,"29,280,143,234",제 37 기,2022.01.01 ~ 2022.12.31,"46,505,927,767",제 36 기,2021.01.01 ~ 2021.12.31,"41,155,778,151",25,KRW
20240320000874,11011,2023,00218575,032560,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 38 기,2023.01.01 ~ 2023.12.31,"36,598,131,836",제 37 기,2022.01.01 ~ 2022.12.31,"52,203,504,803",제 36 기,2021.01.01 ~ 2021.12.31,"44,296,309,775",27,KRW
20240320000874,11011,2023,00218575,032560,CFS,연결재무제표,IS,손익계산서,당기순이익,제 38 기,2023.01.01 ~ 2023.12.31,"29,757,396,830",제 37 기,2022.01.01 ~ 2022.12.31,"46,246,868,355",제 36 기,2021.01.01 ~ 2021.12.31,"32,952,260,724",29,KRW
20240320000874,11011,2023,00218575,032560,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 38 기,2023.01.01 ~ 2023.12.31,"29,757,396,830",제 37 기,2022.01.01 ~ 2022.12.31,"46,246,868,355",제 36 기,2021.01.01 ~ 2021.12.31,"32,952,260,724",61,KRW
20240320000874,11011,2023,00218575,032560,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 38 기,2023.01.01 ~ 2023.12.31,"30,990,883,465",제 37 기,2022.01.01 ~ 2022.12.31,"45,639,564,130",제 36 기,2021.01.01 ~ 2021.12.31,"33,220,789,536",63,KRW
