rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250320001644,11011,2024,00398668,065510,CFS,연결재무제표,BS,재무상태표,유동자산,제 26 기,2024.12.31 현재,"91,220,603,439",제 25 기,2023.12.31 현재,"77,606,625,657",제 24 기,2022.12.31 현재,"70,418,666,231",1,KRW
20250320001644,11011,2024,00398668,065510,CFS,연결재무제표,BS,재무상태표,비유동자산,제 26 기,2024.12.31 현재,"130,912,156,898",제 25 기,2023.12.31 현재,"123,538,046,168",제 24 기,2022.12.31 현재,"106,793,291,409",3,KRW
20250320001644,11011,2024,00398668,065510,CFS,연결재무제표,BS,재무상태표,자산총계,제 26 기,2024.12.31 현재,"222,132,760,337",제 25 기,2023.12.31 현재,"201,144,671,825",제 24 기,2022.12.31 현재,"177,211,957,640",5,KRW
20250320001644,11011,2024,00398668,065510,CFS,연결재무제표,BS,재무상태표,유동부채,제 26 기,2024.12.31 현재,"79,131,647,078",제 25 기,2023.12.31 현재,"67,595,299,179",제 24 기,2022.12.31 현재,"55,303,864,717",7,KRW
20250320001644,11011,2024,00398668,065510,CFS,연결재무제표,BS,재무상태표,비유동부채,제 26 기,2024.12.31 현재,"21,214,372,658",제 25 기,2023.12.31 현재,"16,951,016,194",제 24 기,2022.12.31 현재,"12,464,109,224",9,KRW
20250320001644,11011,2024,00398668,065510,CFS,연결재무제표,BS,재무상태표,부채총계,제 26 기,2024.12.31 현재,"100,346,019,736",제 25 기,2023.12.31 현재,"84,546,315,373",제 24 기,2022.12.31 현재,"67,767,973,941",11,KRW
20250320001644,11011,2024,00398668,065510,CFS,연결재무제표,BS,재무상태표,자본금,제 26 기,2024.12.31 현재,"6,079,685,500",제 25 기,2023.12.31 현재,"6,068,185,500",제 24 기,2022.12.31 현재,"5,945,185,500",13,KRW
20250320001644,11011,2024,00398668,065510,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 26 기,2024.12.31 현재,"101,430,486,338",제 25 기,2023.12.31 현재,"97,903,480,597",제 24 기,2022.12.31 현재,"92,737,598,829",17,KRW
20250320001644,11011,2024,00398668,065510,CFS,연결재무제표,BS,재무상태표,자본총계,제 26 기,2024.12.31 현재,"121,786,740,601",제 25 기,2023.12.31 현재,"116,598,356,452",제 24 기,2022.12.31 현재,"109,443,983,699",21,KRW
20250320001644,11011,2024,00398668,065510,CFS,연결재무제표,IS,손익계산서,매출액,제 26 기,2024.01.01 ~ 2024.12.31,"117,875,139,902",제 25 기,2023.01.01 ~ 2023.12.31,"117,736,981,654",제 24 기,2022.01.01 ~ 2022.12.31,"108,781,729,913",23,KRW
20250320001644,11011,2024,00398668,065510,CFS,연결재무제표,IS,손익계산서,영업이익,제 26 기,2024.01.01 ~ 2024.12.31,"13,333,966,220",제 25 기,2023.01.01 ~ 2023.12.31,"16,380,287,595",제 24 기,2022.01.01 ~ 2022.12.31,"20,094,166,561",25,KRW
20250320001644,11011,2024,00398668,065510,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 26 기,2024.01.01 ~ 2024.12.31,"8,672,417,532",제 25 기,2023.01.01 ~ 2023.12.31,"10,216,640,464",제 24 기,2022.01.01 ~ 2022.12.31,"19,388,057,331",27,KRW
20250320001644,11011,2024,00398668,065510,CFS,연결재무제표,IS,손익계산서,당기순이익,제 26 기,2024.01.01 ~ 2024.12.31,"8,364,298,114",제 25 기,2023.01.01 ~ 2023.12.31,"9,580,936,152",제 24 기,2022.01.01 ~ 2022.12.31,"16,627,974,661",29,KRW
20250320001644,11011,2024,00398668,065510,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 26 기,2024.01.01 ~ 2024.12.31,"8,364,298,114",제 25 기,2023.01.01 ~ 2023.12.31,"9,580,936,152",제 24 기,2022.01.01 ~ 2022.12.31,"16,627,974,661",61,KRW
20250320001644,11011,2024,00398668,065510,OFS,재무제표,BS,재무상태표,유동자산,제 26 기,2024.12.31 현재,"81,096,458,006",제 25 기,2023.12.31 현재,"65,771,456,499",제 24 기,2022.12.31 현재,"58,768,347,159",2,KRW
20250320001644,11011,2024,00398668,065510,OFS,재무제표,BS,재무상태표,비유동자산,제 26 기,2024.12.31 현재,"123,725,277,931",제 25 기,2023.12.31 현재,"116,469,448,301",제 24 기,2022.12.31 현재,"99,144,057,927",4,KRW
20250320001644,11011,2024,00398668,065510,OFS,재무제표,BS,재무상태표,자산총계,제 26 기,2024.12.31 현재,"204,821,735,937",제 25 기,2023.12.31 현재,"182,240,904,800",제 24 기,2022.12.31 현재,"157,912,405,086",6,KRW
20250320001644,11011,2024,00398668,065510,OFS,재무제표,BS,재무상태표,유동부채,제 26 기,2024.12.31 현재,"77,368,525,568",제 25 기,2023.12.31 현재,"63,682,804,004",제 24 기,2022.12.31 현재,"52,242,235,477",8,KRW
20250320001644,11011,2024,00398668,065510,OFS,재무제표,BS,재무상태표,비유동부채,제 26 기,2024.12.31 현재,"21,060,825,568",제 25 기,2023.12.31 현재,"16,778,783,529",제 24 기,2022.12.31 현재,"12,334,755,733",10,KRW
20250320001644,11011,2024,00398668,065510,OFS,재무제표,BS,재무상태표,부채총계,제 26 기,2024.12.31 현재,"98,429,351,136",제 25 기,2023.12.31 현재,"80,461,587,533",제 24 기,2022.12.31 현재,"64,576,991,210",12,KRW
20250320001644,11011,2024,00398668,065510,OFS,재무제표,BS,재무상태표,자본금,제 26 기,2024.12.31 현재,"6,079,685,500",제 25 기,2023.12.31 현재,"6,068,185,500",제 24 기,2022.12.31 현재,"5,945,185,500",15,KRW
20250320001644,11011,2024,00398668,065510,OFS,재무제표,BS,재무상태표,이익잉여금,제 26 기,2024.12.31 현재,"94,262,518,169",제 25 기,2023.12.31 현재,"89,774,664,557",제 24 기,2022.12.31 현재,"83,758,600,538",19,KRW
20250320001644,11011,2024,00398668,065510,OFS,재무제표,BS,재무상태표,자본총계,제 26 기,2024.12.31 현재,"106,392,384,801",제 25 기,2023.12.31 현재,"101,779,317,267",제 24 기,2022.12.31 현재,"93,335,413,876",22,KRW
20250320001644,11011,2024,00398668,065510,OFS,재무제표,IS,손익계산서,매출액,제 26 기,2024.01.01 ~ 2024.12.31,"110,219,719,063",제 25 기,2023.01.01 ~ 2023.12.31,"109,591,736,999",제 24 기,2022.01.01 ~ 2022.12.31,"102,825,651,305",24,KRW
20250320001644,11011,2024,00398668,065510,OFS,재무제표,IS,손익계산서,영업이익,제 26 기,2024.01.01 ~ 2024.12.31,"13,983,770,854",제 25 기,2023.01.01 ~ 2023.12.31,"17,643,371,159",제 24 기,2022.01.01 ~ 2022.12.31,"21,402,235,866",26,KRW
20250320001644,11011,2024,00398668,065510,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 26 기,2024.01.01 ~ 2024.12.31,"10,226,059,560",제 25 기,2023.01.01 ~ 2023.12.31,"9,694,838,366",제 24 기,2022.01.01 ~ 2022.12.31,"19,420,762,219",28,KRW
20250320001644,11011,2024,00398668,065510,OFS,재무제표,IS,손익계산서,당기순이익,제 26 기,2024.01.01 ~ 2024.12.31,"9,729,838,024",제 25 기,2023.01.01 ~ 2023.12.31,"10,827,803,941",제 24 기,2022.01.01 ~ 2022.12.31,"17,928,791,524",30,KRW
20250320001644,11011,2024,00398668,065510,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 26 기,2024.01.01 ~ 2024.12.31,"9,729,838,024",제 25 기,2023.01.01 ~ 2023.12.31,"10,827,803,941",제 24 기,2022.01.01 ~ 2022.12.31,"17,928,791,524",62,KRW
20250320001644,11011,2024,00398668,065510,OFS,재무제표,IS,손익계산서,총포괄손익,제 26 기,2024.01.01 ~ 2024.12.31,"6,658,832,612",제 25 기,2023.01.01 ~ 2023.12.31,"8,137,843,019",제 24 기,2022.01.01 ~ 2022.12.31,"18,122,693,498",64,KRW
